handle,text
SenGaryPeters,"Today I introduced legislation to strengthen pipeline safety &amp; ensure our federal agencies are equipped to swiftly and effectively take action in the event of a spill.
 
Click here to learn more about my bill, the PROTECT Act:  https://t.co/TKExxzaXL2"
SenGaryPeters,"The Great Lakes are an ecological treasure, invaluable source of freshwater &amp; engine of economic growth. We must protect from potential oil spills that would be devastating to our way of life."
SenGaryPeters,"During this #PoliceWeek, I want to recognize the law enforcement officers across the State of Michigan—and our country—who work to keep our communities safe."
SenGaryPeters,Happy #517Day to the Greater Lansing area and everyone who reps the 517 area code! https://t.co/Y9V6N1M7ca
SenGaryPeters,I spoke with @AbbottNews today. Glad they’ll be able to restart &amp; increase baby formula production at their Sturgis facility. We must take a comprehensive approach to address this shortage—&amp; I’ll keep supporting efforts to safely increase production &amp; restock our shelves ASAP.
SenGaryPeters,I’ll keep fighting to protect this fundamental right.
SenGaryPeters,"This is very welcome news. Michigan’s 1931 abortion law is not only outdated but dangerous. With a woman’s right to make these health care decisions with her doctor at grave risk nationally, make no mistake this fight is not over. https://t.co/k9jaf3o9aL"
SenGaryPeters,"Our top national security experts agree that domestic terrorism—including white nationalist and anti-government violence—is the most significant security threat facing our nation.

As Chair of @HSGAC, I have made addressing this threat one of my top priorities. https://t.co/2naCmqfNHA"
SenGaryPeters,"It's been 6 months since @POTUS signed the bipartisan infrastructure bill we passed into law.
 
Whether it’s repairing roads &amp; bridges, expanding high-speed internet or building resilient communities—this bill is huge for Michigan.
 
Click ⬇️ for more https://t.co/LY2mEbiYY6"
SenGaryPeters,"For more information on how to apply, click here: https://t.co/yhCz6Bzxdu"
SenGaryPeters,"The Healthy Michigan Plan is a proven success—expanding access to quality, affordable health care to over 1 million Michiganders. Proud to have helped pass the ACA to make this possible.
https://t.co/f7XzSKtb6D"
SenGaryPeters,I'm very glad to hear my friend and desk neighbor in the Senate @ChrisVanHollen is doing much better. Looking forward to seeing you back in the Senate soon! https://t.co/u4wBFdaq4E
SenGaryPeters,"Thank you to all the brave men and women from Michigan and across the U.S. who are serving to protect our freedoms and way of life.
 
This #ArmedServicesDay—and every day—we're forever grateful for your service."
SenGaryPeters,I’m heartbroken and outraged to hear about the supermarket shooting and the reports it’s being investigated as a racially motivated hate crime. I’m thinking of the victims as well as law enforcement and first responders. Violent extremism has no place in our society. https://t.co/p5ugxJRLa2
SenGaryPeters,"It was an honor to receive the @CoSN excellence in public service award for writing a law that will help K-12 schools prevent cyber-attacks and protect the sensitive information of students and staff. As Chair of @HSGAC, I’ll continue leading efforts to protect our networks. https://t.co/bb0y91rUT3"
SenGaryPeters,"As an @almacollege grad, it was great to meet some fellow Scots in D.C. this week! #PlaidWorks #GoScots https://t.co/Y2qOunSqyJ"
SenGaryPeters,"I was proud to support her confirmation. Click here to read my full statement⬇️
https://t.co/q8q5Be9yQ1"
SenGaryPeters,Congrats to @michiganstateu’s own Dr. Lisa Cook on her historic confirmation earlier this week to the @federalreserve! Her lifetime of experience &amp; dedication to ensuring ALL workers &amp; small businesses can thrive in our economy will make her a Fed Governor.
