handle,text
SenJackyRosen,"Great news: major investments from @NSF into wildfire prevention research are coming to @DRIScience, @NSHE, @UNLV, and @unevadareno. I look forward to seeing how students and researchers will use this federal funding to better protect our state."
SenJackyRosen,"Thank you @RepSusieLee, @RepHorsford, &amp; @repdinatitus for joining the call for @CommerceGov to end the investigation into additional job-killing solar tariffs that would harm NV jobs and our clean energy economy. 

Together, we'll continue to work to end this investigation. https://t.co/dSJJJ1OZto"
SenJackyRosen,"#TeamRosen will be in Fallon tomorrow to connect with Nevadans about the assistance we offer for those needing help with a federal agency. 

Come out and learn how we can help you!
📍 Churchill County Public Library
🕑 5/19, 1 – 3 PM https://t.co/prqieJ27VF"
SenJackyRosen,"Reno High School’s ""We the People"" team ranked 12th in the country for their work presenting and defending their positions on questions surrounding the U.S. Constitution. 

@SenCortezMasto and I loved welcoming this group of future leaders to DC! https://t.co/qSsdN8I7Of"
SenJackyRosen,"In the face of wage inequality, the @USWNT never stopped demanding #EqualPayforEqualWork.

They've come out victorious. Congratulations, we are so proud of you! ⚽️ https://t.co/jtBE4oemfV"
SenJackyRosen,"Admiral Linda Fagan, the recently confirmed Commandant of the @USCG, is the first woman to serve as Commandant and as a service chief. 

She is an inspiration for girls and young women everywhere that no glass ceiling is too high to break. Congratulations, @VComdtUSCG! 👏 https://t.co/ROOwc4S3Ff"
SenJackyRosen,"On this day in 1965, Project Head Start was created!

#HeadStart’s positive effects can be seen across generations throughout the 39+ million American children they have served in Nevada and across our country."
SenJackyRosen,.@GovSisolak understands how important the solar industry is to Nevada jobs and our clean energy economy. Thank you for your bipartisan call for @POTUS and @CommerceGov to end the harmful investigation into additional job-killing solar tariffs. https://t.co/aKnCLSxcmu
SenJackyRosen,"Together, we're all going to stay loud and keep speaking out to protect women's reproductive rights. 

On behalf of Nevadans, we have to continue this fight. https://t.co/419VHIF80r"
SenJackyRosen,"During #JewishAmericanHeritageMonth, we celebrate and recognize the many voices and contributions of Jewish Americans. As the first former president of a synagogue in the Senate, it was a pleasure to join my colleagues today in celebrating our shared heritage. https://t.co/wX1r7NtE0c"
SenJackyRosen,"It's been 68 years since SCOTUS ruled in Brown v. Board – ending legal racial segregation in public schools and taking a step forward for equality.

But the fight isn't over.

I'll continue working to ensure all students receive a quality education regardless of their background."
SenJackyRosen,NV’s physician shortage has had a dire impact on the ability of Nevadans to seek health care. I’m introducing a bipartisan bill with @JohnBoozman to increase opportunities for graduate medical education slots in Nevada so we can train more doctors in our state. https://t.co/nUUETQzLgJ
SenJackyRosen,"International Day Against Homophobia, Biphobia, &amp; Transphobia is a time to commit loud and proud to supporting our LGBTQ community in the fight for true equality, and standing strong against hate and bigotry. #IDAHOBIT"
SenJackyRosen,"I'm joining @SenCortezMasto and our entire NV congressional delegation in calling to suspend the COVID testing requirement for inbound international travelers who are fully vaccinated, as many other countries have already done. 

This would help spur Nevada's economic recovery. https://t.co/sc65m59hpq"
SenJackyRosen,"Are you a senior in Southern Nevada who needs help dealing with a federal agency? My team is ready to help! 

Stop by mobile office hours TODAY to learn more:
🕑 10 AM - 12:30 PM
📍 Heritage Park, 350 E. Racetrack Road, Henderson, NV"
SenJackyRosen,"#TeamRosen will be in Fernley tomorrow to connect with Nevadans about the assistance we offer for those needing help with a federal agency. Come out and learn how we can help you!

📍 Fernley Branch Library
🕑 5/17, 10 AM - 12 PM https://t.co/OxrdnwoAnp"
SenJackyRosen,"Today, we sat down with @NatalieABrand to talk about it. Tune in soon for the full conversation. 👥 https://t.co/FC29NNAEbq"
SenJackyRosen,"When we try to find common ground, we can make a real difference in people's lives. I'm working with @lisamurkowski to address our nation's student mental health crisis through our bipartisan bill to provide K-12 schools with mental health resources."
