handle,text
SenThomTillis,"We need to do everything we can to make sure our law enforcement officers are protected and supported.

To send united a message that acts of violence against officers are unacceptable, we should take up and pass the Protect &amp; Serve Act.

#NationalPoliceWeek https://t.co/vubH27T4cX"
SenThomTillis,"Over the past year, North Carolina tragically lost three law enforcement officers in the line of duty. We will never forget the service and sacrifice of Trooper Horton, Officer Hayworth, and Officer Figueroa-Goodwin. https://t.co/VShrrRAegA"
SenThomTillis,"Amazing!
 
https://t.co/xKnzUg1wXP"
SenThomTillis,"Our support for NATO is crucial as the war in Ukraine continues. I look forward to leading this bipartisan delegation with @SenatorShaheen to strengthen our relationship, demonstrate our support for NATO, and counter Russian aggression."
SenThomTillis,"Our support for NATO is crucial as the war in Ukraine continues. I look forward to leading this bipartisan delegation with @SenatorShaheen to strengthen our relationship, demonstrate our support for NATO, and counter Russian aggression."
SenThomTillis,"High-tech job openings surge to record high in NC: More than 50,000 https://t.co/bBW4BTmuM7"
SenThomTillis,"As the nation faces baby formula shortages, here's information to help NC parents find local milk banks:

https://t.co/lJ5NGynpvv"
SenThomTillis,This is a crisis. We need to secure the border and keep America safe. https://t.co/z3k36cAa6G
SenThomTillis,"Today, on #PeaceOfficersMemorialDay, we honor the 619 officers who were added to the National Peace Officers Memorial. May we never forget their service and sacrifices paid to our country. https://t.co/58zZdYhF79"
SenThomTillis,"This #NationalPoliceWeek, please join me in honoring the service and sacrifice of North Carolina's law enforcement officers. Now, more than ever, I remain committed to doing everything I can to support the brave men and women of law enforcement. https://t.co/o3LeVr4zAP"
SenThomTillis,"We need to remove roadblocks, reduce regulatory burdens &amp; amend importation restrictions to immediately increase production &amp; supply of formula. We must work in a bipartisan way to ensure that the world’s most prosperous country never faces this kind of unnecessary crisis again."
SenThomTillis,"I’ve been hearing from understandably frustrated parents across NC who cannot find formula to feed their children. I understand these concerns and the Biden Admin must use every tool at their disposal to resolve this crisis, and Congress should step in to help where it can."
SenThomTillis,"Tax increases are not going to solve this inflation crisis. 

Instead, we need to look at reducing regulations and burdensome taxes for American families and small business owners. https://t.co/M3XJjEWvFN"
SenThomTillis,Congrats Caroline! https://t.co/KVnIOLfacA
SenThomTillis,"Throughout this unprecedented pandemic, North Carolina's nurses have worked nonstop as heroes on the front lines. Thank you to all of the nurses for helping North Carolinians during these difficult times. #NationalNursesWeek https://t.co/O1sh6RhVnL"
