handle,text
Sen_JoeManchin,"GOOD NEWS: My bill to give @VetAffairsOIG the power to subpoena has passed the House &amp; is headed to the President's desk! This bipartisan bill will improve transparency &amp; accountability at the VA, making VA hospitals safer for our Veterans. @Militarydotcom https://t.co/yDBKxb79eR"
Sen_JoeManchin,Today I'm proud to celebrate #57YearsOfHeadStart! Head Start provides children with the skills and foundations they need for a bright future. Please join me in thanking #WV Head Start teachers &amp; staff for all that they do for our kids! @NatlHeadStart @HeadStartGov https://t.co/1W3jnfPpau
Sen_JoeManchin,"Today's announcement is a historic step toward achieving equality for women. From the soccer pitch to the office, women deserve #EqualPay, and that's why I introduced legislation that would bridge the pay disparity in @ussoccer. https://t.co/biMZjPdc83"
Sen_JoeManchin,"The @DeptVetAffairs AIR Commission's recommendations would significantly impact Veterans' access to health care. That's why I'm inviting all #WV Veterans to join me for a tele-town hall Wednesday, May 25 at 11AM. Pre-register here: https://t.co/BKkBdcG8FI https://t.co/Wfcneit0To"
Sen_JoeManchin,"As Putin weaponizes energy against our friends and allies in Europe and China looks to corner the critical minerals market, the United States must step up to the plate and contribute our part to the free world's energy supply and security. https://t.co/1SNqYtXlTf"
Sen_JoeManchin,"Today, I welcomed leaders from Canada to my @EnergyDems Committee to discuss the importance of creating a powerful North American Energy Alliance that can strengthen our collective energy security while combatting climate change and promoting global peace and stability. https://t.co/7QUGFsZjjf"
Sen_JoeManchin,"Investing in our local communities creates good-paying jobs and spurs economic opportunity, and today’s announcement is great news for McDowell and Mercer counties and the entire region."
Sen_JoeManchin,GOOD NEWS: I secured $7.6M from the #AmericanRescuePlan through the @US_EDA for two projects in West Virginia - water infrastructure upgrades to bolster local businesses in McDowell County and the design of a statewide broadband implementation plan. MORE: https://t.co/GQXW7mVrFE
Sen_JoeManchin,I believe Michael Barr will make a good addition to the Federal Reserve Board and intend to support his nomination. https://t.co/Ap0NtoQs5o
Sen_JoeManchin,The current shortage of infant formula is impacting countless families in West Virginia. That's why I wrote a letter to @US_FDA Commissioner Robert M. Califf urging immediate action to address this shortage for the sake of our children. MORE: https://t.co/zw4VgjINRa
Sen_JoeManchin,"Our men and women in law enforcement put their lives on the line to protect and serve our communities. During #NationalPoliceWeek2022, please join me in thanking our police officers &amp; recognizing their service to our state &amp; our nation! https://t.co/VrTfra4Y1f"
Sen_JoeManchin,"During this time when the U.S., Canada, &amp; our allies &amp; friends are threatened both by dictators weaponizing energy &amp; intense politicization over climate issues, we must work together to chart a responsible path forward that'll ensure security &amp; unlock prosperity for our nations. https://t.co/EB2og1CGxb"
Sen_JoeManchin,"Our allies and trading partners in Europe are begging for North American oil and gas to offset their reliance on Russia. There is absolutely no reason whatsoever we shouldn’t be able to fill that void with our abundant energy resources, and do it cleaner than our adversaries. https://t.co/DNlds4AQg1"
Sen_JoeManchin,"Canadians and Americans share a deep history and are natural partners. Our people fought side-by-side in two world wars. And in light of Putin’s war in Ukraine and the global energy price surge, we must again meet the moment and advance a stronger energy partnership. https://t.co/vzvApgj0qJ"
Sen_JoeManchin,"Putin has used energy as a weapon to inflict terrible pain on the Ukrainian people &amp; on Europe. But this aggression is bringing the free world closer together, setting the stage for a new alliance around energy, minerals &amp; climate - one that should start here in North America. https://t.co/5yaC69K8aT"
Sen_JoeManchin,"Every home in the U.S. is now
eligible to order a 3rd round of free at-home #COVID19 tests. These rapid tests can be taken anywhere and give results within 30 minutes. To order free tests for you &amp; your family, visit https://t.co/SyVcr00tta"
Sen_JoeManchin,"I'm proud to join @NASA Deputy Administrator Pam Melroy at the Katherine Johnson @NASAIVV facility in Fairmont. NASA IV&amp;V assures the safety and success of software on NASA’s highest-profile missions, and I will continue to fully support this facility &amp; its important mission. https://t.co/ukWVTWYPIi"
Sen_JoeManchin,"From Katherine Johnson to Homer Hickam, West Virginians have made a lasting impact on our understanding of space &amp; our own planet. With #STEM education, I'm confident #WV students can continue to make incredible contributions that benefit all of mankind. https://t.co/JyC1DlxXEy"
Sen_JoeManchin,"I'm at Watson Elem. School where students had the chance to hear from @NASA Astronaut Dr. Andrew ""Drew"" Morgan about his time in space! Dr. Morgan, a Morgantown native &amp; @USArmy emergency physician, served as flight engineer on the @Space_Station for Expedition 60, 61 &amp; 62 🚀 https://t.co/hoExJNCYgU"
Sen_JoeManchin,I was blown away by #WV students' skills and creativity at the @WVSSAC Robotics State Championship today at @FairmontState. This #STEM program is truly a showcase for what our students can achieve. They are truly the Rocket Boys and Girls of the 21st Century! https://t.co/EEqIJqSDoe
