handle,text
SenatorBaldwin,"Here's something we should ban. Data brokers who  collect and sell the cellphone-based location data of people who visit abortion clinics, risking the safety of anyone seeking access to safe and legal abortion services. 
https://t.co/yuS9OV6DRb"
SenatorBaldwin,I'm taking on price gouging by big corporations because working families are paying the price. https://t.co/CsQStXexdZ
SenatorBaldwin,"The horrific attack in Buffalo was a racially motivated hate crime fueled by White supremacy and easy access to military style weapons. As we remember the victims, we should honor them by confronting and rejecting violent extremism, racism and hate. 
https://t.co/JJKoQRzUl6"
SenatorBaldwin,"On the 68th anniversary of #BrownVBoard, this new report from the Century Foundation shows that we still have a lot of work to do achieving equity in education for all students. https://t.co/rZ8CDe2CDN"
SenatorBaldwin,"Admiral Linda Fagan is a trailblazer and barrier breaker, making history as the first woman to lead the U.S. Coast Guard. It was great to join my Senate colleagues to congratulate our new @USCG Commandant! https://t.co/76LkZxI4OX"
SenatorBaldwin,"I found some supporters of our Support Kids Not Red Tape Act in Holmen, Wisconsin and now we need to pass our bipartisan legislation to #KeepKidsFed! https://t.co/k9eHslaa0l"
SenatorBaldwin,"The Senate needs to pass bipartisan legislation to support Wisconsin small businesses, including relief for restaurants. Let's get this done and #ReplenishRRF so restaurants can get the assistance they need to stay open and serve the community. https://t.co/BHfCiUDkcl"
SenatorBaldwin,Jennifer Mnookin is extremely well qualified with strong experience working in higher education. She has a passion for supporting students and she will be a collaborative and inclusive leader for @UWMadison who is committed to moving the Wisconsin Idea #Forward. #OnWisconsin
SenatorBaldwin,"I support bipartisan legislation that helps Ukraine continue their fight against Putin's war attacking the freedom and independence of the Ukrainian people. The Senate needs to end the unnecessary delay, pass this emergency aid now, and #StandWithUkraine."
SenatorBaldwin,The Coulee Region Business Center does great work helping entrepreneurs and small businesses access resources and support to take their passion and dreams to the next level. https://t.co/rdmVTdf6wv
SenatorBaldwin,Thanks to the Coulee Region Business Center for having me visit with our #MadeinWI entrepreneurs and small businesses in Lacrosse. https://t.co/x9S0ggZokj
SenatorBaldwin,"I have joined 29 of my Senate colleagues in calling on infant formula manufacturers to make every effort possible to get parents and families the formula they need to feed their kids.
https://t.co/7GWDXHCee1"
SenatorBaldwin,"Thanks to @PPAWI for bringing people together to let our voices be heard. We stand on the side of protecting the constitutional right and freedom of women to make personal decisions about their health care, family, and body without interference from politicians. #BansOffOurBodies https://t.co/Q5ggXXcfpp"
SenatorBaldwin,"I'm devastated to learn about the senseless gun violence in Milwaukee last night. My heart breaks for the victims, their families, &amp; the MKE community. I hope for speedy recoveries. This is another unfortunate reminder we must work together to confront the scourge of gun violence"
SenatorBaldwin,"Today, I introduced the WWII Nurses Congressional Gold Medal Act, bipartisan legislation which finally recognizes, respects, and rewards the brave service of members of the U.S. Army Nurse Corps and U.S. Navy Nurse Corps. #NursesDay
https://t.co/dFrMQbghuu"
SenatorBaldwin,"I’m working to pass the Bipartisan Innovation Act because it will help us build a Made in America economy, strengthen our supply chains, and accelerate the domestic production of critical components for U.S. equipment manufacturers. https://t.co/KR2Isi2mph"
SenatorBaldwin,We can lower costs for families if we take on big corporations who using inflation to jack up prices for you and boost their own profits. I've joined @SenWarren and @RepSchakowsky to intro legislation that will crack down on corporate price gouging. https://t.co/deevjiUZpo
SenatorBaldwin,Delivering results for Algoma with the infrastructure law I voted for and that was signed into law by @POTUS. https://t.co/Mzg50u42TY
SenatorBaldwin,"Raising taxes on millions of working families and opening the door to sunset Social Security and Medicare and put them on the chopping block is not a ""positive thing.""
https://t.co/FkZQX1HG3s"
SenatorBaldwin,"I support protecting #RoeVWade. 

I support passing the #WomensHealthProtectionAct. 

I will fight to protect the constitutional rights and freedoms of Wisconsin women because we cannot take them back to 1849.
https://t.co/WZC2GA0ITP"
