handle,text
SenatorHagerty,"We have pressing problems here in America that we're not addressing—we have people in Memphis that can't find formula for their children; people in Knoxville that can't gas their tank up because it's too expensive. We have real problems, &amp; they precipitate from the Biden Admin."
SenatorHagerty,"96,908 of the 234,088 migrants encountered at the Southern border last month were expelled because of Title 42. We cannot afford to lose that authority. https://t.co/BQoIkM7oW4"
SenatorHagerty,"Excited to welcome these interns to our office here in Washington for the summer. They’re embarking on an incredibly growing experience, and I’m pleased to be able to be a part of that! https://t.co/QxDCFgWwBj"
SenatorHagerty,"Every step this Administration has taken has been toward more inflation, yet they refuse to take responsibility. https://t.co/FiOe6bX9ph"
SenatorHagerty,"Biden slammed for 'waging war' on US industry: 'We have crises erupting across our nation,' Sen. Hagerty says | @FoxNews https://t.co/ifNnbccXwk"
SenatorHagerty,"Our bipartisan delegation sees opportunities for Biden to advance U.S. interests when he travels to Tokyo for bilateral meetings with the Kishida government &amp; multilateral meetings with our Quad partners, &amp; we stand ready to work with him to seize them.https://t.co/aZyAWS1qCS"
SenatorHagerty,Join us! https://t.co/ENqL4UoAQe
SenatorHagerty,"Even though the border crisis is worse than ever, the Biden Administration is voluntarily ending Title 42 pandemic-related authority. This surrender of American security would be intolerable. https://t.co/qbEABDjDQS"
SenatorHagerty,"Good morning! Getting ready to speak to @MariaBartiromo on @FoxBusiness about the Hunter Biden investigation, inflation, our collapsed southern border, and more crises erupting across the nation. 

Tune in! 📺 https://t.co/gwNRw8JyZp"
SenatorHagerty,"Biden slammed for 'waging war' on US industry: 'We have crises erupting across our nation,' Sen. Hagerty says | @FoxNews https://t.co/ifNnbbVm7K"
SenatorHagerty,"Although Washington may not agree on much right now, @JohnCornyn, @SenatorCardin, &amp; I strongly agree on the growing opportunities for strengthening the U.S.-Japan alliance &amp; the Quad. We stand ready to work with Biden in seizing these opportunities.https://t.co/aZyAWS1qCS"
SenatorHagerty,The President cannot simply stand by while violent crime continues to wreak havoc on our communities—fueled by our open southern border. Pleased to join @SenBillCassidy in working to hold the Administration accountable in combating violent crime and keeping Americans safe. https://t.co/h5SjhK7bwr
SenatorHagerty,"Americans are still feeling the worst pain they’ve ever felt at the pump, yet the Biden Administration just last week canceled a 1-million-plus acre oil lease in Alaska &amp; 2 in the Gulf of Mexico. We need to unleash American energy now, not restrain it! https://t.co/wF8avKHBFV"
SenatorHagerty,Great to visit with 8th graders from Chattanooga Christian School in the Senate yesterday! https://t.co/gn78ZnoSYG
SenatorHagerty,"Expanding U.S. diplomatic presence in the Pacific Islands will strengthen our ability to engage with regional partners &amp; counter the CCP while advancing security &amp; prosperity in the Indo-Pacific. As former US Amb. to Japan &amp; US Senator, I'm pleased to join this bipartisan effort. https://t.co/yVhp68IMds"
SenatorHagerty,"As one border patrol agent told me, the people crossing the border don’t stay in this area, and neither do the drugs being trafficked.

This madness has to end. https://t.co/fksFOxJjn5"
SenatorHagerty,I'm voting against the Ukraine aid bill. We have crises erupting across the nation—mothers can't get formula. Illegal drugs are flowing across our open border. Crime's running rampant. Yet we're rushing to put more aid into another country when we're not taking care of our own. https://t.co/1XuZwWH50X
SenatorHagerty,".@JohnCornyn, @SenatorCardin, &amp; I recently led the first congressional delegation to Japan since the pandemic began. We see opportunities for Biden to advance U.S. interests when he travels to Tokyo this week.

Read our new joint op-ed in @kyodo_english: https://t.co/aZyAWS1qCS"
SenatorHagerty,Sen. Bill Hagerty: We're rushing to take care of problems overseas | @FoxNews https://t.co/XZr5gmWciF
SenatorHagerty,"Since the day President Biden took office, our world has become a much less safe place. https://t.co/EPe9ld8na1"
