handle,text
SenatorHick,"In Washington, we’re working hard to lower costs for families, including: 

☑️Rebuilding supply chains
☑️Lowering costs for prescription drugs 
☑️Increasing access to childcare
☑️Revitalizing American manufacturing

…and so much more!"
SenatorHick,"This #JewishAmericanHeritageMonth, we celebrate the generations of Jewish Americans who have contributed enormously to our country’s history and culture."
SenatorHick,"At yesterday’s @EnergyDems hearing, one thing was clear: carbon pricing is a vital 21st century energy strategy that will lower emissions across the globe. https://t.co/mtMb2HDmzV"
SenatorHick,"Spoke with @SenatorBennet and Secretary of the Air Force Frank Kendall about the U.S. Space Command HQ basing decision.

We expressed to Secretary Kendall that Colorado Springs is Space Command’s best option for our national security. https://t.co/1EfMSR8hyk"
SenatorHick,"Police officers risk their lives every day to protect and serve our communities.

This #NationalPoliceWeek, we say thank you to all the men and women who help keep us safe, and remember those who have lost their lives in the line of duty."
SenatorHick,"No matter where you live, who you are, or how much you earn, everyone deserves access to high-quality, affordable health care."
SenatorHick,"Craft beer? Never heard of it. 😉

Happy #NationalAmericanCraftBeerWeek to all who celebrate! https://t.co/uAY0bjKz5b"
SenatorHick,"We can't ignore the role of white supremacy in these mass shootings. Tree of Life, Charlottesville, El Paso, and now Buffalo.

We must take these threats seriously, and condemn those who spread violence and hate so we can put an end to these racist attacks."
SenatorHick,"Nearly 1 in 5 Americans lives with a mental health condition.

This #MentalHealthAwarenessMonth, let’s reduce the stigma so many face and advocate for a better mental health care system."
SenatorHick,"From staying ahead of China to helping fight inflation, our Bipartisan Innovation Act is going to be an absolute game-changer.

I’m proud to fight for Colorado as we begin work on this important bill."
SenatorHick,"Reliable internet is critical to ensuring our communities thrive.

Our Bipartisan Infrastructure Bill is connecting schools, businesses, and households across the nation to affordable, high-speed internet."
SenatorHick,"Colorado is helping lead the fight against climate change and accelerating our transition to a clean economy.
https://t.co/4zscu4E5tS"
SenatorHick,"Our CORE Act would be the most significant Colorado public lands bill to pass in a quarter century, and it has widespread bipartisan support in our state.

Coloradans are ready to see this bill pass."
SenatorHick,"Colorado has the most guardsmen conducting space missions of any state, but they’re not incorporated within the Space Force command structure.

Our bipartisan bill would create a Space National Guard so we can maximize readiness and better respond to threats."
SenatorHick,"The cannabis industry is cash-only right now, creating a safety risk for employees, businesses, and communities.

We're fighting to include our SAFE Banking Act in the Bipartisan Innovation and Competition Bill to help reduce these cash-motivated crimes."
SenatorHick,"The Bipartisan Innovation Conference met for the first time today.

We must unleash American innovation or we'll fall behind countries like China.

I look forward to delivering a bipartisan victory for the American people."
