handle,text
SenatorSinema,"We're joining our Senate colleagues to call on the Administration to help Arizona families and implement a national strategy for increasing the availability of infant formula, improving the current supply chain, and protecting against future shortages. https://t.co/pS27wYIJAB"
SenatorSinema,"Our new bill builds on our bipartisan infrastructure law’s investments in Arizona’s water supply by strengthening Arizona’s water storage, recycling, and desalination projects, helping secure Arizona’s water future. https://t.co/2wBSFvpRWT"
SenatorSinema,We met with the Arizona Water Conservation District and the Arizona Department of Water Resources to receive an update on Arizona’s response to the worsening drought conditions in the Lower Colorado River Basin. https://t.co/P3oM1kK5XH https://t.co/LPtfHsMiqL
SenatorSinema,We hosted a roundtable with Arizona clean energy industry leaders and the Arizona Technology Council to discuss the historic investments our Infrastructure Investment and Jobs law makes in clean energy and technology. https://t.co/uXLBnjlIVG https://t.co/rVYu0WsJVA
SenatorSinema,We sat down with our Veterans Advisory Council to discuss our ongoing work to ensure Arizona veterans get the care and benefits they’ve earned through service to our country. https://t.co/iiBqXhxah5 https://t.co/Bi8VWz83oS
SenatorSinema,Honored to tour the United Aviate Academy and see how Arizona continues to lead the nation in aviation by investing in our pilots of tomorrow. https://t.co/N0CaI7kYAX https://t.co/jEuoAvUooZ
SenatorSinema,Great meeting virtually with @AARPArizona! We’re keep working to lower costs for prescription drugs while fueling innovation and ensuring Arizona seniors can keep more of their money in their pockets. https://t.co/DocSHPdlTV
SenatorSinema,"Happy 110th Birthday, @cityofchandler! 🌵"
SenatorSinema,"Thanks to our bipartisan Infrastructure Investment and Jobs Law, Arizona families will see increased access to affordable internet. https://t.co/JHHC26IXnr"
SenatorSinema,"The current baby formula shortage is stressful for Arizona families. If you’re unable to find or afford baby formula during this challenging time, explore resources, hotlines, and support available to you. ⬇️
https://t.co/0bpYWeHJPQ"
SenatorSinema,Our aviation field hearing provided invaluable perspective into how we can continue partnering with aviation industry leaders and workers to ensure their needs are met and our aviation workforce remains strong. https://t.co/Oe8BCgKS3W
SenatorSinema,"This #NationalCancerResearchMonth, we passed a bipartisan resolution calling for innovations in treating glioblastomas in honor of Senator John McCain. ⬇️
https://t.co/DixLYKO5bE"
SenatorSinema,"Today and every day, we honor the sacrifices of law enforcement officers who lost their lives keeping Arizonans safe. #NationalPeaceOfficersMemorialDay"
SenatorSinema,"Thanks to our Infrastructure Investment and Jobs law the Yuma area will receive $82 million to repair and improve outdated water systems, helping to secure our water future.
https://t.co/6q4sq4ijQj"
SenatorSinema,"May is #AAPIHeritageMonth. This month and every month, we stand united against anti-Asian discrimination, and celebrate the important contributions of the Asian American and Pacific Island community to our state and country."
SenatorSinema,We’re chairing a Senate Aviation Subcommittee hearing in Goodyear to discuss aviation safety and workforce needs with industry leaders and workers. Watch Live: https://t.co/GuNrKiI9ut
SenatorSinema,Such fun w/ @SenCapito and team at this morning’s @ACLINews #capchallenge - it was great to be out there together again &amp; I can’t wait for next year’s race! 🏆 https://t.co/eAxKntYRsR
SenatorSinema,"During #PoliceWeek, we’re grateful for the service and sacrifice of AZ law enforcement. Tomorrow at 8 p.m., The National Law Enforcement Officers Memorial Fund (@NLEOMF) will honor Arizona officers who fell in the line of duty last year. Stream here: https://t.co/QWFdVspriT."
SenatorSinema,🏃‍♀️🏆 https://t.co/4GQXOKkMVc
