handle,text
TomColeOK04,"📰 ICYMI: I co-authored an op-ed with @RepRichHudson &amp; @RepJimBanks outlining @HouseGOP's solutions to ensure our nation is fully prepared &amp; mission ready for the next pandemic by strengthening our medical supply chain, securing our public health systems &amp; more. 

Read ⬇ https://t.co/SeTqjDOhBt"
TomColeOK04,"☀ With summer just around the corner &amp; many Americans likely to spend a lot of time in the sun, #SkinCancerAwarenessMonth is an important reminder to look out for your skin!

Info about skin protection &amp; spotting abnormalities on your own ⬇
https://t.co/zUIabkjsE3"
TomColeOK04,"#OnThisDay 57 years ago, @HeadStartgov was created &amp; has since served more than 39 million children nationwide. In my capacity on @HouseAppropsGOP, I look forward to continuing to champion this program that helps ensure every child has the opportunity to succeed. @NatlHeadStart"
TomColeOK04,"The Defense Appropriations Subcommittee in the House is meeting now for a hearing on the fiscal year 2023 budget request for @USNavy &amp; @USMC. @HouseAppropsGOP

Tune in ➡️ https://t.co/1mCeKskiUy"
TomColeOK04,"As @RulesReps Ranking Member, I was honored to escort @kmitsotakis into the House chamber, where he addressed a joint meeting of Congress today. Especially considering the longtime history of our countries as friends &amp; NATO allies, it was wonderful to welcome him! 🇬🇷 https://t.co/1hRXhvaqPQ"
TomColeOK04,"ICYMI: Voting is underway for #OK04's ""People's Choice"" winners of the 2022 Congressional Art Competition! 

🎨 Cast your vote by 12pm CT on Friday, May 20: https://t.co/SRYwsASf8E"
TomColeOK04,"The Labor-HHS-Education Appropriations Subcommittee in the House is meeting now for a hearing on the fiscal year 2023 budget request for @USDOL. @HouseAppropsGOP

Tune in ➡️ https://t.co/l4sdSm7h69"
TomColeOK04,"While @POTUS continues to blame Russia &amp; domestic energy producers for the rising price of gas, do not be fooled into believing that false narrative. Indeed, his actions from the get-go directly caused this situation.

More ⬇
https://t.co/IEY14eef1h"
TomColeOK04,"Throughout #MentalHealthAwarenessMonth, we are reminded of the importance of mental wellness &amp; the need to support those fighting silent battles. If you or someone you know needs assistance or resources, please visit the link below. You are not alone! https://t.co/W8Wk4VKwPW"
TomColeOK04,"On #PeaceOfficersMemorialDay, we remember &amp; honor those lost in the line of duty. As we grieve with their families &amp; loved ones on this solemn day, we remain eternally grateful for their incredible sacrifice that can never be repaid."
TomColeOK04,"There has certainly been a lot going on inside &amp; outside of Congress this week. I discuss the additional aid for Ukraine passed in the House, the alarming record high gas prices directly caused by @POTUS’ anti-American energy policies &amp; more in my Weekly Chat. ⬇️ https://t.co/xhgxdWO9pf"
TomColeOK04,"My office received several entries from #OK04 high school artists for the 2022 Congressional Art Competition, &amp; now we need your help picking our ""People's Choice"" winners!  #FourthDistrictFriday

🎨 Cast your vote: https://t.co/SRYwsASf8E https://t.co/c9o5PWZvCG"
TomColeOK04,"The Defense Appropriations Subcommittee in the House is meeting now for a hearing on the fiscal year 2023 budget request for @usairforce &amp; @SpaceForceDoD. @HouseAppropsGOP

Tune in ➡️ https://t.co/aRj74FJd7c"
