handle,text
USRepKCastor,Only 3 #Florida Republicans voted to honor Judge Hatchett after previously co-sponsoring the bill. https://t.co/FeFQdeK8ig
USRepKCastor,Bill to name federal courthouse in Tallahassee for Judge Joseph Hatchett of Florida passes House 230-190 https://t.co/6LIRck1W5n https://t.co/fBWTBK6fFv
USRepKCastor,"Ensuring #Tampa parents have access to safe, affordable infant formula is urgent, and I am pressing for action to ensure that all babies have the nutrition they need to be healthy and grow. #FeedOurInfants

Resources are available to families at https://t.co/wVZP3qmyHU."
USRepKCastor,"Head Start provides essential early support to more than 1M children &amp;their families across America. High quality early education is vital to the economic well-being of #Tampa families, &amp; #HeadStart gives children the tools needed for a strong start in life. #HappyBDayHeadStart! https://t.co/ADlxZZboD1"
USRepKCastor,It’s an honor to recognize Judge Joseph Hatchett for his trailblazing life of integrity &amp;service by naming the federal courthouse in Tallahassee for him. I urge my colleagues to come together in a strong bipartisan vote to honor this proud son of Florida today. https://t.co/hCpW5HVIMo
USRepKCastor,"👏Banner day for #EqualPay and progress: @USWNT champions achieved important pay milestone for the team, but in doing so inspired a generation to stand up and speak out for pay equity in the workplace. 
https://t.co/GUvYWInWP0"
USRepKCastor,"In the weeks ahead, the House Appropriations Committee will review the submissions of all projects from House Members – I am committed to transparency &amp; advocating for these projects until they are completed.

Keep an eye on my feed for updates!"
USRepKCastor,15. @CityofTampa would provide for further clean  hydroelectric power generation at the Hillsborough River Reservoir Dam and enhance energy recovery at the Water Department’s remote pump station. ($2M requested) https://t.co/JJzPxQ89Ua
USRepKCastor,"14. @LionsEyeInst would create a state-of-the-art treatment and research facility that will provide comprehensive, streamlined vision care, services &amp;research, building on an existing relationship with @USouthFlorida physicians. ($2.3M requested) https://t.co/UrP2NCR3w2"
USRepKCastor,"13. This project would complete the @TheSkillsCenter'  new opportunity center for low-income youth, with the goals of on-time grade promotion, high school graduation, and preparation for life after high school for every program participant. ($3M requested) https://t.co/XSDEypG0g9"
USRepKCastor,12. @CDCofTampa_'s Pre-Apprenticeship Training &amp;Hiring Program would address the persistent skills gap in #Tampa thru local partnerships &amp; provide opportunities for underrepresented youth to access high-skilled trade careers and diversify the talent pipeline. ($1.8M requested) https://t.co/6a8CGq9NED
USRepKCastor,"11. We can save lives by meeting our neighbors where they are - @MoffittNews would increase lung cancer screening rates among underserved and disadvantaged populations in Tampa through a fully mobile, electric lung cancer screening vehicle. ($2.3M requested) https://t.co/fwZajcpJ6B"
USRepKCastor,"10. By removing barriers for some of the most under-represented entrepreneurs, @tampabaywave can fill a critical gap in Tampa’s local startup ecosystem, and make a lasting impact on our economy. ($500k requested) https://t.co/wM9hJEXNTg"
USRepKCastor,"9. @HillsboroughFL would improve the quality of life, increase economic opportunities and property values for 26k+ #ProgressVillage + #PalmRiver residents that are faced with the hazards of living in densely populated areas that are dependent on septic.  ($1.9M requested) https://t.co/hLSB7Ip8HK"
USRepKCastor,"8. By making improvements to ~285 bus stops in @HillsboroughFL, we can address equity and accessibility issues and ensure Floridians and visitors safely get where they need to go while using our growing public transit system. ($5M requested) https://t.co/6mhUktkd0c"
USRepKCastor,"7. @USouthFlorida researchers are world class, and this project would bring the first functional MRI machine with full research capabilities to the Tampa Bay area, benefiting patients with clinical trials and advancing brain science research opportunities. ($2M requested) https://t.co/G5PYVAtgDH"
USRepKCastor,6. The Feeding Tampa Bay Solar/Wind Energy Efficiency Program would unleash clean energy to support our neighbors. This project would provide a new energy efficient cold storage facility at @FeedingTampaBay to combat food insecurity in our community. ($2.6M requested) https://t.co/yzrZSt1ry9
USRepKCastor,5. The new Counseling and Wellness Centre at @CentreForWomen would expand local behavioral health services and train the next cohort of mental health providers in the Tampa Bay area. ($1.2M requested) https://t.co/3FLPHUeYdf
USRepKCastor,"4. The Community Arts Education Initiative would develop an arts education program for @HillsboroughSch students in underserved and struggling communities, enhance the student educational experience, and introduce students to potential career paths in the arts. ($1.9M requested) https://t.co/gYnKKrxBDA"
USRepKCastor,3. The Building Tampa’s Tomorrow-Workforce Development Initiative would train students &amp; create a critical career pipeline to #Hillsborough's highest demand fields &amp; provide opportunities for underrepresented youth to high-skilled trade careers. ($2.3M requested) https://t.co/mLJqPWE0Kx
USRepKCastor,"2. To provide a long-term solution to property damage from local flooding, we will stabilize and improve the existing Palmetto Beach/Bermuda Boulevard seawall along McKay Bay to reduce risk to the surrounding working class community. ($3M requested) https://t.co/H1VPZwI84A"
USRepKCastor,"1. The New African American Arts and Cultural Center in #WestTampa will connect our neighbors, provide arts experiences, educational enhancement, and community engagement that will further economic development in the area. ($1M requested) https://t.co/a1RpmIMgPZ"
USRepKCastor,"While it was difficult to narrow the selection to 15 projects, I am confident that these investments will lift our community for years to come. The entire Tampa/Hillsborough district is represented in these funding requests:"
USRepKCastor,"🧵THREAD:
I am pleased to announce my 15 FY23 Community Priority selections.

I received 50+ requests from #FL14 to tackle the rising cost of living, educate the next generation, and create good-paying jobs. https://t.co/nmV4EQNTsQ"
USRepKCastor,"So, #Florida thanks you, President Biden and @RepValDemings @RepCharlieCrist @RepLoisFrankel @RepDWStweets @RepTedDeutch @RepDarrenSoto @RepAlLawsonJr @RepWilson @RepStephMurphy!

And - BTW - we are grateful for that Infrastructure and Jobs Act too! 😅😉🇺🇸"
USRepKCastor,"+ DeSantis has given out $77 million in job growth grants since August that came from the federal #AmericanRescuePlan along with the $500M Resilient Florida Trust Fund meant to fight climate change. Even $1,000 first responder bonuses are being covered by federal stimulus money."
USRepKCastor,"… small business owners needed emergency fed support as a bridge through economic uncertainty. The expanded child tax credit and Affordable Care Act tax credits were godsends to Florida families. With @POTUS and @HouseDemocrats help, Floridians will enjoy a gas tax holiday too!”"
USRepKCastor,"I think what Gov DeSantis means to say is… 

“Thank you Joe Biden and Democrats in Congress for voting to cut costs for Floridians and put $ back in pockets when they needed it. While the Florida job market is strong and equity in homes has increased, many working people… https://t.co/RDYaUdcPA6"
USRepKCastor,"My heart is with the victims of today’s heinous racially-motivated shooting in Buffalo. 

This is a horrific act of violence, and another reminder of the urgency to act on common sense gun reforms to keep our neighbors safe."
USRepKCastor,Don’t miss out on the Uptown Music Festival at #UniversityArea park today! https://t.co/JpqHAIVwJU
USRepKCastor,The University Area CDC cultural campus is already connecting our neighbors with affordable housing and job opportunities to help them thrive. Proud to have secured a federal support to help bring this vision to life!
USRepKCastor,Great to meet with @Hospital4Kids this #MentalHealthAwarenessMonth to thank them for supporting my #ASSISTAct which will boost mental health services for children in #Tampa and around the country. Appreciate your advocacy for our nation’s kids and health care providers! https://t.co/OuFUhPE470
USRepKCastor,"We will not let Republicans criminalize abortion. 

@HouseDemocrats will fight for the freedom of women to make decisions about their bodies and their futures. #RememberInNovember and organize now! https://t.co/CzcEfiqf5R"
USRepKCastor,"TSA's frontline Transportation Security Officers at @FlyTPA, who keep our skies secure every day, deserve the same workplace protections as other federal employees. I'm proud to support the #RightsForTheTSAWorkforce Act to increase pay &amp;access to collective bargaining for them."
USRepKCastor,More on my bill: https://t.co/Nyc0mwKnE0
USRepKCastor,"Rory is right – social media is impacting the mental health of our kids, &amp; I’m grateful @POTUS is ready to take action. My #KidsPRIVCY Act will safeguard our kids online, hold companies accountable for their actions and provide parents tools they need while children surf the web. https://t.co/sg5FeuL5A8"
