handle,text
repdelgado,"Today, the Senate announced a bipartisan agreement on legislation to deliver toxic-exposed veterans their earned health care &amp; benefits under @DeptVetAffairs. Passing this bill will be an important victory for the men and women who put their lives on the line for our country."
repdelgado,"During Jewish American Heritage Month, we honor our Jewish communities in New York and across the country. As we celebrate the contributions Jewish Americans provide to the rich fabric of our nation, we must work to combat antisemitism and hate."
repdelgado,"Yesterday, the House passed the Workforce Innovation and Opportunity Act. This bill will help strengthen our nation’s workforce development system through training, career, and supportive services for folks of all ages throughout #NY19 and the country."
repdelgado,"Last night, the House voted to pass the bipartisan Nonprofit Security Grant Program Improvement Act. I am a proud cosponsor of this bill that will provide additional funding to help protect more houses of worship and nonprofits against hateful threats and attacks."
repdelgado,"Today marks the 68th anniversary of the Brown v. Board decision. This landmark ruling ended legal racial segregation in public schools and determined it unconstitutional. Today, we must continue the work to ensure our classrooms &amp; schools are safe and affirming for every student."
repdelgado,"As COVID-19 infections are on the rise again, we can all do our part by getting vaccinated &amp; using rapid tests. Another round of free tests can be found on https://t.co/i6Vh3SmOjE. It takes about a minute to fill out, and you'll get 8 tests delivered to your home via USPS."
repdelgado,"May is Military Appreciation Month. I am so grateful for all the men and women who have served our country, fought for our freedoms, and protected our communities. Thank you to every single servicemember and veteran, we are forever indebted to you."
repdelgado,"The formula shortage is affecting parents across #NY19 and the country. @HHSgov has launched https://t.co/be3Lazoapj, a site with informational resources and places parents can go to obtain formula, including companies, food banks, and health care providers."
repdelgado,"Today, members of my staff will be at the Kinney Memorial Library, Ellenville Public Library, Middleburgh Library, and Liberty Public Library for mobile office hours. Stop by to get casework help from my team. https://t.co/T5fIy7ktZq"
repdelgado,"Tomorrow, members of my team will be out in #NY19 for mobile office hours. If you have questions about federal agencies or other casework, stop by to get answers and work toward a solution. https://t.co/NHTrfvCk3N"
repdelgado,"If you are struggling with your mental health, there are resources available. During #MentalHealthAwarenessMonth, I urge you to learn more about the tools at your disposal. Visit: 

•https://t.co/EKeFHduHWo

•https://t.co/wsvININ1ou"
repdelgado,"The tragic and hateful attack in Buffalo last night is heartbreaking. My love &amp; prayers are with the families and loved ones of the victims. As we hold the community in our thoughts, we must do more to confront racism &amp; address gun violence wherever they rear their ugly heads."
repdelgado,"On Monday, members of my district office will be at four different locations in #NY19 for mobile office hours. If you have an issue tied up with a federal agency, program, or benefit – like Social Security or the VA – visit one of the libraries and my team may be able to help. https://t.co/tS5Nb8bwR5"
repdelgado,"If you are planning to travel this summer, stay up to date with international COVID-19 policies, passport expiration dates, and visa requirements. For travel tips and more information on how to safely travel this summer, follow @TravelGov or visit https://t.co/XmZKLWJPWD."
repdelgado,"This week, the Empowering the U.S. Fire Administration Act passed on the House floor. I was proud to cosponsor this bill that will support local firefighters in their investigations of dangerous fires &amp; recommend steps they can take to prevent future fires and loss of life."
repdelgado,"On Monday, members of my team will be out in #NY19 for mobile office hours. You can stop by and ask questions about issues tied up with federal agencies, federal grant opportunities, and more. https://t.co/mLfig92oHM"
repdelgado,"Communities must be equipped with the tools they need to lift families out of poverty. Today, the House passed bipartisan legislation that will modernize the Community Services Block Grant program &amp; deliver resources to local community organizations across New York &amp; the country."
repdelgado,"Yesterday marked the loss of one million lives in the United states due to COVID-19. As we honor those we have lost to this virus, we pray for families, loved ones, and caregivers who have endured so much. My thoughts are with everyone impacted by this global crisis."
repdelgado,Today the House passed the bipartisan Rights for the TSA Workforce Act which will provide the workers who keep our skies safe with the same basic rights and protections afforded to other Federal workers under Title 5 – including better pay and full collective bargaining rights.
repdelgado,"The @US_FDA is taking steps to help improve supply of infant and specialty formula products. However, if you're struggling to find baby formula during the shortage, there are some resources and advice available.
 
https://t.co/NnfRvIiJq8"
repdelgado,"In Congress, I’ve been fighting to protect the freedom to vote and end the dominance of big money in politics. I’m proud to have received an A+ on the @stopbigmoney scorecard. We must keep working to stop corruption and strengthen transparency and accountability. https://t.co/OhKFS8Xn9Y"
