handle,text
Ilhan,A new billionaire has been minted every day during the pandemic. Meanwhile:38 million Americans don’t have enough food to eat30 million are uninsured64% of renters can barely afford housing The problem is greed.
Ilhan,On Tuesday we’re holding an in-person town hall at 7pm CT.  We will share our takeaways from a recent Congressional Delegation trip to Central America and answer any questions you have.  Register here:  
Ilhan,Four companies control 90% of the baby formula market.  The national shortage is a direct result of corporate monopolies. We led a letter calling for an investigation into the consolidation of the baby formula market.
Ilhan,Yesterday the House voted to crackdown on price gouging at gas stations. Proud to have voted for this legislation to finally hold big oil corporations accountable and bring the costs at the pump down.
Ilhan,And @RepHuffman @RepBarbaraLee @TimRyan and @RepJoeNeguse.
Ilhan,@FTC @RepAOC @RepRashida @RepPressley @RepMarkTakano @EleanorNorton @RepBonnie @RepAndreCarson @RepCori @RepHuffman @RepBarbaraLee Thanks to our co-signers: @RepMarkTakano @RepRaulGrijalva @RepBonnie @EleanorNorton @repblumenauer @RepPressley @RepRashida @RepBowman @RepAndreCarson @RepNikema @RepCori @RepAOC @RepCindyAxne @gracenapolitano @repcleaver @RepDean @NydiaVelazquez @RepRubenGallego
Ilhan,The nationwide formula shortage is a story of corporate power and monopolies.Today we led a letter calling for a full @FTC investigation into consolidation in the U.S. formula industry. 
Ilhan,More than 38 million Americans—12 million of them children—are hungry.With your help we can end hunger and increase healthy eating and physical activity by 2030.Sign up for one of the listening sessions from the @WhiteHouse Commission on Hunger:  
Ilhan,Today the House honored the ten victims of a white supremacist terror attack in Buffalo. We cannot be numb to this continued carnage. We must act to end gun violence and combat domestic terror. 
Ilhan,The U.S. provides fossil fuel corporations with over $15 billion in subsidies every year and these same polluters turn around and gouge prices for the American public.Here’s an idea: stop giving billions of dollars in corporate welfare to the companies destroying our planet.
Ilhan,No one should ever be discriminated against because of the texture of their hair.Yesterday we discussed the importance of the CROWN Act and why we’re fighting to end hair discrimination once and for all. Thankful for @RepBonnie’s leadership in sponsoring this legislation. 
Ilhan,More Americans have been killed from gun violence than have died in all our wars combined.When will it be enough? We have the power to end gun violence and must act.
