handle,text
JohnCornyn,*I’m grateful to law enforcement and everyone who worked to stop the shooter as well as the medical staff working now to prevent further loss of life.*I join my fellow Texans in lifting up the entire Uvalde community during this unimaginable tragedy.
JohnCornyn,My heart goes out to those in the hospital receiving care and to the loved ones of those who lost their lives. As a parent I cannot imagine the pain they must be feeling. *I am in touch with local officials in Uvalde and plan to travel there as soon as I can get there
JohnCornyn,No parent child or teacher should ever have to wonder whether it’s safe to go to school.*This is an excruciatingly painful time for the tight-knit Uvalde community and for all Texans.
JohnCornyn,Today the entire state of Texas is in mourning. *Earlier today a gunman entered an elementary school in Uvalde Texas and opened fire. *The shooting at Robb Elementary School is every parent and teacher’s worst nightmare.
JohnCornyn,He is staying with his talking points. 
JohnCornyn,“recruiting help from a team of compatriots he hoped to smuggle into the country over the Mexican border”
JohnCornyn,ISIS Plotting To Assassinate George W. Bush In Dallas via @forbes 
JohnCornyn,Samsung to spend $355 billion over five years on chips and next-gen technology  via @ZDNet &amp; @joechomuhyun
JohnCornyn,One of the most significant and troubling news items few are paying attention to.  
JohnCornyn,It reaffirms what is already illegal and subject to prosecution.  A narrative in search of a purpose. 
JohnCornyn,We don’t have time to mess around with this” he said. “We can follow up this narrow bill with something broader and I would likely support it. But dragging your feet on this while the justices and their families are exposed is irresponsible.”
JohnCornyn,Funding mostly absent from Supreme Court security discussion 
JohnCornyn,Memo reveals DOJ pushback on domestic terrorism bill  via @politico
JohnCornyn,Poll: Voters Don’t Like Supreme Court Leak—or Restructuring the Judiciary  via @WSJOpinion
JohnCornyn,Immigration Disappears From Kamala Harris’ Public Schedule  
JohnCornyn,Drugs 
JohnCornyn, 
JohnCornyn,No substitute for the Trans Pacific Partnership but it is a start. 
JohnCornyn,Biden Says U.S. Military Would Defend Taiwan if China Invaded 
JohnCornyn,Hillary Clinton’s 2016 campaign manager says she approved a plan to plant a false Russia claim with a reporter.  via @WSJOpinion
JohnCornyn,A federal appeals court rules that the Securities and Exchange Commission can’t act like prosecutor judge and jury.  via @WSJOpinion
JohnCornyn,A lesson from the Ukraine war: Secure our semiconductor supply chains 
JohnCornyn,Synthetic opioids are coming across the southern border but the Biden administration doesn’t seem to care. Opinion: Has the opioid crisis become a poison control problem? 
JohnCornyn,POLITICO-Harvard poll: Majority of Americans support continued migrant expulsions under Title 42  via @politico
JohnCornyn,Senate Was Right to Pass Ukraine-Aid Bill 
