handle,text
MarshaBlackburn,Horrified and heartbroken to learn of the significant loss of life in the shooting in Uvalde Texas. Please join me in lifting their loved ones up in prayer. Thank you to the local first responders working on the scene.
MarshaBlackburn,President Biden's comments during his trip to Asia show he is not in charge. His staff cleaning up his remarks is running the show.
MarshaBlackburn,Not a word from the NBA on the CCP’s egregious human rights violations after NBA games returned to Chinese state-run TV.Perhaps it has a lot to do with the over $10 billion NBA owners have invested in China. 
MarshaBlackburn,Known terrorists are coming across the U.S.-Mexico border.This is a national security crisis.Secure our southern border immediately.
MarshaBlackburn,
MarshaBlackburn,The FBI has uncovered a plot by ISIS to assassinate former President George W. Bush. The alleged plotter came into the U.S. in 2020 claimed asylum and was planning to smuggle his terrorist friends in through the southern border.
MarshaBlackburn,Joe Biden is praising rising gas prices — chalking it up to the “incredible transition” away from fossil fuels.
MarshaBlackburn,While the Biden administration takes a victory lap for airlifting baby formula to the U.S. they would like us to forget that it was because of their failure to act quickly that resulted in this crisis.
MarshaBlackburn,As we are learning Hillary Clinton may have executed the most successful disinformation campaign in American history.
MarshaBlackburn,Kamala Harris BLM and the radical want to destroy the nuclear family. 
MarshaBlackburn,As people in the Sussmann trial have testified Hillary Clinton created a false Russian collusion theory leaked it to the media and then acted astonished when the news broke.
MarshaBlackburn,The Biden administration is back to claiming inflation is “transitory.”Let’s take a look at their history of pointing the finger at anyone but themselves. 
MarshaBlackburn,Defund the CCP-run World Health Organization.
MarshaBlackburn,If Biden does support Taiwan as he claims why is he excluding Taipei from the IPEF?
MarshaBlackburn,It seems like the Biden administration still does not know where they stand when it comes to a military contingency on Taiwan. The USA must stand for freedom.
MarshaBlackburn,The early draft of the National School Board Association’s letter requested the National Guard and military be deployed to monitor concerned parents in school board meetings.This must never happen in America.
MarshaBlackburn,Everyone involved in cooking up the false Trump-Russian collusion narrative should be held fully accountable — including Hillary Clinton.
MarshaBlackburn,We should not be handing the Chinese-run World Health Organization any more authority.
MarshaBlackburn,The Biden administration is appealing the court’s decision to keep Title 42 in place. It’s almost as if they don’t care how out of hand the border crisis becomes.
MarshaBlackburn,The Biden-Backed World Health Organization Amendment Would Hand Over U.S. Public Health Powers to the U.N. 
MarshaBlackburn,Tennessee is made up of so many friendly communities and compassionate people. I am blessed to call it home! 
MarshaBlackburn,“Let us then with confidence draw near to the throne of grace that we may receive mercy and find grace to help in time of need.” — Hebrews 4:16
MarshaBlackburn,It was a pleasure to meet with Arnold Community Council to discuss supporting infrastructure modernization and workforce development. They are the jewel of the military’s testing infrastructure.@AEDCnews 
MarshaBlackburn,It is amazing to see the accomplishments and the difference women are making in this country. Thank you for your service to our great nation 🇺🇸 
MarshaBlackburn,Morgan Stanley is blaming record-high inflation on Joe Biden’s $1.9 trillion spending bill.
MarshaBlackburn,Today we honor all who serve and have served in our branches of military.Thank you for your service and sacrifice to our nation. #ArmedForcesDay
