handle,text
RepAndyBarr,It was my pleasure to address the Jessamine County Chamber of Commerce yesterday with my friend and colleague @RepGuthrie. I will continue to fight against this administration’s war on economic prosperity and champion policies that bring business to Kentucky’s Sixth District. 
RepAndyBarr,I was honored to attend the groundbreaking of Windstream’s new regional HQ in Lexington today. Broadband expansion has been a top priority of mine and this historic investment will reinforce Windstream’s commitment to connecting Americans to fast and reliable internet service. 
RepAndyBarr,His two decades of service as Jessamine County Sheriff is appreciated by many. Please join me in praying for Sheriff Corman’s family and friends.
RepAndyBarr,I am saddened by the passing of Jessamine County Sheriff Kevin Corman. Sheriff Corman was a friend and always had a big smile on his face no matter the occasion. 
RepAndyBarr,Today was the annual Veterans Appreciation event in Anderson County. It was an honor to participate and recognize the extraordinary service to our country from veterans in Anderson County. God bless America! 🇺🇸 
RepAndyBarr,Russia’s energy industry is booming. We need to close a key loophole in our sanctions to strike a blow to Russia’s energy sector and economy. I lay out my bill to do just that in the @washingtonpost ⬇️ 
RepAndyBarr,Now House Dems voted down legislation I supported to send existing fed funds to boost baby formula production &amp; prohibit the FDA Commish from travel unrelated to the baby formula crisis until it is solved. The baby formula shortage is unacceptable &amp; I’ll keep working to fix it.
RepAndyBarr,🚨Baby Formula Update🚨 First Biden’s FDA cut off over 40% of our nation’s baby formula w/out a plan to backfill the supply.
RepAndyBarr,➡️ Reapprove the Keystone XL PipelineIt’s almost like they are trying to break their own record.
RepAndyBarr,Gas ⛽️ prices continue to spike to new highs. For the SIXTH time House Democrats blocked passage of legislation I am cosponsoring that would: ➡️ Remove restrictions on liquified natural gas exports➡️ Restart oil and gas leasing on federal lands 
RepAndyBarr,Not only is ESG a scam it will worsen our inflation crisis drive gas prices even higher and hurt investors by diminishing the returns of IRAs 401k plans and 529 college savings plans. 
RepAndyBarr,It’s National EMS Week! Thank you to all the EMTs and EMS professionals in Kentucky and throughout the nation who work day and night to serve their communities and save lives. 
