handle,text
RepAndyLevin,This is not normal and should not be accepted. Full stop. Our country cannot be desensitized to such mass—and preventable—death. I will never stop fighting for gun reform. Our childrens’ lives quite literally depend on it.
RepAndyLevin,I’m a dad who knows what it’s like to wake my kids up for school and help them get ready. To make them breakfast and cherish that shared time together. Sadly the parents of 14 children shared their last moments with their kids this morning without even knowing it.
RepAndyLevin,End the madness. End the madness. End the madness. No more excuses. We need reform to stem the gun violence epidemic now! 
RepAndyLevin,The #XinjiangPoliceFiles confirm what we already know: the Chinese government is committing crimes against humanity against Uyghurs and other minorities in the region. @SecBlinken @USUN must push @UNHumanRights chief to raise these issues w/ CCP officials 
RepAndyLevin,As the climate crisis worsens the need for clean energy could not be more urgent. I was proud to join @RepHuffman and @SenMarkey’s letter to @POTUS to urge a trans-Atlantic effort to transition to clean energy. 
RepAndyLevin,Today was the day that the Trump administration’s racist anti-immigrant Title 42 policy was set to expire but a federal judge blocked the Biden administration from ending it. I applaud @POTUS’ decision to appeal this unjust ruling. Asylum is a human right. 
RepAndyLevin,It’s so critical that we uplift the Black voices that have been writing and advocating for Haiti for decades. Far too often their work is overlooked and undervalued. 
RepAndyLevin,Yet they are mostly being ignored by U.S. media and the Biden administration tragically is not supporting them.
RepAndyLevin,A remarkably broad and representative swath of Haitian civil society has come together to chart a way out of the country’s deepening crisis and a new course to restore Haitian democracy.
RepAndyLevin,Now that the @nytimes has drawn the world’s attention to the astounding effects on Haiti to this day of historical wrongs let’s shine light on what’s happening right now. 🧵
RepAndyLevin,If nonbelievers need more proof on how lifechanging it would be for @POTUS to #CancelStudentDebt they can look at the replies here. 👇🏻 
RepAndyLevin,We are struggling to advance the idea of reparations here in the US. Surely France and the US owe massive reparations to the Haitian people as documented here.
RepAndyLevin,But this new research by the NYT showing the astounding extent to which these illegitimate and immoral payments have impoverished Haiti to this day represents a real blockbuster.
RepAndyLevin,The obscene story of former French slave masters collecting a ransom from Haitians for their own freedom over many decades is not new although it is way too little known. (When I tell people about it I often feel they don’t believe me.) 🧵 
RepAndyLevin,As the largest oil and gas companies continue to rake in massive profits working families are struggling to put gas in the tank. It’s time to hold Big Oil’s price-gouging accountable. 
RepAndyLevin,Read more here: 
RepAndyLevin,Today @SenOssoff and I led 86 of our colleagues in a letter to @TheJusticeDept asking AG Garland to address the increase in threats and violence against election workers. As we near the 2022 midterm elections election workers at all levels deserve to feel supported &amp; protected.
RepAndyLevin,Every single person in this country– no matter where they live or how much money they make – should be able to make their own decisions about their bodies and their lives. Abortion rights are human rights.
RepAndyLevin,It’s an incredible honor to use my voice in Congress to advocate for much-needed resources in Oakland and Macomb Counties to ensure no one is left behind. 
RepAndyLevin,To combat rising costs in the grocery stores and gas pumps I’m calling on @POTUS to #CancelStudentDebt for nearly 45 million Americans and put hundreds of dollars a month back into the pockets of working families who are struggling to pay their bills.
RepAndyLevin,Today marks National Asian &amp; Pacific Islander HIV/AIDS Awareness Day to raise awareness of the impact of the virus in the Asian American and Pacific Islander communities. Today we recommit to ending the stigma and advocating for greater resources for the AAPI community.
RepAndyLevin,I’m happy that @POTUS is stepping up to take action and address our nation’s baby formula crisis. Poor and working-class parents need urgent relief and it’s our job to deliver for them.
RepAndyLevin,If fully funded these new projects chosen to align with principles of equity and accessibility will bring over $19 million to communities in Oakland and Macomb Counties. It’s an incredible honor to use my voice to ensure no one is left behind. 
RepAndyLevin,It was a pleasure to host Israeli intelligence expert and former Mossad director Efraim Halevy for a briefing with House colleagues. We had a productive discussion on Iran nuclear deal negotiations a two-state solution and ways to further peace between Israelis and Palestinians. 
RepAndyLevin,Low-wage workers already struggling to make ends meet are being robbed by bad-actor employers nationwide. That’s why I spoke proudly in support of H.R. 7701 the Wage Theft Prevention and Wage Recovery Act during today’s @EdLaborCmte markup.
RepAndyLevin,This grotesque theory beyond its blatant xenophobia has inspired targeted killings of Jews including the 2018 Pittsburgh Tree of Life synagogue shooting and Poway synagogue shooting in 2019.
RepAndyLevin,White replacement theory has deep antisemitic origins rooted in notions that Jews are conspiring to replace white Americans with members of minority communities. (1/2)
