handle,text
RepDanBishop,Massachusetts' medical establishment is forcing doctors to bend the knee to the woke ideology in order to continue practicing. #CRT is a poison that destroys everything it touches. 
RepDanBishop,April 2022: Secretary Mayorkas tells @Jim_Jordan he doesn't know the whereabouts of 42 suspected terrorists.May 2022: DHS allows a suspected terrorist to run free in our country for two weeks.Secretary Mayorkas must resign immediately. 
RepDanBishop,President Trump said it best if you don't have a border you don't have a country. #BidenBorderCrisis 
RepDanBishop,"This is what Secretary Mayorkas calls an ""effectively managed"" border. #BidenBorderCrisis "
RepDanBishop,This confirms the Biden White House colluded with NSBA leadership to target America’s parents and label them as domestic terrorists.This disgusting abuse of power must be fully prosecuted. 
RepDanBishop,Today marks the 247th anniversary of the signing of the Mecklenburg Declaration of Independence. Happy #MeckDecDay! #ncpol 
RepDanBishop,Should be interesting … 
RepDanBishop,So men can get pregnant and have abortions according to the party of science! 
RepDanBishop,If Democrats took “domestic terrorism” seriously they would stop smearing parents and the rest of their political opponents with that label. 
RepDanBishop,Trust the science! 
RepDanBishop,Radical Left: You're not a human being just moments before being born. 
RepDanBishop,Good riddance Biden's Ministry of Truth. 
