handle,text
RepDarrenSoto,The infrastructure law is historic for our territories —finally they are treated equally.In @NRDems I asked @InsularAffairs Budget Director Jonathan Dunn about plans to ensure territories like Puerto Rico and the U.S. Virgin Islands are able to access these funds in full. 
RepDarrenSoto,We are deeply saddened to learn of the horrific shooting at Robb Elementary School in Texas.Our children deserve so much better than this. Those at the highest level of government must act quickly to end these senseless acts of violence. 
RepDarrenSoto,Last night #TeamSoto had a great meeting with our Justice Advisory Board. We discussed the Domestic Terrorism Prevention Act the historic confirmation of Justice Ketanji Brown Jackson and more. 
RepDarrenSoto,.⁦@GovRonDeSantis’⁩ attempt to protect disinformation campaigns took a BIG hit on Appeal.Deliberate lies hate speech &amp; calls for violence violate terms of service. 1st Amend grants social media companies the right to take it down. #TruthWins 
RepDarrenSoto,Today I had the pleasure of congratulating @OCSArts graduates on the evening of their high school commencement.I am proud of these students’ accomplishment and hope they continue to give the world the gift of their talent every day. 
RepDarrenSoto,I loved seeing the talented students at @DavenportS_Arts today! I was grateful to be invited to talk about Civics the environment and the value of education with them. 
RepDarrenSoto,It was great to visit @hainescity High School today for a jam session with Principal Adam Lane to thank students for their hard work.Always happy to share my love of music with our youth! 🎸 
RepDarrenSoto,ICYMI: We have a path forward on the political status of #PuertoRico. Our new consensus bill gives those on the island the chance to have their voices heard have a clear path to vote for statehood or other options and mark an end to their second-class citizenship. 
RepDarrenSoto,.@POTUS &amp; @HouseDemocrats take action on formula shortage:🏭 Enacting Defense Production Act to boost US production💴 $28M for ⁦@US_FDA⁩ to prevent future disruptions &amp; enhance safety🍼 Expanding WIC Program sourcing to help low income families 
RepDarrenSoto,Yesterday I had the honor of delivering the keynote address at the @KeiserU commencement ceremony. It is always great to see the smiling faces of accomplished students who will soon go on to be our next Central Florida leaders. Congratulations! 
RepDarrenSoto,Had a great time visiting the Orlando Speedworld Track for #FormulaDrift today! It’s great to see so many local businesses working hard to make exciting drift racing events that bring visitors from all over to Central Florida! 
RepDarrenSoto,Happy to present my friends at @valenciacollege with $500000 for the installation of solar panels that will power 40% of the Poinciana Campus.Solar energy and students like those at Valencia and are the future of our country. 
RepDarrenSoto,On this National Emergency Medical Services Week we honor and thank our brave EMS workers while paying tribute to the EMS providers who lost their lives in the line of duty. #EMSWeek 
RepDarrenSoto,Proud to vote for legislation on the House floor yesterday to end price gouging and penalize market manipulators. It's time for Big Oil to stop #RippingOffAmericans.Gas prices are out of control and it's time to provide consumers some relief at the pump! 
RepDarrenSoto,Just a reminder ⁦@GovRonDeSantis⁩’ budget was saved by @POTUS &amp; ⁦@HouseDemocrats⁩!He’s been spending it like a champ.We’re delivering for Florida on healthcare infrastructure teacher &amp; 1st responder pay environmental protection &amp; more! 
RepDarrenSoto,We have a path forward on the political status of #PuertoRico. Those on the island deserve the chance to have their voices heard have a clear path to vote for statehood or other options and mark an end to their second-class citizenship.Watch 🔽 
RepDarrenSoto,ICYMI: Every home in the U.S. now is eligible to order a third round of free at-home COVID-19 tests. Order yours today from @USPS ⬇️
RepDarrenSoto,ICYMI: Yesterday @POTUS invoked the Defense Production Act to increase the U.S. production of baby formula.We are working day and night to strengthen supply chains and get more safe infant formula onto shelves across the country. 
RepDarrenSoto,I am proud that the House finally passed a bill naming the U.S. Courthouse and Federal Building in Tallahassee after the first Black justice on the Florida Supreme Court and an exemplary character Justice Joseph Woodrow Hatchett. 
RepDarrenSoto,#TeamSoto was present at the commencement ceremony for @TCHSWolves today.We are proud of you for this great accomplishment and can’t wait to see what you do next! Congratulations and #GoWolves! 
RepDarrenSoto,Proud to support @ValenciaCollege's Poinciana Campus solar energy project. This project will harness the power available to the Sunshine State to better serve our Poinciana students create jobs and modernize our district’s infrastructure. 
RepDarrenSoto,I'm proud to join @HouseDemocrats in voting for a bill that will help #FeedOurInfants by providing the FDA with the resources it needs to address this shortage. Going to the grocery store and seeing empty shelves with no infant formula in sight is distressing for any parent. 
RepDarrenSoto,ICYMI: I had the honor of serving on the #AmericaCOMPETES Act conference committee last week. This bipartisan + bicameral committee is focused on boosting America into a future of self-sufficient manufacturing. I hope to bring jobs and major industries to #FL9. My remarks ⬇️ 
RepDarrenSoto,Thanks ⁦@POTUS⁩ Biden for work visa extension!This is keeping Hispanic Haitian &amp; other local families united &amp; made a big difference in our case work.Also helps our worker shortage to lift small biz &amp; lower costs for Central Florida families! 
RepDarrenSoto,Honored to attend Prime Minister @KMitsotakis' Joint Address to commemorate the Greek bicentennial and affirm our joint commitment defend democracy in Ukraine. Proud to be joined by Central Florida Greek leader Yani Jusakos and his son for this historic address. 
RepDarrenSoto,Working with murderous Dictator Maduro has long been a tragic mistake.He has shown time &amp; time again he cannot be trusted.I oppose any concession to restart negotiations without support from President Guiado &amp; the opposition party.#VenezuelaLibre! 
RepDarrenSoto,Workers need new skills to compete in the 21st Century Economy.That’s why I voted to pass legislation that will help them gain the skills they need.This will mean better-paying jobs in high-demand occupations.#InvestingInWorkers 
