handle,text
RepHankJohnson,@samhsagov: Young Adults: It's Okay to Ask For Help. If you are concerned that you or someone in your life may be drinking too much using drugs or dealing with mental illness there are resources available to help: #MentalHealthMonth 
RepHankJohnson,With @TheBlackCaucus leadership like @RepLawrence CBC Members continue to put forth legislation like the OATH Act to better train police officers &amp; hold them accountable in an effort to prevent another police killing of an unarmed black man:  
RepHankJohnson,This Armed Forces Day let's celebrate all who serve in uniform with honor.I will always be grateful to service members and their families for the sacrifices they make — and I will never stop fighting for them. 
RepHankJohnson,You really don't want to know but here's what Republicans hope to achieve in depriving women access to healthcare or the right to even make their own decisions about healthcare. 
RepHankJohnson,This week in @HouseJudiciary hearing on Abortion Care Access I pointed out that the lack of health care providers for people throughout GA -- 1/2 our counties don't have OB or OB-GYN. It makes Georgia “the most dangerous state in the nation for pregnant women.” 
RepHankJohnson,Thank you @RepLucyMcBath for sharing your personal story with us. Your leadership on @HouseJudiciary  shows us why maternal health and abortion access are so critically important. 
RepHankJohnson,Thank you @RepKimSchrier &amp; @RepKatiePorter for all your work to protect consumers! 
RepHankJohnson,Join me this month in paying tribute to the heritage history &amp; achievements of Asian-American and Pacific-Islander communities throughout Georgia's 4th Congressional District. They have contributed so much to the security strength prosperity and vibrancy of our communities. 
RepHankJohnson,.@POTUS:  is now open for a third round of ordering. The third round of tests available were purchased by the federal government earlier this year with funding from the #AmericanRescuePlan. 
RepHankJohnson,TUNE IN: @TransportDems and @TransportGOP markup #WRDA2022 which will: 💪Boost America's competitive edge 💰Invest in ports harbors and inland waterways 👷Affordably build more resilient communities 🍃Ensure projects are environmentally responsible
RepHankJohnson,.@HouseJudiciary Today in Judiciary Committee: Revoking Your Rights: The Ongoing Crisis in Abortion Care Access: 
RepHankJohnson,I’m calling on my brothers and sisters to stop the “replacement theory” rhetoric. It’s a dangerous fallacy that’s getting people killed. 
