handle,text
RepMTG,Our nation needs to take a serious look at the state of mental health today.Sometimes meds can be the problem.America is failing our youngest generations from decades of rejecting good moral values and  teachings.We don’t need more gun control.We need to return to God.
RepMTG,What a horrific act of evil today in Uvalde!  Many prayers are being said for these children families and school community. 🙏 
RepMTG,It’s time for an American Revival.A revival of our country church and our mindset.The hard working people of America have been abused for too long by our corrupt government told what to think by our arrogant media &amp; led astray by our evil culture.It’s time.
RepMTG,Why was American journalist @JackPosobiec detained at Davos by WEF police?Why does the WEF have police?This appears to be intentional intimidation tactics and shouldn’t have happened.  
RepMTG,Surveillance cameras to secure the few cans of baby formula but with Democrats we can’t even secure our border.In Joe Biden’s America the most abundant powder is fentanyl not baby formula. 
RepMTG,If this was California you could steal baby formula up to $900 worth with no consequences but in Georgia where we respect law and order there are now security censors on the very few cans of baby formula that can be found.#BuildBackBetter 
RepMTG,No baby formula in Dalton Georgia.But don’t worry Biden is handing us over to the WHO and the federal government bought 13 million doses of vaccines for Monkypox. 
RepMTG,What will kill you first?
RepMTG,No baby formula for American babies in Gordon county.But Democrats have pallets stacked floor to ceiling at the border.A grandmother just told me she is going from store to store and can’t find any. 
RepMTG,The regime is controlling the baby formula and distributing it through doctors.We are a controlled medical state. 
RepMTG,It’s time to take America back from the Neocons and warmongering.#AmericaFirst 
RepMTG,Impeach Biden. 
RepMTG,This is Biden’s America. 
RepMTG,Do the Nazi’s in the Ukrainian army know? #Azov 
RepMTG,Under Biden in just 17 months we have now become like the third world countries that we always sent humanitarian aid to.Biden is not saving the day other countries are. We should have never ended up with a baby formula crisis in the first place. 
RepMTG,The failure to prosecute crimes like these are why crime is out of control and police departments can’t hire new officers.No one wants to be a police officer anymore because of this. 
RepMTG,This is very disappointing. 
RepMTG,Is menstrual leave now a thing because “men can menstruate?” 
RepMTG,Thank you @billmaher. 
RepMTG,Wonderful news.  We should always preserve our history. 
RepMTG,They all lied to you about Trump Russia collusion &amp; used the power of the government to try to destroy Trump.They all lied to you about Hunter Biden’s laptop.Then 51 of their most loyal intelligence lapdogs swore to their lies.When do you all stop believing their lies?
RepMTG,LOCK HER UP! 
RepMTG,What is happening in Floyd County? 
RepMTG,After I went to @MayorBowser’s office to hand deliver a letter originally sent first of April requesting a tour of the DC jail for dozens of Republican Members of Congress I received this text.There is severe abuse happening in the DC jail to the PRETRIAL J6 defendants! 
RepMTG,In a very short time America would dominate the world’s economy and cripple our enemies ability to wage war against other countries.Russia would be broke.China’s fake fragile economy would fail.And hard working Americans would be wealthy successful &amp; happy.2/2
RepMTG,If I were President right now I’d rip the noose off American businesses &amp; reward people who work.I would radically deregulate incentivize and build 100% confidence in our country’s businesses - large and small to unleash and rebuild the power of the American economy.1/2
RepMTG,.@RepLizCheney and @AdamKinzinger should be kicked out of our @HouseGOP conference immediately.Both of them know how bad they are lying and are still abusing Congressional power to impugn an esteemed member of our conference who did NOTHING WRONG.Kick them out! 
RepMTG,The fake @January6thCmte is a waste of tax dollars &amp; is responsible for spreading dangerous lies.@RepLoudermilk was nearly killed by an insane @BernieSanders supporter at Republican baseball practice now he &amp; his family are getting death threats again.#ReleaseTheTapes 
RepMTG,Don’t worry everyone when public outrage stops the regime from instituting their Ministry of Truth through Homeland Security they turn to their corporate counterparts to get the job done.#CorporateCommunism is the real threat.Hopefully @elonmusk will be able to fix it here. 
RepMTG,$40 BILLION to Ukraine is an America last failure.Intelligence briefings with “reasons” why we have to go to war with Russia are similar to the intelligence community telling lies about weapons of mass destruction in Iraq.The future of the Republican Party is America First.
RepMTG,“Truth is legislation.” 💯@timburchett 
RepMTG,Here’s the letter we delivered. 
RepMTG,The U.S. needs to stop ALL funding to the WHO.Immediately.
RepMTG,We all know what domestic terrorist means to Democrats: anyone who stands in their way in their lustful quest for power 
RepMTG,Remember when America went to war in Iraq bc of “weapons of mass destruction?”Fentanyl is a weapon of mass destruction.And the number 1 cause of death of Americans ages 18-45 over 100K people now!But Biden refuses to protect Americans from this weapon of mass destruction.
RepMTG,The DC Jail is an absolute disgrace.Today @replouiegohmert and I hand-delivered a letter to @MayorBowser demanding answers and an immediate tour of the jail to conduct Congressional oversight. 
RepMTG,Was Kathleen Landerkin ever fired from her job as Deputy Warden of the DC Jail? 
RepMTG,I hear Martin Shkreli has been released having paid his debt to society. 2016 energy everywhere you look!
RepMTG,HOW does the press know about this terrorist plot to burn down the Supreme Court and murder Justices?And Members of Congress do not know.Is it because Biden’s new @PressSec is sleeping with a CNN National Corespondent? 
RepMTG,Finally @TaylorLorenz does actual journalism.Plus amazing connections to “sources” inside Biden’s DHS that Taylor has.It’s almost like the media and the government are one. 
RepMTG,What is happening at the DC Jail?????@MayorBowser 
