handle,text
RepTroyCarter,Affordable and reliable energy is a top issue for many of my constituents. Grateful to host @SecGranholm in #LA02 to tour the Strategic Petroleum Reserve and a wind turbine production facility at Michaud. Louisiana can and should be a leader in our renewable energy future. 
RepTroyCarter,@rimagev Agreed. As a person of faith this is my first response to such a tragedy.First we must mourn then we must act and push for urgent changes and reform.
RepTroyCarter,14 children and 1 teacher are dead after a mass shooting at an elementary school in Uvalde TX.What an unimaginable horror for that community and for our entire nation.Praying for the families.Praying for the kids.Join me in praying — and fighting — for a safer world.
RepTroyCarter,I stand in solidarity with @Maximus_news call center workers in Bogalusa in their efforts to achieve living wages and improved working conditions. #PhonesDownFistsUp 
RepTroyCarter,Congratulations one and all to the Class of 2022! 🎓I was pleased to give the Commencement Address to the graduating class of Baker High School in #LA02. I can’t wait to see what you do next! 
RepTroyCarter,Today I’ll be joining @ENERGY @SecGranholm for her first visit to Louisiana.First up a tour of the Strategic Petroleum Reserve in #LA02 — an important resource that the Administration is using to help lower fuel prices and increase domestic supply. 
RepTroyCarter,Proud to congratulate and welcome Rev. Fred Kaddu SSJ as the newly installed Pastor of All Saints Catholic Church in New Orleans.Spiritual leaders are so important to our #LA02 community and I’m grateful for their unwavering dedication to our community. 
RepTroyCarter,Tomorrow! Join in person watch on Facebook Live or register to watch on Zoom  #LA02 
RepTroyCarter,Black maternal health in LA and across the nation is in crisis — it’s one we can’t shy away from. I’ve been pushing for a more equitable health system my entire career and we need action now more than ever to save lives.Proud to support the Momnibus Act &amp; #HEAA in Congress.
RepTroyCarter,Congratulations to the young men teachers staff and families of St. Augustine High School! #NOLAProud #LA02 
RepTroyCarter,It’s time to take action so no other family has to suffer the tragedy of losing loved ones in the mighty Mississippi.That’s why I introduced and passed an amendment to make sure that we employ modern safety technologies like sirens call boxes signage fencing where possible. 
RepTroyCarter,Join me this Monday May 23 to discuss how I am bringing infrastructure upgrades to #LA02. See you there! 
RepTroyCarter,Hair discrimination is real! Take a look at the incredibly talented women of “Team Carter” sporting their Beautiful natural hair for the entire world to see!  I am very proud of these strong black women how make things happen in my DC office!  TC 🙏🏽💪🏾 
RepTroyCarter,Thoughts and prayers are not enough. We must stamp out hate and white supremacy in ALL its forms. 
RepTroyCarter,I am proud to initiate plans to Mississpippi River Banks safer!! NO MORE loss of life by drowning in the dangerous currents of the River! TC 
RepTroyCarter,In loving memory of Ally Kevin and Brandy let’s make the banks of the Mississippi safer for people to recreate. I’m working in Congress to help make this a reality and prevent future tragedies. #LA02 
RepTroyCarter,My GOP colleagues are excusing white supremacy and domestic terrorism left and right on the floor of the House of Representatives.This is despicable.
RepTroyCarter,#HeadStart has provided critical support to families and children across the nation for 57 years!Thank you for going the extra mile to continue our mission of preparing America’s young children to succeed in school and in life. #HappyBdayHeadStart 
RepTroyCarter,The recent tragic drownings of 3 children has deeply shaken our community.I’m taking action to improve safety for #LA02.Today @TransportDems accepted my amendment to review the recreational safety hazards along the Mississippi River and recommend further safety measures. 
RepTroyCarter,As a father I am horrified by the recent infant formula shortages I have seen. We must ensure families always have access to safe formula. @HouseDemocrats &amp; I are working to pass emergency funding to address this shortage immediately and #FeedOurInfants NOW. 
RepTroyCarter,The @NewDemCoalition turns 25 this year!I’m proud to be a #NewDem in Congress and work with my colleagues to advance effective common-sense policies that make a real difference in Americans’ lives. #25YearsofNewDems 
RepTroyCarter,Today I’ll be presenting amendments in the @TransportDems WRDA markup to shore up the safety of our Mississippi River and levees for residents — especially our children.Tune in! ⤵️ 
RepTroyCarter,Hard work and dedication has paid off for high school senior and softball-star and Louisianian Corine Poncho who leads the nation in home runs and has won back-to-back state championship titles.Congratulations Corine and good luck in all your future endeavors! 
RepTroyCarter,It’s been 68 years since Brown v. Board of Education.It’s been 62 years since Ruby Bridges integrated William Frantz Elementary in New Orleans.It’s been nearly 2 years since the murder of #GeorgeFloyd.But still we fight for racial justice for all. The work is not done. 
