handle,text
SenWhitehouse,Those who stand against progress on common-sense gun protections should take stock.  We must do something.
SenWhitehouse,We are all too familiar with this kind of tragedy in America. Uvalde joins a long list of American communities torn apart by gun violence in our schools. The slaughter of our students happens with grim regularity and it is met with equally grim inaction here in Congress.
SenWhitehouse,Today we sustained another mass murder of innocent children. My heart breaks for the families of those killed and for the community of Uvalde. I wish them comfort.
SenWhitehouse,It makes one wonder why we let corporations have such a dominant role in our politics.Their climate behavior is showing corporations to be unprincipled and untrustworthy a menace not a friend in dealing with climate change.
SenWhitehouse,I was just in Davos hearing lots of corporate happy talk on climate and trying to explain the actual political effort from corporate America in Congress.  Basically it’s the disinterested the opposed and the rabidly opposed which sums to huge negative pressure.
SenWhitehouse,Add up the lobbying the election spending and the trade associations and you have huge anti-climate pressure in Congress from corporate America — led by the @USChamber but it’s only one of a hundred negative corporate forces.
SenWhitehouse,Behind climate change inaction in Congress is climate change obstruction by corporate America. 
SenWhitehouse,A corporate climate pledge means nothing – absolutely nothing – if the company is still giving money to @USChamber. Their anti-climate lobbying has ost us precious years and brings us closer to disaster. 
SenWhitehouse,Thank you Rolling Stone and @Jaymichaelson for digging into what dark money did to our court system. Infuriating. Unpatriotic. Corrupt.
SenWhitehouse,Or you could consider DOING SOMETHING ABOUT CLIMATE for God’s sake!
SenWhitehouse,Last week we strengthened the enforcement tools the U.S. govt. uses to go after dirty money &amp; hunt down the international criminals who prop up Putin. We’ll keep making it harder for oligarchs to support Russia – nobody is getting off the hook for the invasion of Ukraine.
SenWhitehouse,Met with NATO military &amp; civilian leadership last week to discuss freedom for Ukraine. Every day the Ukrainian people fight bravely; our support must match their courage. 
SenWhitehouse,There are few individuals who’ve made a bigger difference in the lives of Rhode Islanders than @NeilDSteinberg. Under Neil’s energetic and thoughtful leadership @RIFoundation has stepped up as a force for good every time the state needed it. We are grateful. He’s been a friend.
SenWhitehouse,Read the rest here – more to do but this part is moving in the right direction.
SenWhitehouse,Here’s some good news - the Biden administration’s Justice40 Initiative is making progress. That means: - Replacing polluting diesel school buses - Creating public transit hubs - Removing barriers to employment in the green workforce
SenWhitehouse,Meanwhile it is actually SNOWING IN BRAZIL.
SenWhitehouse,Nothing going on here. Please believe fossil fuel funded climate deniers.
SenWhitehouse,Long article but a strong reminder of the disgusting effect dark money has had in our politics.⬆️
SenWhitehouse,I always expect American ingenuity and innovation to win the day — but particularly where we start with a 3x carbon intensity advantage!
SenWhitehouse,This @TheCLCouncil report shows how a carbon border adjustment levels the playing field &amp; rewards businesses that are doing things right. I’ll introduce my own soon.
SenWhitehouse,Americans are slashing carbon emissions &amp; making manufacturing cleaner. A border adjustment can help us benefit from that.
SenWhitehouse,The rotten Big Oil cartel is holding up the whole world while trying to brainwash people that the solution is more oil. Can we truly be that stupid?
