handle,text
SenatorBaldwin,My heart breaks again. A mass shooting at a school again. More lives lost to gun violence again. How many more times will we say again...and accept doing nothing? We have got to step up take on this public health crisis and start saving lives.
SenatorBaldwin,I cosponsored the Domestic Terrorism Prevention Act. The Senate will vote on it this week and I will vote for it because we must do more to take on racially motivated hate crimes White supremacy violent extremism and the growing domestic terrorism threat in America.
SenatorBaldwin,Not one Wisconsin Republican in Congress voted for the American Rescue Plan. I did and it is providing this federal funding for anti-violence and public safety efforts in Milwaukee. 
SenatorBaldwin,Aidan’s story continues to inspire my work to pass our bipartisan #EnsuringLastingSmiles so we make sure kids born with congenital anomalies or birth defects have access to the coverage and health treatments they need.
SenatorBaldwin,Congratulations to the workers at @RavenSoftware on their vote to form the @WeAreGWA union! #UnionYES #WeAreGWA #1u 
SenatorBaldwin,This #MentalHealthAwarenessMonth check in on yourself and the people you care about. Asking for help is a strength not a weakness. The first step is often the hardest but you are not alone. #MentalHealthMonth #MHM #Together4MH
SenatorBaldwin,From Oak Creek a decade ago to Buffalo this month the attacks and threat posed by White supremacists and other violent domestic extremists cannot be ignored. I'm cosponsoring the Domestic Terrorism Prevention Act and will for it in the Senate this week.
SenatorBaldwin,What steps is the @US_FDA taking to ensure data brokers are not collecting buying or selling sensitive location data that put people particularly those seeking medical attention at risk?We want to know. 
SenatorBaldwin,On #HarveyMilkDay we celebrate his life and legacy inspired to protect the progress we have achieved and to move forward in the march for full equality. 
SenatorBaldwin,Data companies need to stop collecting and selling the location data of people who visit reproductive health care clinics. 
SenatorBaldwin,Aidan has been my friend inspiration and partner to pass the #EnsuringLastingSmiles Act. He is an everyday hero and is what my bipartisan legislation is all about. 
SenatorBaldwin,We will not stand by and let the rights freedom and privacy of women be stripped away. 
SenatorBaldwin,Not only is #RoeVWade under threat. So too is the data privacy of women seeking reproductive health care.I have joined @SenAmyKlobuchar to call on @FTC to take action. 
SenatorBaldwin,Having served as my grandmother’s primary caregiver as she grew older this issue is near and dear to me and I want to make a difference for families experiencing serious health concerns. My bipartisan Palliative Care and Hospice Education and Training Act does that. #PCHETA 
SenatorBaldwin,Thanks to @HospiceAction for your support of our bipartisan legislation to grow improve and sustain the palliative and hospice care workforce to keep pace with patients’ needs. #PCHETA 
SenatorBaldwin,Thanks to @AAHPM for your support of my bipartisan legislation with @SenCapito that will grow and sustain our palliative and hospice care workforce and in turn improve the quality of life for the growing number of patients with serious or life-threatening illnesses. #PCHETA 
SenatorBaldwin,Here is my letter with @SenJohnHoeven to the @US_FDA. More must be done to safely address the baby formula shortage and prevent it from happening again. 
SenatorBaldwin,I am also pressing @DrCaliff_FDA to make sure @US_FDA  is taking all necessary steps to address the baby formula shortage and take action to ensure access now and going forward.
SenatorBaldwin,I voted for the Access to Baby Formula Act bipartisan legislation which passed the Senate today that will make sure moms and babies who rely on WIC have the baby formula they need.
SenatorBaldwin,I stood with Wisconsin small businesses and restaurants voting for bipartisan legislation to support them. I voted to #ReplenishRRF and provide funding for 3776 Wisconsin restaurants that applied for grants to keep their doors open. The other Wisconsin Senator shut the door. 
SenatorBaldwin,We will engage organize and activate the American people on reproductive rights because this freedom is so deeply personal to them. Our message is simple. We are not giving up this fight and neither should you. We need you to join it. 
SenatorBaldwin,Thanks for your advocacy! We need to pass bipartisan legislation in the Senate because it will #ReplenishRRF   and provide funding for 3776 Wisconsin restaurants that applied for grants and need them to keep their doors open and move their small business forward. 
SenatorBaldwin,I am not giving up the fight to protect the right of women to control their own bodies. 
SenatorBaldwin,Here's something we should ban. Data brokers who  collect and sell the cellphone-based location data of people who visit abortion clinics risking the safety of anyone seeking access to safe and legal abortion services. 
SenatorBaldwin,I'm taking on price gouging by big corporations because working families are paying the price. 
SenatorBaldwin,The horrific attack in Buffalo was a racially motivated hate crime fueled by White supremacy and easy access to military style weapons. As we remember the victims we should honor them by confronting and rejecting violent extremism racism and hate. 
