handle,text
BillPascrell,Virtually every republican in Congress has voted againstBaby formulaChild tax creditsCheaper gasCheaper insulinStimulus checksBackground checks Veteran cancer careFair electionsEnding domestic terrorismThe GOP is cruel incompetent and doesn’t give a damn about you.
BillPascrell,I was the first member of Congress to demand insurrectionist republicans not to be seated in Congress. There was a massive republican conspiracy to end American democracy and make Trump dictator and the attack is continuing today. http
BillPascrell,510 days ago insurrectionists ransacked the US Capitol and *hours later* 138-of-202 (68%) House republicans voted to make trump a dictator. They tried to finish the rioters’ job and end democracy. Never forget it.
BillPascrell,If you just paid a fortune at the pump this weekend we recently voted to crack down on gas price gouging and every single republican voted no. http
BillPascrell,509 days ago insurrectionists ransacked the US Capitol and *hours later* 138-of-202 (68%) House republicans voted to make trump a dictator. They tried to finish the rioters’ job and end democracy. Never forget it.
BillPascrell,Today across our beautiful district we’re holding Memorial Day ceremonies and honoring our fallen heroes 🇺🇸 http
BillPascrell,Pay attention to Ukraine. In the 20th century millions there were murdered. They’re fighting so hard bc they know the pricelessness of freedom.We Americans are luckier. But our freedom isn’t guaranteed. We must be vigilant to preserving the freedom so many sacrificed to save.
BillPascrell,Preserving freedom requires constant work. Our liberty was hard-won and hard-kept. The flame of freedom can be extinguished at any time.The men and women we celebrate this Memorial Day and all days are the keepers of that flame of freedom. 🇺🇸 🔥 🗽
BillPascrell,Here are the 138 House republicans who voted to install trump as a dictator hours after rioters tried to do the same. http
BillPascrell,508 days ago insurrectionists ransacked the US Capitol and *hours later* 138-of-202 (68%) House republicans voted to make trump a dictator. They tried to finish the rioters’ job and end democracy. Never forget it.
BillPascrell,Republicans cherish their military war weapons more than your kids’ lives. http
BillPascrell,Regular reminder that republicans in at least 22 states want to throw women and doctors in jail after they destroy Roe. http
BillPascrell,Ban military war weapons off our streets. http
BillPascrell,Every stupid lie republicans are saying about doors video games demanding teachers be Rambo is a distraction so they can keep flooding your streets with military war weapons. Note to elite media: none of it is said in good faith. http
BillPascrell,507 days ago insurrectionists ransacked the US Capitol and *hours later* 138-of-202 (68%) House republicans voted to make trump a dictator. They tried to finish the rioters’ job and end democracy. Never forget it.
BillPascrell,If you just paid a fortune at the pump last week we voted to crack down on gas price gouging and every single republican voted no. http
BillPascrell,Happy sunny Saturday spring morning from your nation’s capital. ☀️ 🦆 🇺🇸 http
BillPascrell,443 days ago we voted to keep guns out of the hands of dangerous individuals. 96% of House republicans voted against it and mcconnell republicans have been blocking it over a year. http
BillPascrell,506 days ago insurrectionists ransacked the US Capitol and *hours later* 138-of-202 (68%) House republicans voted to make trump a dictator. They tried to finish the rioters’ job and end democracy. Never forget it.
BillPascrell,http http
BillPascrell,This week republicans are refusing to discuss guns and instead blaming video games doors secularism and feral pigs. How would you feel if your child was murdered and this is how republicans responded? http
BillPascrell,The truth is republicans’ new obsession with doors is their latest deflection to avoid talking about their flooding our streets with military war weapons. Don’t fall for it. http
BillPascrell,The republican party is cruel corrupt incompetent unfit to govern and its leaders don’t give a damn about you or your kids’ lives. http
BillPascrell,442 days ago we voted to keep guns out of the hands of dangerous individuals. 96% of House republicans voted against it and mcconnell republicans have been blocking it over a year. http
BillPascrell,The republican party would rather your children get shot in school than take military war weapons off your street. http
BillPascrell,Say a little prayer tonight for a proud son of North Jersey and a fine actor Ray Liotta http
BillPascrell,505 days ago insurrectionists ransacked the US Capitol and *hours later* 138-of-202 (68%) House republicans voted to make trump a dictator. They tried to finish the rioters’ job and end democracy. Never forget it.
BillPascrell,Gun violence is a catastrophic earthquake that ripples through families and communities. This is beyond dreadful. http
BillPascrell,Virtually every republican in Congress has voted againstBaby formulaChild tax creditsCheaper gasCheaper insulinStimulus checksBackground checks Veteran cancer careFair electionsEnding domestic terrorismThe GOP is cruel incompetent and doesn’t give a damn about you.
BillPascrell,Every single mcconnell republican senator just voted to block our bill to fight domestic terrorism. If you’re wondering why read below 👇 http
BillPascrell,How would you feel if your kids were shot and this is how republican leaders reacted? http
BillPascrell,One door. That’s republicans’ “solution” to school shootings. Not fewer guns but fewer doors. Elected republicans don’t give a damn about dead children. http
BillPascrell,For 12 years Texas republicans have refused to expand Medicaid out of spite denying physical or mental care to ~1748000 Texans. They don’t care about mental health it’s another gop deflecting lie. http
BillPascrell,Watching the republican party’s #1 propaganda show tonight they’re blaming political correctness video games secularism lack of teacher firearms training beto o’rourke everything but the flood of hundreds of millions of guns into our streets.
BillPascrell,Mcconnell republicans are angrier at their critics than they are at the terrorist who murdered 19 children. http
BillPascrell,504 days ago insurrectionists ransacked the US Capitol and *hours later* 138-of-202 (68%) House republicans voted to make trump a dictator. They tried to finish the rioters’ job and end democracy. Never forget it.
BillPascrell,Pres Biden just urged approval of his ATF nominee. For decades republicans and nra fiends have denied ATF leadership to decapitate ATF and block it from preventing gun crimes. Gop sabotage of ATF is a national disgrace. The Senate should confirm an ATF chief NOW no more excuses.
BillPascrell,For 12 years Texas republicans have refused to expand Medicaid out of spite denying physical or mental care to ~1748000 Texans. This is total garbage they don't care about mental health.https://t.co/m6MslZNeHV http
BillPascrell,Ban military war weapons off our streets. http
