handle,text
RepAshleyHinson,I’m back at the Southern Border to see the crisis that President Biden’s open border policies have created hear directly from law enforcement &amp; border patrol and advocate for solutions to secure our border. http
RepAshleyHinson,The baby formula shortage wasn't caused by a lack of funding at the FDA—it was caused by the agency's delayed and incompetent response. Families deserve real solutions that will get formula back on the shelves &amp; prevent future shortages. https://t.co/cmmL0A0ggw
RepAshleyHinson,Congratulations to the @user women’s team! Way to go on your third straight national championship. 🏆 http
RepAshleyHinson,Had an incredible time meeting with the 24/7 Black Leadership Advancement Consortium last week! They are making a difference in Waterloo and I look forward to continued work with their team. https://t.co/6FJVX9npba
RepAshleyHinson,I continue to hear from those on fixed incomes who are stressed about the rising cost of groceries. I’m grateful for the work Meals on Wheels is doing to ensure everyone has food to eat! https://t.co/JoEP49Jueb
RepAshleyHinson,On Memorial Day we pay tribute to those who have given their lives for our country. Thank you to all who have served our great nation and fought for our freedoms! http
RepAshleyHinson,Incredible start to #MemorialDay in Black Hawk County honoring those who have laid down their lives for our freedoms. We went to the Waterloo Memorial Day parade &amp; then I had the opportunity to speak at the AMVETS Memorial Day service in Cedar Falls. http
RepAshleyHinson,As we celebrate #MemorialDay I encourage you to take a moment &amp; reflect on the real reason for this holiday: the brave men &amp; women who have laid down their lives for our freedoms. God Bless our troops our veterans &amp; all who have given their lives in service to our country.🇺🇸
RepAshleyHinson,While there is no way to repay those who have sacrificed to defend our nation fully we can start by ensuring our veterans receive reliable top-quality care when they return home—for both physical injuries and the mental toll of service. #MemorialDay https://t.co/HdIcVrWFCz
RepAshleyHinson,Iowans are struggling to afford their daily lives because of the Biden Administration’s runaway spending. Today I questioned the @user Director about ways we can bring costs back down for working families. http
RepAshleyHinson,Allowing a suspected terrorist who crossed the border illegally to roam freely in our country is the Admin's dangerous immigration policy in a nutshell. Iowans deserve accountability to ensure suspected terrorists aren't released into our communities. https://t.co/pwPuT72goy
RepAshleyHinson,Great meeting with the @user in Washington last week to talk about how we can work together to end Alzheimer’s Disease. http
RepAshleyHinson,Ensuring our communities have the resources for disaster relief &amp; preparedness is a top priority for me in Congress. Today @user confirmed she would work with me to ensure rural communities in Iowa are prioritized for federal disaster resources. Watch: http
