handle,text
RepBethVanDuyne,What an amazing story – thank you for your service Ryan! http
RepBethVanDuyne,President Biden announced disastrous plans to forgive $10000 of student loan debt per borrower this year most benefiting college educated high earners leaving behind many of the hardest workers who have been most affected by inflation. https://t.co/YJAPCtqxXL
RepBethVanDuyne,Gas prices this Memorial Day were 136% HIGHER than they were in 2020⛽📈https://t.co/pz1pj34kmx
RepBethVanDuyne,Broken homes have a detrimental effect on today’s society.It’s a conversation worth having ⬇️ http
RepBethVanDuyne,This Memorial Day we mourn the loss of our nation’s greatest heroes. Their sacrifice will never be forgotten. http
RepBethVanDuyne,Welcome Officers Stauffer and Colunga!Thank you for joining @user and serving our great North Texas community. http
RepBethVanDuyne,The border crisis is affecting all Americans.A good read from @user on our plan to end Biden’s failure at the border👇https://t.co/juOPGN1thS
RepBethVanDuyne,@user Of course!
RepBethVanDuyne,Americans should not have to dip into their hard-earned savings to stay afloat.https://t.co/ET6YoB8eL7
RepBethVanDuyne,“Raging inflation has inflicted financial pain on millions of U.S. households particularly low-income families.”Biden’s unprecedented spending is devastating hardworking Americans. I’m working to put an end to these detrimental spending policies.https://t.co/39IRNqMIz6
RepBethVanDuyne,@user Under the 1033 program local law enforcement is able to receive items in surplus such as first aid kits rifles shotguns and binoculars. Scrapping it altogether could prevent law enforcement from receiving said items – as well as the military equipment like you mentioned.
RepBethVanDuyne,@user I introduced the Disarming Felons Act this Congress. http
RepBethVanDuyne,Nearly 2 million packages are stolen from Americans’ doorsteps every day.That’s why I signed on to @user Porch Pirates Act to crack down on this crisis. http
RepBethVanDuyne,@user There are elements from the order that take a step in the right direction. However Biden did not consult with elected law enforcement and is restricting their use of life-saving equipment amidst a record crime crisis.
RepBethVanDuyne,If Congress authorizes unprecedented funding for a foreign war there better be oversight. That’s why I joined this letter asking the Biden administration how it can ensure weapons sent to Ukraine do not fall into the wrong hands⬇️https://t.co/Mi9hDVdGo8
RepBethVanDuyne,Amidst a record crime crisis Biden should be going after criminals not our law enforcement.This executive order is political theater that will have a detrimental effect on public safety.https://t.co/hVD49wXXXp
RepBethVanDuyne,“It’s time to unleash the power of American energy.”More from @user and @user
RepBethVanDuyne,Small businesses’ confidence is at an all-time lowRepublicans are focused on policies that help – not hinder – American small businesses. http
