handle,text
RepCasten,I introduced the #PeopleOverPetroleum Act with @RepMcEachin and @user to provide every American adult with a $500 cash rebate to lessen the pain at the pump *paid-for* by repealing 11 of the most egregious tax subsidies flowing to big oil and gashttps://t.co/BPMVc8mLcf
RepCasten,Thoughts and prayers aren’t enough. We need action. http
RepCasten,Our Pledge of Allegiance ends with a promise of liberty and justice for all. But in most of America LGBTQ+ people can *legally* be denied housing education or the ability to serve on a jury simply for who they are.This #PRIDE the Senate must pass the #EqualityAct into law. http
RepCasten,ICYMI: Over the weekend I held an Inflation Town Hall in #IL06 to discuss inflation and I'm working on in Congress to address high costs hurting families.Watch here: http http
RepCasten,🚨NEWS: I introduced legislation with Combat Veterans @user and @user to ensure the @user meets its #CleanEnergy goals so that we can keep our troops safe and combat climate change before it’s too late. http
RepCasten,Americans are paying higher prices at the pump this #MemorialDay because the oil market:➡️Lacks competition➡️Is sensitive to global disruptions and shocks like Putin’s invasion of Ukraine It's time to break our dependence on fossil fuels.https://t.co/ObSH01WJAN
RepCasten,This #MemorialDay we reflect on the courage of those who have sacrificed their lives in service and recommit to making sure ALL our veterans &amp; their families receive the care they deserve. http
RepCasten,I'm incredibly proud to have secured this $197644 for Bridge Communities to provide more safe and affordable housing to families in our community. And I’m thrilled to see that they’ve already used this funding to newly renovate these apartments. http
RepCasten,Last weekend my oldest daughter Gwen graduated from high school! We are extremely proud of her and all the #Classof2022 graduates with bright futures and good trouble ahead of them! http
RepCasten,Every politician that accepts money from the NRA is complicit in these shootings. Thoughts and prayers mean nothing when there is blood on their hands.https://t.co/jiiFCzkYhE
RepCasten,This week I walked on the East Branch Trail with local Glen Ellyn officials and supporters of the trail development.Improving this trail means a lot to the community which is why I  have been pushing for this project to receive $1.5 million in federal funding in 2023. http
RepCasten,HAPPENING NOW: I'm hosting a town hall to discuss inflation and what Congress can do to address high costs for families.Watch here: http
RepCasten,Congrats to Ms. Lauermann’s rock-star class at Pleasentdale on their successful campaign to make the dolostone Illinois’ first state rock! http http
RepCasten,Children should not have to be responsible for saving their classmates' lives. #GunControlNow http
RepCasten,Join me for a town hall TOMORROW starting at 1pm at the Downers Grove Public Library. We'll discuss what I'm doing to combat inflation and lower costs for families. RSVP here: http
RepCasten,I joined this letter with @user @user and @user urging House leadership to immediately pass legislation to #EndGunViolence.Our children deserve better than to fear for their life at school. http
RepCasten,.@NBCChicago found that over 5000 illegally possessed guns were seized by Chicago Police in the first six months of 2021 alone.I introduced the #GunTraffickerDetectionAct because two-thirds of these crime guns were trafficked in from surrounding states &amp;  this cannot continue. http
RepCasten,If 50% of all of the guns in the United States disappeared overnight we would still have more guns per capita than ANY OTHER COUNTRY IN THE WORLD.Every country has deranged individuals but only the US  lets those we know are dangerous purchase and carry weapons of war. http
RepCasten,I refuse to accept regular mass shootings are part of everyday life in America.This Congress the House has passed two bills to address this epidemic. That is not enough.Last month I led 27 @user urging Leadership to pass a slate of bills to address this crisis. http
RepCasten,We either #EndtheFilibuster or every cowardly Senator letting it block life-saving legislation to stop school shootings should be on the phone with the parents of the 21 children who are dead in #Uvalde apologizing for protecting a Jim Crow Senate rule over their child's life. http
RepCasten,Despicable. Shame on every one of you @user http
RepCasten,NEW: I just introduced legislation with Combat Veterans @user and @user to ensure the @user meets its #CleanEnergy goals so that we can keep our troops safe and combat climate change before it’s too late. http
RepCasten,Join me for a town hall this Saturday May 28th starting at 1pm at the Downers Grove Public Library. We'll discuss what I'm doing to combat inflation and lower costs for families. RSVP here: http http
RepCasten,19 families went to bed last night with 19 empty beds because 19 children were gunned down by an AR-15 at their elementary school. Yet @user has the gall to say this isn't about guns 72 hours before speaking at the @user conference. http
RepCasten,We cannot lose sight of the fact that 19 families went to bed last night with 19 empty beds because 19 children were gunned down by an AR-15 at their elementary school. Yet @user has the gall to say this isn't about guns 72 hours before speaking at the @user conference http
RepCasten,Since 2020 gun violence is the leading cause of death among children and teenagers. When car crashes were the leading cause of death to children we changed the laws. We made cars and driving safer. Now it’s time to act on #gunviolenceprevention http
RepCasten,$9900 in #BloodMoney from the @user http
RepCasten,.@NRA gave #Uvalde Rep. @user $4950 in #BloodMoney after which for he voted to block legislation requiring universal background checks supported by over 90% of Americans. http
RepCasten,$10459 in #BloodMoney from the @user http
RepCasten,$10550 in #BloodMoney from the @user http
RepCasten,$9900 in #BloodMoney from the @user http
RepCasten,$16029 in #BloodMoney from the NRA http
RepCasten,I joined @user to discuss the responsibility every member of Congress has to ensure no more parents lose their children to school massacres &amp; my plan to put #PeopleOverPetroleum by giving every American adult $500 paid for by ending tax subsidies flowing to big oil and gas. http
