handle,text
RepDonBacon,June is PTSD Awareness Month. #PTSD is a treatable mental health condition that some people especially #Veterans develop after experiencing or witnessing a traumatic event.Help raise awareness and visit the National Center for PTSD website: http http
RepDonBacon,The return of war to the European continent earlier this year reminds us of the long and brutal occupation of the Baltic states by the Soviet Union. We must stand with our Allies to never again allow dictators to redraw borders and usurp freedom. (2/2)https://t.co/xeBebVyzxg
RepDonBacon,As Co-Chairs of the House Baltic Caucus @user and I introduced H.Res. 1142 to commemorate the United States’ diplomatic recognition of the independence and sovereignty of the Baltic nations of Estonia Latvia and Lithuania. (1/2)
RepDonBacon,I’m glad to see justice served. Our flight attendants pilots bus drivers and passenger-train workers are increasingly targets of assaults. Those guilty must be held accountable and our transport workers deserve the protection. http
RepDonBacon,Our Deputy Chief of Staff attended yesterday's Memorial Day ceremony at the Omaha VA National Cemetery to honor the fallen in our nation's wars. These heroes gave their lives to protect our nation and freedoms. We are forever grateful for our servicemen and women. http
RepDonBacon,I had 16 assignments all over the world and U.S. during my 3 decades in AF. No one honors the fallen and thanks the veterans like Nebraskans. Citizen participation on Memorial and Veterans Days are the best. This grateful veteran thanks you. http
RepDonBacon,I will always remember serving as a flag bearer at Arlington Cemetery. I noticed every loved one would hug the flag over their heart after I handed it to them. Those who gave the last full measure of devotion are sorely missed by their families. http
RepDonBacon,Offutt AFB is flying the four oldest 747s in the world and their age is showing with high maintenance costs. These aircraft provide survivable communications in time of war. @user and I are working hard to get these aircraft replaced. https://t.co/J6o8gS4ouQ
RepDonBacon,President Reagan said “Freedom is never more than one generation from extinction.” Freedom must be fought for protected and passed on to the next generation for them to do the same.Today and every day we honor those who lost their lives for our nation and freedom. 🇺🇸 http
RepDonBacon,I honor the four airmen killed in an MC-12 crash in Afghanistan while supporting Special Forces in 2013. I met with the parents &amp; spouses and my heart is with them today 9 years later. We salute Reid Nishizuka Brandon Cyr Richard Dickson &amp; Dan Fannin.  http
RepDonBacon,@user Not everyone agrees on an issue… I campaign on my views and the majority of voters make a decision. I’m grateful for their support over last 6 years.
RepDonBacon,Lincoln said let us be “highly resolved that the dead have not died in vain.” Let us work together to keep our nation strong &amp; be involved in all levels of government. Representative government works best when we invest our talents &amp; sweat into our communities and governments. http
RepDonBacon,@user For starters the $1.9T COVID bill caused much of this inflation. I was a no vote.
RepDonBacon,Today we honor the 1208000 Americans who were killed in action while defending our freedoms. We thank God that we live in this great nation and thank those who made it possible by paying the ultimate sacrifice. http
RepDonBacon,Today we reflect upon those who have paid the ultimate sacrifice for our freedom pay tribute to the fallen and never forget the families they left behind. Our Gold Star families deserve a commitment for life and hearts are with them on this sacred day.https://t.co/rb1LOuh6Ry
