handle,text
RepEspaillat,In 2022 there have already been over 200 mass shootings in the United States.During Gun Violence Awareness Month we recognize the heartbreaking toll that gun violence takes on our communities and recommit to end gun violence. #EndGunViolence
RepEspaillat,Adriano Espaillat respalda iniciativas para el control de armas en EEUU http
RepEspaillat,Adriano Espaillat participará en la Cumbre de las Américas http
RepEspaillat,New York City has over 1000 unique locations administering the COVID-19 vaccine. As we enter this next phase of the pandemic find a location near you and let’s beat this surge together! https://t.co/fwUv5pZeet
RepEspaillat,Lamento profundamente el fallecimiento de Marina Maldonado una pionera de la comunidad dominicana. La extrañaremos por sus grandes aportes a la diáspora. Paz a su alma. http
RepEspaillat,El histórico Kingsbridge Armory es una pieza central de nuestra comunidad.Gracias a todos los que me acompañaron en el tour de hoy mientras trabajamos en colaboración para revitalizar este tesoro histórico. http
RepEspaillat,The historic Kingsbridge Armory is a centerpiece of our community.Thank you to everyone who joined today’s tour as we work collaboratively to revitalize this historic treasure. http
RepEspaillat,Felicitaciones a Al Horford por convertirse en el primer jugador de la República Dominicana en jugar la final de la NBA. ¡Nos enorgulleces! #NBAfinaleshttps://t.co/FGaH4DkCXM
RepEspaillat,En el Día de Recordación honramos a los héroes que dieron su vida al servicio de la nación y estamos agradecidos por su sacrificio. En este Día de Recordación renovamos nuestro compromiso de nunca dejar atrás a nuestros militares ni en el campo de batalla ni a su regreso a casa http
RepEspaillat,Congratulations Al Horford on becoming the first player from the Dominican Republic to play in the NBA finals. You make us proud! #NBAfinals 🏆🇩🇴 http
RepEspaillat,On Memorial Day we honor the heroes who gave their lives in service to nation and are grateful for their sacrifice. On this day of remembrance of our fallen servicemembers we renew our commitment to never leave behind one on the battlefield or a veteran upon their return home. http
RepEspaillat,En el #DíadeRecordación honramos a aquellos que perdieron la vida mientras luchaban por este país. Gracias a todos nuestros miembros del servicio veteranos familias militares y soldados caídos por su sacrificio. http
RepEspaillat,On #MemorialDay we honor those who lost their lives while fighting for this country. Thank you to all our service members veterans military families and fallen soldiers for their sacrifice. http
RepEspaillat,¡Todos los días es el Día de las Madres en mi distrito! Estoy encantado de unirme a la asambleísta @user para reconocer a las madres y compartir informes actualizados sobre infraestructura y comunidad del NY-13. http
RepEspaillat,Nuestro firme compromiso es promulgar medidas de sentido común a nivel municipal estatal y federal que salvarán vidas y ayudarán a mantener seguras a nuestras comunidades. #GunControlAhora http
RepEspaillat,¡Gracias a todos los que me acompañaron en mi Cafecito con su Congresita para escuchar informes sobre infraestructura y proyectos comunitarios!Un agradecimiento especial a @user y @user por abordar la seguridad comunitaria y la prevención de la #violenciaconarmas. http
RepEspaillat,Congresista Adriano Espaillat celebra su tercer “Cafecito con su Congresista” en el Alto Manhattan para escuchar a la comunidad y brindarle asistencia.https://t.co/eKuzw4UWCU
RepEspaillat,Every day is Mother’s Day in my district! 🌸 I’m delighted to join Assembly Member Yudelka Tapia to recognize mothers and share NY-13 infrastructure and community updates. http
RepEspaillat,Our steadfast commitment is to enacting commonsense measures— at the city state and federal levels— that will save lives and help keep our communities safe. #GunControlNow http
RepEspaillat,Thank you to everyone who joined my Cafecito con el Congresita / Coffee with the Congressman to hear infrastructure &amp; community project updates! A special thank you to @user @user for joining the conversation to address community safety and #gunviolence prevention. http
RepEspaillat,I’ll see you today at 10AM at the Semicolon Cafe! http
RepEspaillat,El tráfico de armas las armas robadas las armas obtenidas por personas de alto riesgo las armas guardadas incorrectamente las brechas en la verificación de antecedentes y las armas fantasma: todo contribuye a la epidemia de violencia con armas. #StopGunViolence
RepEspaillat,Gun trafficking stolen guns guns obtained by high-risk people guns stored improperly background check loopholes and ghost guns - all of it contributes to the gun violence epidemic. We do have the power to stop the senseless violence. #StopGunViolence
RepEspaillat,No hay palabras que puedan darle consuelo a la familia García ni a ninguna de las familias devastadas por esta tragedia.Nuestra nación está de luto y la epidemia de violencia con armas de fuego tiene que terminar.https://t.co/DNC1w3J0MA
RepEspaillat,Words cannot bring comfort to the Garcia family or to any of the families devastated by this tragedy. Our nation is mourning and the epidemic of gun violence has to end.  http
RepEspaillat,Rep. Espaillat entrega cheque de US$400 mil para construcción de cocina comunitaria del Centro de Personas Mayores ARChttps://t.co/CCPOReOMN9
RepEspaillat,"Acompáñennos este sábado para otro informe actualizado sobre comunidad e infraestructura en un ""Cafecito con su Congresista"" con el invitado especial @user Alvin Bragg.En Semicolon Café ubicado en el 9 de Edward M Morgan Pl NY a partir de las 10 a.m. http"
RepEspaillat,Join us this Saturday for another informative “Coffee With Your Congressman” community and infrastructure update with special guest @user Alvin Bragg.Semicolon Cafe located at 9 Edward M Morgan Pl NY starting at 10AM. http
RepEspaillat,Mirando hacia el Alto Manhattan y viendo Harlem Washington Heights y El Bronx: es un hermoso día en mi distrito. #RepresentaNYC http
RepEspaillat,Celebrando a las madres que marcan la diferencia en nuestras comunidades todos los días.¡Compartiendo informes legislativos y comunitarios actualizados! http
RepEspaillat,Desde los primeros días de la pandemia @user trabajó incansablemente para ayudar a las empresas propiedad de mujeres a acceder a recursos para ayudarlas a sobrevivir. ¡Me enorgullece celebrar a las mujeres propietarias de empresas durante el foro de hoy! http
RepEspaillat,Looking out over Uptown and seeing Harlem Washington Heights and the Bronx — It’s a beautiful day in my district. #RepresentNYC http
RepEspaillat,Celebrating mothers who make a difference throughout our communities each and every day. Sharing legislative and community updates! http
RepEspaillat,From the first days of the pandemic the @user worked tirelessly to help women owned businesses access resources to help them survive. I’m proud to celebrate women business owners during today’s forum to recognize your work to help our communities thrive! http
RepEspaillat,En la segunda conmemoración de la muerte por negligencia de George Floyd @user firmó una orden ejecutiva para implementar reformas policiales transparentes y responsables.Elogio esta acción; se necesita más trabajo para sanar el alma de la nación.#RIPGeorgeFloyd
RepEspaillat,Today on the 2nd commemoration of George Floyd’s wrongful death @user signed an executive order aimed at transparent and accountable police reform measures. I commend this much needed action and recognize that more work is needed to heal the nation’s soul. #RIPGeorgeFloyd
RepEspaillat,No podemos permitir que los cabilderos a favor de las armas tomen a nuestra nación de rehén y rechacen controles de armas de sentido común.La legislación para reformar las armas significa proteger a nuestros niños y prevenir otra tragedia devastadora.https://t.co/9foIyQMlA8
RepEspaillat,We cannot allow pro-gun lobbyists to hold our nation hostage and refuse common sense gun safety.Gun reform legislation means protecting our children by implementing policy to prevent another devastating tragedy. http
RepEspaillat,Thank you to each of the participants who attended today’s roundtable discussion to address mental health services and resources for our veterans and their families. http
RepEspaillat,Hoy realizamos una mesa redonda con importantes entidades y organizaciones que sirven a los veteranos y sus familias en la cual abordamos los servicios y recursos de salud mental para nuestros veteranos y sus familias.Gracias a cada uno de los participantes. http
