handle,text
RepJahanaHayes,Wheeler provides essential services like behavioral health addiction treatment &amp; special education. #TeamHayes joined community leaders to celebrate the ribbon cutting of the newly renovated Wheeler Family Health &amp; Wellness Center and the new Mobile Health &amp; Wellness Center. http
RepJahanaHayes,There have already been over 200 mass shootings this year in the United States.Gun violence has taken a devastating toll on our country. In Congress I am working to find common-sense solutions to end the gun violence epidemic and make our communities safer. http
RepJahanaHayes,Hosted a roundtable with @user and child nutrition advocates to discuss the formula crisis &amp; how to build upon my recent legislation the Access to Baby Formula Act.We must ensure that every baby has access to safe formula and provide families with urgent relief. http
RepJahanaHayes,Babies can't wait.  Happy to see my bill the #AccessToBabyFormulaAct signed into law to protect families enrolled in WIC and provide urgent relief.  http http
RepJahanaHayes,Simsbury hosted 2 parades today. The first in Tariffville to honor the veterans buried there. The second to bring everyone together to celebrate and reflect.Great to be a part of this remembrance and reflection. http
RepJahanaHayes,Crossing the district to honor our service members who died to protect the freedoms we hold dear. We must educate our children on the true significance of this day. #memorialday http
RepJahanaHayes,My Caring for Survivors Act aims to ensure survivors get the benefits their loved ones earned. We owe it to our fallen heroes to take care of their families. This bill builds upon my legislation that was signed into law &amp; expanded eligibility for surviving spouses. http
RepJahanaHayes,On this Memorial Day we remember and honor the legacy of all who made the ultimate sacrifice for our country. http
RepJahanaHayes,Joined the Middlebury community to honor those who have died while serving. On Memorial Day and every day we thank them for their service.#memorialday http
RepJahanaHayes,Honored our fallen heroes today at the Waterbury Memorial Day Parade. This community always comes out to supports our military families and we are all so grateful for them.#MemorialDay http
RepJahanaHayes,What a privilege it was to join Waterbury Veterans Memorial Cmte for their Gold Star Luncheon. These families have made the ultimate sacrifice and we all owe them a debt of gratitude. Thank you for your service and sacrifice. http
RepJahanaHayes,@user I introduced legislation that does that- Supporting Trauma Informed Education Practices Act. My Republican colleagues in Cmte voted No.The answer to everything can’t be No.
RepJahanaHayes,That’s a reality that teachers would have to think about if they are expected to be armed and respond in a school shooting. In more than half of the cases- the shooter was a current/former student or a member of the community.
RepJahanaHayes,@user That’s a reality that teachers would have to think about if they are expected to be armed and respond in a school shooting. In more than half of the cases- the shooter was a current/former student or a member of the community.
RepJahanaHayes,Let me say this again!Arming teachers is NOT a response to mass school shootings.I can tell you unequivocally that I could not shoot one of my students.Legislation to address the root cause and the gun violence epidemic is where we have to begin. http
RepJahanaHayes,Swimming and water activities are one of the best parts of the summer.  Keep these tips in mind &amp; be safe this season 🦺 https://t.co/tc3x3v5AIu http
RepJahanaHayes,My office has been selected to host a Gold Star Fellow to assist with constituent services &amp; connect with local VSOs. Submit an application today to join our team: http
RepJahanaHayes,So many came out for the @user 50th anniversary celebration. CHC provides medical care to many of the most vulnerable communities across CT. Here’s to 50 more years 🎉Grateful for all you do to keep CT healthy! http
RepJahanaHayes,"Mi legislación de ""Acceso a fórmula para bebés"" ayudará a las familias durante esta crisis. Esta nueva ley apoyará a los participantes de WIC y los ayudará a acceder a la fórmula y prevenir futuras crisis. http"
RepJahanaHayes,.@NaugatuckValley PROUD 💙💙🤍🤍💚💚 http
RepJahanaHayes,🎶 Congratulations @user for being named one of the Best Communities for Music Education by the National Association of Music Merchants Foundation  Don't miss NHS Marching Band during the National Memorial Day Parade http
RepJahanaHayes,Excited to share that Upward Bound programs at @user @user and @user have been awarded over $883000 by @user to support more low-income first-generation college students with college prep and enrollment in post-secondary education opportunities. http
RepJahanaHayes,The club no one wants to be part of💚💚💚 http
RepJahanaHayes,The list of @user  graduates just got longer. So Honored to return to my alma mater to celebrate the graduating class of 2022!!The education you’ve received will give you the tools to make the world a better place.So proud of you! http
RepJahanaHayes,Had the chance to question @user at our full @user hearing and hear his plans to prioritize the mental health and well being of students and teachers. Access to trauma-informed support systems are critical in academic settings. http
RepJahanaHayes,I visited @user to hear from students who are learning self-advocacy.They shared thoughts on the critical need for research and funding for those living with autism and how federal investments directly benefit them. Hearing from these students was incredibly beneficial http
RepJahanaHayes,Gun violence is a problem in this country. Any mention of gun safety is seen as an attack on the 2nd amendment. Let’s pass the things we agree on like red flag background &amp; safe storage laws &amp; work to find consensus on the things we don’t.Doing nothing is not an option. http
RepJahanaHayes,Met with dedicated volunteers at Wolcott Food Pantry who shared their commitment to feeding local families. Hearing directly from them helps inform my work as NODO Chairwoman. http
RepJahanaHayes,I am completely broken today but also firm in my resolve to continue to work to end our nation's gun violence epidemic. Thankfully we have @user a legislature and fierce advocates in CT to join me in this work. http
