handle,text
RepJoeMorelle,We observe #PrideMonth each June to honor the strength dignity and resiliency of our LGBTQ+ community. For all the progress we've made there is still so much more to do to break down barriers to equality. This month the fight is more important than ever. #LoveIsLove http
RepJoeMorelle,This month is #AsianPacificHeritageMonth an important opportunity to celebrate our vibrant AAPI communities. America's strength has always lied in our diversity. Together we will continue the fight to #StopAsianHate and build an inclusive and welcoming society for all. #AAPIHM http
RepJoeMorelle,Gas prices are out of control and it's time to provide consumers some relief at the pump. That's why I supported legislation to end price gouging and penalize market manipulators. It's time for Big Oil to stop #RippingOffAmericans. http
RepJoeMorelle,Congratulations to @user on their impressive back-to-back national men's lacrosse titles! Let's make it three next year! #ROCProud http
RepJoeMorelle,Grateful for the opportunity to gather with the community in remembrance this #MemorialDayWeekend. http
RepJoeMorelle,Our flag does not fly because the wind moves it. It flies with the last breath of each soldier who died protecting it. – Unknown http
RepJoeMorelle,Congratulations to Penfield Volunteer Emergency Ambulance Service ALS Provider of the Year Jennifer Recino and BLS Provider of the Year Kristina Jovceska. EMS providers are the first link in the chain of survival when an emergency strikes. Thanks for all you do! http
RepJoeMorelle,May is #MentalHealthMonth a time to recommit to investing in the mental health of all people—especially as we continue to navigate these challenging times. Together we can end the stigma around mental health and strengthen support resources to help everyone thrive. http
RepJoeMorelle,It was an honor to present the Congressional Gold Medal to the family of Colonel James C. Reddig in recognition of his outstanding service with the Civil Air Patrol during World War II. #AlwaysVigilant http
RepJoeMorelle,May is #MilitaryAppreciationMonth and an important opportunity to recognize the courageous men and women of our Armed Forces.  To all active-duty service members veterans and military families: THANK YOU for your service and your endless devotion to protecting our country. http
RepJoeMorelle,Remember and Honor.https://t.co/YmzhJ3Mnn3
RepJoeMorelle,It was my honor to participate in Sunday’s Honor Flight Rochester. It was a profoundly heartwarming experience. Thank you for your service and welcome home! https://t.co/QRM5ZlMfDb
RepJoeMorelle,In the midst of so much pain and suffering it's astonishing that there are those who still refuse to act on gun reform. If my colleagues on the other side of the aisle are not willing to be part of the solution then stand aside so that you are not part of the problem. http
RepJoeMorelle,No action will bring back the lives that have been lost. However we can take action today to prevent future loss of life.▪️ Act on banning assault weapons.▪️ Require universal background checks.▪️ Strengthen red flag laws.https://t.co/9cNmffDp0u
RepJoeMorelle,To start WE MUST:✔️ Ban the sale of assault weapons ✔️ Require universal background checks✔️ Regulate the sale of all firearms✔️ Strengthen red flag laws
RepJoeMorelle,We have a moral obligation to take actions so that no person or family must ever endure another tragedy like this again.https://t.co/iYyeRqylbm
