handle,text
SenStabenow,Great to be back at the Mackinac Policy Conference! There is no question we have a number of challenges but I’m focused every day on getting things done for Michigan. #MPC22 http
SenStabenow,This Pride Month we celebrate the trailblazers in Michigan and across our country and we remember the ongoing challenges the LGBTQ+ community faces. There is more to be done in the fight for equality. - Debbie Stabenow (she/her) http
SenStabenow,Thanks to Lt. Bush for showing me the Gaylord areas damaged by the tornado. I met with city county state &amp; community leaders to hear what this community needs to recover. Inspiring to see everyone come together to help. http
SenStabenow,It’s time we start treating health care above the neck the same as health care below the neck. Read more about how my initiative with @user is transforming mental health and addiction treatment across the country.https://t.co/xBxDT9OeXm
SenStabenow,Thank you John Heidenreich for this special tribute today!https://t.co/GQeKpRV64V
SenStabenow,This Memorial Day and every day we show our unwavering gratitude to those who lost their lives fighting for our country. Let’s support their families and honor their heroic sacrifice. http
SenStabenow,I continue to be inspired by the strength and courage of the Oxford High community. I stand with you. Now is the time to act.https://t.co/1nuCXTEibb
SenStabenow,Thank you @user for all you do—including the help you are giving to the people in Gaylord Michigan who were hit so hard by the tornado. http
SenStabenow,The last time oil was $110 a barrel gas was $3.58 a gallon. Now it’s $4.60. Why? Oil companies are padding their profits and taking advantage of the American people. http
SenStabenow,.@POTUS is addressing the baby formula shortage by signing my bipartisan Access to Baby Formula Act invoking the Defense Production Act and launching Operation Fly Formula. 1.5 million cans have arrived in the U.S. so far and there's more to come! http
SenStabenow,Thank you @user for hosting an important discussion this week on tackling the challenges and opportunities facing Detroit and other Michigan urban communities. http
SenStabenow,Thanks to Congress @user and @user swift actions last week baby formula is headed to store shelves.
SenStabenow,I spoke on the Senate floor urging my Republican colleagues to join us to take action on gun violence. We don’t have to live like this! http
SenStabenow,Democrats think our best days are ahead of us. MAGA Republicans think they are behind us—50 years or even 100 years. http
SenStabenow,What a privilege to meet Korean and Vietnam veterans from the UP at the WWII Memorial today and thank them for their service. Thank you to the Honor Flight Network who flew them from Escanaba to Washington D.C. http
SenStabenow,Thank you @user http
SenStabenow,HAPPENING NOW! Tune in to watch @user discussion with state leaders about Roe v. Wade and the future of women’s reproductive freedom in America.https://t.co/FKkpaWcTVF
