handle,text
SenatorMenendez,Great to be back at @user Center for Discovery and Innovation today to announce a $65 million grant from the NIH to continue the kind of life-saving work that has guided us through this pandemic and to help develop treatments for future viral threats. http
SenatorMenendez,We don’t have time for Republicans to slow-walk efforts to prevent the next mass shooting. 9 people lost their lives to gun violence this Memorial Day weekend and until we act more lives will be lost. The time for action is NOW. http
SenatorMenendez,May God bless America and may God bless those who have lost their lives for this nation for us and for our way of life. http
SenatorMenendez,Took a moment to write down some more of my reflections on this past week’s horrific event in Uvalde TX. Read my full thoughts here: https://t.co/PhWI0EOoWV
SenatorMenendez,"Republicans: ""Gun reform will never work the criminals will always find a way."" Also Republicans: If only the door had been locked the shooter would have just turned around and gone home and none of this would have happened. How are we supposed to take them seriously?"
SenatorMenendez,It's no surprise that this is their plan – the amount of gun sales this would require would be great news for the gun lobby. It’ll also traumatize every kid whose school will be turned into a war zone.For a party that's supposed to be all about freedom that's no way to govern.
SenatorMenendez,That's a force of 260000 armed officers — more than the number of U.S. troops currently serving overseas. This is Republicans' solution. They'd rather deploy a full-blown army — against ourselves — than pass even simple common sense gun reforms.
SenatorMenendez,Between public &amp; private elementary and high schools that's about 130000 schools in the U.S. that would need to be defended. Let's say conservatively we need at least 2 guards for each school in case one calls in sick.
SenatorMenendez,🧵 THREAD: Seeing a lot of Republicans saying we need more armed guards in schools. Let's take a second to look at what that proposal would look like⬇️
SenatorMenendez,A few weeks ago this project got started thanks to federal funding I helped to deliver through my Save Our Seas 2.0 Act. Proud to see it completed so quickly and excited for what’s next in Hoboken’s waterfront revitalization. http
SenatorMenendez,Today’s vote is a clear indication that Republicans continue to take their cues from President Trump and others who tolerate enflame and benefit from extremist rhetoric with no regard for the human cost of their support for white supremacists. http
SenatorMenendez,Repealing the Tiahrt Amendments – provisions that hamstring law enforcement’s ability to solve and prosecute gun crimes stop illegal gun trafficking and hold negligent gun dealers and owners accountablehttps://t.co/nmTkU99BqL
SenatorMenendez,Directing the Consumer Product Safety Commission (CPSC) to establish safety standards for firearms locks and firearm safeshttps://t.co/kIOti1jtMy
SenatorMenendez,Keeping guns away from hate crime offendershttps://t.co/SObocb2BuX
SenatorMenendez,Keeping dangerous weapons away from domestic abusershttps://t.co/MYdwD10xcY
SenatorMenendez,Preventing gun sellers from circumventing technology companies’ terms of service by making it illegal to fraudulently sell firearms and ammunition onlinehttps://t.co/KGVYhVMil0
SenatorMenendez,Directly taking on the NRAhttps://t.co/Tfzbqla9Bh
SenatorMenendez,Requiring individuals to obtain a firearm license from DOJ before buying or receiving a firearm https://t.co/Wmk9dtfbU8
SenatorMenendez,Fixing the background check system for gun purchaseshttps://t.co/v1mrcRDtsS
SenatorMenendez,Banning ghost guns and closing the ghost gun loopholehttps://t.co/xPlzBdr253
SenatorMenendez,Banning 3D-printed weaponshttps://t.co/1pPxWandXk
SenatorMenendez,Banning gun silencershttps://t.co/MKtW5mWGYv
SenatorMenendez,Outlawing high-capacity magazines whose only purpose is high-capacity killinghttps://t.co/ASBtgbUj8i
SenatorMenendez,Expanding background checkshttps://t.co/3MV8TiBDwV
SenatorMenendez,Banning assault weaponshttps://t.co/SgFSGUz63M
SenatorMenendez,I'm glad @user has said the Senate WILL VOTE on gun legislation and show the American people where we stand. I will keep working to have as many of these provisions as possible brought for a vote on the floor:
SenatorMenendez,THREAD: After a day of shining a light on some of my colleagues who refuse to back up their “thoughts and prayers” with action I’d be remiss if I didn’t also share some of the steps I’m taking and bills I’ve introduced to confront this crisis ⬇️
SenatorMenendez,La pérdida de vidas en un ataque vil y sin sentido como el de Uvalde TX es doloroso y frustrante. Es hora de actuar para honrar las vidas de estos 19 ángeles con reformas de sentido común que prevengan futuros tiroteos masivos.https://t.co/gctzGrmCqy
SenatorMenendez,This must be just the beginning. While holding federal agencies accountable for the example they set for law enforcement throughout the country is a positive first step Congress must do more including passing the George Floyd Justice in Policing Act.
SenatorMenendez,I applaud @user for taking action today for George Floyd Breonna Taylor and so many others by cracking down on no-knock warrants and unjustified use-of-force in federal law enforcement. http
SenatorMenendez,Proud to see Under Secretary Xochitl Torres Small discussing USDA’s critical rural housing work at the Banking &amp; Housing Committee today. As a Latina leader she knows what’s needed to address the challenges facing rural minority communities.
SenatorMenendez,I know that commitment will shine when she assumes her place on the federal bench and I’m proud to have recommended Ms. Evelyn Padin for this nomination and voted today in support of her confirmation.
SenatorMenendez,BREAKING: The Senate just confirmed a 6th U.S. District Court Judge for the District of NJ.  Beyond her impeccable credentials and her lived experience as a barrier-breaking Latina in NJ and the legal profession Ms. Padin has a relentless commitment to equal justice under law. http
SenatorMenendez,There must be some common ground for us to come together and stop this senseless violence.
SenatorMenendez,The photos we’re starting to see the stories we’re beginning to hear about the victims of yesterday’s shooting leave me with a pit in my stomach. They’re young children most of them Latino and not much older than my own grandchildren.What are we waiting for? http
SenatorMenendez,James 2:14-17 http http
SenatorMenendez,James 2:14-17 http http
SenatorMenendez,James 2:14-17 http http
SenatorMenendez,James 2:14-17 http http
SenatorMenendez,James 2:14-17 http http
SenatorMenendez,James 2:14-17 http http
SenatorMenendez,James 2:14-17 http http
SenatorMenendez,James 2:14-17 http http
SenatorMenendez,James 2:14-17 http http
