handle,text
SteveDaines,Let’s set the record straight — our energy crisis is a man made dilemma…by @user &amp; the Democrats.
SteveDaines,Montana’s new Gold Star Family Memorial Monument. http
SteveDaines,Through the work of the Hershel “Woody” Williams Foundation Montana now holds its first Gold Star Family Memorial Monument. http
SteveDaines,During today’s ceremony I presented a tribute in the Congressional Record in honor of World War II veteran and Medal of Honor recipient Hershel “Woody” Williams. http
SteveDaines,Honored to join so many Montana veterans and Gold Star families in Bozeman today for the Memorial Day parade &amp; ceremony. http
SteveDaines,Today we pause to reflect on the brave men and women who have made the ultimate sacrifice to protect our freedoms and nation. We must always remember freedom is not free. #MemorialDay2022
SteveDaines,Under @user prices have skyrocketed since last Memorial Day weekend. This year looks a little different:🥓 up 17.7%🐓 up 16.4%🌭 up 6.9%🐄 up 14.8%And if you’re planning on driving gas is up 43.6%.
SteveDaines,Yellowstone Park Superintendent Cam Sholly has invested in employee housing which has helped raise employee morale. We need to build upon this good work and pass my bipartisan bill with @user  to support gateway communities. http
SteveDaines,Glad to join folks today to celebrate @user 150th birthday &amp; for the unveiling of the Tower-Roosevelt to Chittenden Road which will help expand public access to public lands. Our parks help set us apart from the rest of the world and Yellowstone was the very first! http
SteveDaines,I’m a proud Beer Champion! Thank you @user for honoring me with this award — and thank you to Montana farmers for growing enough barley to make 17 BILLION bottles of beer each year.No barley no beer! http
SteveDaines,As a fifth generation Montanan and avid sportsman I’m glad to see the Senate pass my bipartisan resolution with @user to designate June as Great Outdoors Month.I encourage folks to get outside and experience everything our national parks &amp; public lands have to offer!
SteveDaines,Montanans are feeling the sting of Biden and the Democrats’ wasteful policies. We must rein in reckless spending &amp; unleash American energy for the sake of Montana families.
SteveDaines,"Hear from the Mayors of Plains and Kalispell about how @user inflation crisis is hurting Montana communities.  As Kalispell Mayor Mark Johnson says: ""without a strong economy we don’t have a strong America."" I agree. http"
SteveDaines,Good time chatting with @user yesterday at the 2022 DC Blockchain Summit. http
SteveDaines,Too many Montanans struggle with the terrible health implications of brain tumors.I’m glad the Senate passed my bipartisan resolution with @user designating May as Brain Tumor Awareness Month. We must continue to raise awareness about brain tumors research and treatment.
