handle,text
BettyMcCollum04,"All communities should have access to clean water. The Water Resources Development Act will help states, territories, and tribes invest in their water infrastructure to build climate resilience &amp; anticipate future needs. That’s why I’m voting yes on #WRDA2022 today. https://t.co/Siwf0WpkIR"
BettyMcCollum04,"With privacy rights on the line, and on this 57th anniversary of the Griswold #SCOTUS decision, I’m working to increase investments in Title X. I call on my colleagues to join me to #FundTitleX &amp; ensure all who want it have access to family planning care. https://t.co/844QiF1RY3"
BettyMcCollum04,"In the Fourth District, the @NatlParkService &amp; Paddle Bridge Guide Collective will lead participants on a guided paddle of Pickerel Lake – this Thursday evening, June 9. 

More details here: https://t.co/VPdUremLzT (2/2)"
BettyMcCollum04,"As the author of legislation to establish a federal initiative to restore the Mississippi River, I invite constituents to participate in @1_Mississippi’s  “Mississippi River Days of Action” to #KeepItMighty! #MRRRI https://t.co/DYJMgblACV (1/2) https://t.co/uPVdQn56IM"
BettyMcCollum04,House Democrats passed $150B to build &amp; maintain affordable housing within the #BuildBackBetter Act. I’m calling on the Senate to include these critical investments in the package they are negotiating. (2/2) https://t.co/xI4BIyxRCO
BettyMcCollum04,I helped bring federal resources to Minnesota to help people stay in their homes as the pandemic took its toll. But sustained investments are needed to provide housing stability for folks in our community. #Delivering4MN (1/2) https://t.co/tcQzcbw6Z7
BettyMcCollum04,"On June 6, 1944, Allied forces stormed the beaches of Normandy in Nazi-occupied France, reshaping WWII and taking a major step in ending tyranny in Europe. We remember the sacrifices of the brave Allied Forces on #DDay, 78 years ago today, and are thankful for their service. https://t.co/9B8hRUByiK"
BettyMcCollum04,The federal government is working to ensure parents can find credible information on where and how to find infant formula amid the shortage. Find resources here: https://t.co/J7mlvqndUE https://t.co/9wmw5iBbJC
BettyMcCollum04,"I’m glad I was able to connect with folks here at home this week on the urgent need to #EndGunViolence. As we head back to DC, I look forward to passing additional legislation to keep people safe, like the #ProtectingOurKids Act. Let’s all continue to pressure the Senate to act."
BettyMcCollum04,A wonderful opportunity to get outdoors &amp; give back! #ProtectCleanWater https://t.co/oFQdNOPGdl
BettyMcCollum04,"On @UNEP #WorldEnvironmentDay, we recognize the multiple crises facing our planet: 

🌳Biodiversity loss 
🔥Climate change 
🗑️Pollution 

We’ve got #OnlyOneEarth. Let’s take care of it. https://t.co/JvG9OFMIA8"
BettyMcCollum04,"National Cancer Survivors Day is a celebration, and also a call to action – for further research, more resources, and increased public awareness to improve the lives of cancer survivors. #NCSD2022 https://t.co/BNkLxpmUtF https://t.co/GYkWtFfyVM"
BettyMcCollum04,"The leading cause of death for children is not cancer or car accidents. 

It is guns. 

#EndGunViolence 
#GunViolenceAwarenessMonth
#EnoughIsEnough https://t.co/ZWBPrZPnHb"
BettyMcCollum04,"Happy trails to you!🥾

#NationalTrailsDay is today. We can all celebrate by taking advantage of Minnesota's amazing places to hike.

Here’s one of my favorites: https://t.co/nenQeVKJuq"
BettyMcCollum04,Last night I held a recognition evening for those in MN-04 who are entering a U.S. Service Academy. Congratulations and best of luck to you all! https://t.co/HMTK0ow8B9
BettyMcCollum04,"There are many opportunities to get involved in the push to #EndGunViolence, including an event this Sunday in Stillwater organized by @MomsDemand/@Everytown. #WearOrangeWeekend

Learn more &amp; register to attend here: https://t.co/a4qfLehsSX https://t.co/uU7AEj8CaU"
BettyMcCollum04,"All aboard! Train Days is back this weekend at Union Depot – a free, family-friendly celebration of trains &amp; transportation! https://t.co/q65jE5EPVy"
BettyMcCollum04,Today we #WearOrange in honor of #GunViolenceAwarenessDay. I’m thinking of all those who’ve needlessly lost a loved one – and resolve to continue working to push for effective solutions to #EndGunViolence. Enough is enough. https://t.co/MI2EW8fGU5
BettyMcCollum04,"The #ProtectingOurKids Act contains a similar provision. It just makes sense. #EndGunViolence #WearOrange 
https://t.co/GmgSkELD1r"
BettyMcCollum04,"The Bipartisan Infrastructure Law, #IIJA, is delivering massive investments for our communities. Here in St. Paul, Holman Field is receiving $589,855 to update to its runway lighting systems and improve safety for pilots (and their passengers)! https://t.co/jdLNda9T6V https://t.co/pZoJRKMOt3"
BettyMcCollum04,"After the 1871 Great Chicago Fire killed ~300 people, destroyed 17,500 buildings, &amp; left 100,000+ residents homeless, Stillwater officials realized their town could face a similar fate. The next year the city’s first fire department was formed. Tomorrow they celebrate 150 years! https://t.co/B6xOniMEN4"
BettyMcCollum04,"Wonderful to join the folks at @HallieQBrownCtr for the ribbon cutting ceremony for their Early Learning Center Playground! The updated facility will provide a more comfortable, safer place for kids to play. https://t.co/zCA7CvKEM9"
BettyMcCollum04,Today was “Chief Todd Axtell Day” in Minnesota! My congratulations &amp; thanks to Chief @ToddAxtell for your partnership in working to keep our community safe. All the best! https://t.co/lIkmRdYyC2 https://t.co/GuBcv5zwJ8
BettyMcCollum04,"During Alzheimer’s &amp; Brain Awareness Month, I join the @alzassociation in honoring the more than 6 million Americans living with Alzheimer’s and the millions of family members &amp; friends who love them. #ENDALZ Learn more: https://t.co/CyQ4qsLRhd"
BettyMcCollum04,Great meeting with @smartnonprofits &amp; @FollowMCF today to discuss the need for improved coordination between the nonprofit sector &amp; the federal government – and how my recently-introduced bill will do just that. Nonprofits deserve #ASeatAtTheTable! https://t.co/CZaXyZZtCy
