handle,text
DonaldNorcross,"I have little patience for Republican lawmakers putting corporate profits over workplace safety. Three times in my career in construction, I saw coworkers lose their life on the job.

People should be safe at work. We need to fund @OSHA_DOL fully. https://t.co/YIRJf9VQEC"
DonaldNorcross,"Good morning —

Today, House Democrats will vote to protect children and teachers from gun violence.

Ask House Republicans if they’ll do the same."
DonaldNorcross,"Guns are now the leading cause of death for children in the USA. While congressional Democrats are taking action on gun safety legislation, Republicans are making excuses and trying to change the subject. This isn't about sports. This is about saving lives. https://t.co/jTAtR6Ovkf"
DonaldNorcross,"Great news! This move answers the call to reduce our dependence on #BigOil and kickstart our clean energy economy, all while looking out for the American worker. https://t.co/LBX2SW2YJN"
DonaldNorcross,"We hear a lot of lip service from House Republicans about protecting Americans.
 
So I gotta ask: where do they stand on a bill that protects kids from weapons of war?"
DonaldNorcross,"As the only electrician in Congress, I know a safe workplace can make the difference between life and death.

We need to do more to make sure workers come home the way they went to work: alive and healthy."
DonaldNorcross,"Amazon is NJ's 2nd largest employer. While I always welcome bringing jobs to South Jersey, worker safety and protection must be a priority. That’s why I’m asking @OSHA_DOL to investigate and for Amazon to improve workplace safety.

https://t.co/tDioYkOIr5"
DonaldNorcross,"78 years ago, Allied forces landed on the beaches of Normandy to fight the Nazis. As we face renewed threats to democracy today, let’s remember those soldiers who gave their lives for the values of freedom and democracy. https://t.co/sKNYYDt6TJ"
DonaldNorcross,"10 more American families are now reeling from a mass shooting. Three more families have to say goodbye to their loved ones.

Enough is enough. Tomorrow, I will vote for the Protecting Our Kids Act to make our streets, supermarkets, and schools safer. 

https://t.co/3zdmWAQQCr"
DonaldNorcross,"While corporate shareholders rake in record profits, working people are being squeezed at the pump. We can lower fuel prices by holding giant oil and gas companies accountable for their greed. https://t.co/bwDmQ11zAK"
DonaldNorcross,"So… we’ve only raised the federal minimum wage once in the last 13 years. In that time, we’ve seen:
 
4 different Presidents
31 different iPhones
3 different Spidermen
 
It’s long past time to raise the wage."
DonaldNorcross,"This week, I visited a local business in NJ-01. @ResinTech manufactures products that can help clean up our waterways, helping to make communities cleaner while creating local jobs. It’s always great to see the innovation happening in our own backyard! https://t.co/O2vp8KZOeF"
DonaldNorcross,"No one should go through tragedy alone. I’m proud to represent a region that cares for its neighbors, whether they’re next door or 2,000 miles away. https://t.co/yKHrJ1PZyF"
DonaldNorcross,"Last night, I stood with students, activists, and community leaders to speak out against gun violence. Next week, I head back to DC to vote on a gun safety reform package.

We won't stop marching, rallying, protesting, or voting until the mass shootings stop. #EndGunViolence https://t.co/ijEqifPtPT"
DonaldNorcross,"Here's a quick recap:

✅Stood with Amazon workers in SJ to call on @OSHA_DOL to investigate injury rates 

✅Hosted an infrastructure funding update for SJ's local elected officials

✅Toured innovative manufacturing facilities at Action Pak and @ResinTech"
DonaldNorcross,Proud of the Eagles for standing with the victims and families suffering from the gun violence epidemic. #WearOrange #EndGunViolence https://t.co/sDNlCmDTC2
DonaldNorcross,"South Jerseyans are tired of #BigOil prioritizing their shareholders and leaving working people out to dry at the pump.

My office has received an outpouring of frustration. #NJ01 can rest assured I will fight to lower gas prices and hold companies accountable. https://t.co/Mqqdd4DPQg"
DonaldNorcross,"House Democrats have passed legislation to get vaccines to NJ, fixed NJ roads, and delivered baby formula to store shelves.

Republicans tried to block all three."
DonaldNorcross,"If workplace safety was a priority at Amazon, their injury rates wouldn’t be twice that of their competitors. It’s time for a prompt investigation to make sure workers are safe at Amazon. https://t.co/oz1WJwlBKQ"
DonaldNorcross,Donald Norcross Statement on the Passing of longtime Gloucester County Commissioner Robert Damminger: https://t.co/ksFseygwTg
DonaldNorcross,"If giant oil companies can’t figure out how to make a living without price gouging consumers, we should tax their profits and fine them for their greed. We need to stop giving wealthy executives a free pass at the expense of everyone else. https://t.co/bfuGapWnfn"
DonaldNorcross,"Big thanks to @EPAwater, @USDOT, and @NewJerseyDOT for taking the time to meet with SJ’s local leaders and talk about new funding from the Infrastructure Investment and Jobs Act. I’ll continue to make sure SJ gets their fair share of historic investments. https://t.co/dghpCduI8H"
