handle,text
GReschenthaler,"The recall of Chesa Boudin shows even bright blue San Francsico understands Democrats' soft-on-crime policies don't work. 

Woke DAs should face consequences for allowing criminality to flood American streets in the name of 'progress.'"
GReschenthaler,Democrats can't even be bothered to understand basic information about the firearms they're trying to take away from law-abiding citizens. https://t.co/whhqq4EUBR
GReschenthaler,"The Biden Admin refuses to secure our southern border.

This is the result. https://t.co/i3KWPdqqVM"
GReschenthaler,"🚨🚨Gas prices have more than DOUBLED since Biden's first day in office. 

⛽️ January 20th, 2021: $2.39 
⛽️ June 7th, 2022: $4.92

This is a direct result of the Biden Administration's failed Green New Deal policies and their war on U.S. energy production."
GReschenthaler,"Biden’s presidency has far exceeded the damage Jimmy Carter did to this country.
https://t.co/8AudX5kVOL"
GReschenthaler,"Today, on the 78th anniversary of D-Day, we honor some of our nation’s most courageous and selfless heroes.

From braving the cliffs of Pointe du Hoc to the concentrated fire on Omaha Beach, Americans led the way in the fight to liberate Europe from Nazi tyranny. https://t.co/Q49wVls0P6"
GReschenthaler,"How many times do the American people have to tell you no until you listen to them?
https://t.co/rtnXM62N4k"
GReschenthaler,"Biden's targeting of gun manufacturers is merely a backdoor attempt to end the Second Amendment.

Democrats are willing to go to any extreme to take your guns away, whether that's attacking private business, removing the filibuster, or packing SCOTUS. https://t.co/7dBI2VLUDD"
GReschenthaler,"And it can’t come soon enough.
https://t.co/vTbuCvgxWQ"
GReschenthaler,"Everyday Americans are struggling to make ends meet amidst surging prices.

Yet the Biden Admin is passing the buck on inflation and plotting student loan forgiveness for their entitled, woke base.

It's disgraceful."
GReschenthaler,"We should be supplying Ukraine with long-range missiles.

And they should be using those missiles to target the Russian batteries slaughtering their civilians.

There's nothing wrong with that. https://t.co/B7HNKId6Sf"
GReschenthaler,Raising the Renewable Fuel Standard mandates during an energy crisis would be a clear sign Biden isn't serious about fighting inflation or record-high gas prices. https://t.co/yDI3FKyzMa
GReschenthaler,"Our nation’s deserving veterans shouldn’t struggle to secure a home using their VA mortgage benefits.

As a Navy veteran, I believe the VA needs to reform its loan process to ensure that veterans can compete and purchase a home in today’s highly competitive market."
GReschenthaler,"I led over 60 of my colleagues on a letter to Department of Veterans Affairs Secretary Denis McDonough this week, urging the VA to improve its mortgage loan process to ensure veterans can effectively compete in the current housing market. https://t.co/xkj9YfCEz0"
GReschenthaler,"In February 2021, I urged the U.S. to seek a bilateral trade agreement with Taiwan when I introduced the Taiwan Invasion Prevention Act. 

Boosting our economic ties will enrich us both &amp; deter Chinese aggression.

I'm glad to see it's finally happening.
https://t.co/XXhMc8iaJ7"
GReschenthaler,"The Biden Administration claims they’re doing everything to address the energy crisis at home and abroad. 

If that's true, why did they cancel massive drilling lease sales in Alaska and the Gulf of Mexico last month?"
GReschenthaler,"The EU will ban two-thirds of Russia’s oil imports immediately and 90% by the end of the year. 

Expanding U.S. energy production would significantly reduce Europe’s dependence on Russian energy.

We must incentivize domestic energy production and restore our energy independence."
GReschenthaler,"WHO elected China to its executive board last week. China’s public health track record:

❌ Silenced doctors who warned about COVID
❌ Gave false information to WHO about COVID
❌ Obstructed investigations into COVID
❌ Imposed draconian lockdowns

WHO has lost all credibility."
GReschenthaler,"Our first responders deserve comprehensive coverage for the physical &amp; mental wounds they suffer while serving our communities. 

Thanks to @PittsburghPG for highlighting this issue &amp; how my bill, the Public Safety Officer Support Act, will address it.
https://t.co/OeyTVgxsR2"
