handle,text
JanSchakowsky,"What’s disgusting!?!
Union busting!!! https://t.co/dordABFFF5"
JanSchakowsky,"In Illinois, for every 10 extremely low-income renters, there are fewer than four affordable and available rental units. The pandemic has only exacerbated the #affordablehousing crisis. Any reconciliation bill must include the housing provisions already passed by the House."
JanSchakowsky,"Investments in #affordablehousing will not only increase the supply of affordable housing, but will also:

✅create jobs👷🏻‍♀️
✅generate revenue for state &amp; local governments💰
✅support a more stable &amp; inclusive economy 📈"
JanSchakowsky,CARE CAN’T WAIT! https://t.co/rp60uLrJQT
JanSchakowsky,"The Griswold #SCOTUS decision made birth control legally accessible 57 years ago today. Sadly, Griswold is next on the chopping block if the rogue Supreme Court overturns Roe v. Wade. Congress must #FundTitleX to ensure Americans have access to family planning. https://t.co/QIPuzAQi4k"
JanSchakowsky,"These federal funds would ensure that each project has the resources necessary to serve our community.

For my full list of project requests, please see below:
https://t.co/bBFkQ8MGY5"
JanSchakowsky,"Community Project Funding is an opportunity for members of Congress to direct federal funding to worthy projects throughout the district they represent. This year, I submitted 15 funding requests, totaling nearly $27 million to @AppropsDems!"
JanSchakowsky,"As you can see, the House voted to clamp down on gas price gouging and every Republican voted no. Americans need relief. The Senate must stand strong against corporate #greed. https://t.co/6AG2ZcXVmI"
JanSchakowsky,"Workers’ rights aren’t a partisan issue. The majority of Americans want a stronger voice in the workplace. As a dues-paying union member myself, I proudly support the unionization efforts taking the country by storm. #UnionStrong 
https://t.co/M2cvSX4V04"
JanSchakowsky,"Americans suffering from Lymphedema deserve access to treatment. As we recognize #NationalCancerSurvivorsDay, let’s ensure those dealing with this horrible disease aren’t burdened by the costs. It’s time we pass my bipartisan Lymphedema Treatment Act. https://t.co/Vy0VnC49HM"
JanSchakowsky,"As the richest country in the world and the second highest emitter of greenhouse gases, we have a responsibility to be a leader in the fight to combat the climate crisis. Let's celebrate our planet by taking action to protect the environment for future generations! #OnlyOneEarth"
JanSchakowsky,"As a member of the @EnergyCommerce Committee, I’m committed to reducing pollution and creating millions of clean energy jobs. I introduced the Future Generations Protection Act because it’s time we transition away from fossil fuels. https://t.co/hSAnwXhbnE"
JanSchakowsky,I’m proud to join people around the globe in celebrating #WorldEnvironmentDay! We must take drastic action to mitigate the consequences of climate change. Weather-related natural disasters have increased dramatically over the last 50 years and there are no signs of slowing down.
JanSchakowsky,"Another day, another tragic mass shooting. We simply cannot wait any longer, people are dying. I look forward to voting yes on the Protect Our Kids Act. It will be up to Senate Republicans to do their part and pass this bill. #EndGunViolence https://t.co/Cq7sMaOgNk"
JanSchakowsky,"The numbers are clear: Americans overwhelmingly support universal background checks. We were elected to uphold the will of the people, it’s time my Republican colleagues act like it. #EndGunViolence https://t.co/vQizkeFpvv"
JanSchakowsky,"Your privacy online is my top priority🔒
I applaud my colleagues and support this bipartisan, bicameral comprehensive privacy bill. Now is the time to protect consumer data and our children online. https://t.co/0qXYdKeQsR"
JanSchakowsky,"We will not stop until we:
🟩strengthen background checks
🟩ban assault weapons
🟩enact red flag laws and safe storage law
🟩hold gun manufacturers accountable
🟩raise the purchasing age to 21"
JanSchakowsky,Enough is enough. We can no longer keep asking “how much more carnage are we willing to accept?” We must keep working to #EndGunViolence this month and every month to come.
JanSchakowsky,I urge my colleague across the aisle to get on board and pass common sense gun laws. Failure is not an option!
JanSchakowsky,"The fact that over the last two decades, more school-aged children have died from guns than on-duty police officers and active-duty military combined is sickening. It is no longer an exaggeration to say our children are dying. We can do something and we must. #EndGunViolenceNow"
JanSchakowsky,Let's paint America orange and spread awareness about the gun violence crisis that takes more than 40K lives every year and devastates countless others. Rt if you're with me! #wearorange https://t.co/Slt1QcWLMa
JanSchakowsky,"Jobs! Jobs! Jobs! Democrats are creating opportunities and delivering results.

Let’s not stop there, let’s keep fighting for higher wages and lower costs. #BidenBoom https://t.co/NP3rwiWKbC"
JanSchakowsky,"Every day, more than 110 Americans are killed by gun violence. Yesterday, the @HouseJudiciary committee passed the Protect Our Kids Act. This bill includes the common-sense gun measures that will keep firearms out of the hands of criminals. I look forward to voting yes this week."
JanSchakowsky,"This is leadership, this is a set of common sense solutions supported by the majority of Americans. I hope my Republican colleagues will get that message, stop catering to extremists, and support this plan. https://t.co/K6WjBDzxRx"
JanSchakowsky,Proud to join this effort! https://t.co/XNHUbxWvzT
JanSchakowsky,"Over 560,000 students were defrauded by Corinthian College. Thank you @POTUS and @SecCardona for returning $5.8 billion to its rightful owners. 

Now let’s keep the momentum going! #CancelStudebtDebt 
https://t.co/58C73pqgoR"
JanSchakowsky,"As the proud daughter of immigrants, I’m overjoyed to celebrate #ImmigrantHeritageMonth. I’m honored to represent one of the most diverse districts in the nation. The many cultures and customs present in our community truly sets us apart. https://t.co/Ejh3Kty2g1"
JanSchakowsky,"The Department of Health and Human Services and @POTUS are working hard to ensure that infant formula is readily available across the country. If you need help locating baby formula near you, please visit https://t.co/NieDPMQ0L3."
JanSchakowsky,"Happy #PrideMonth! No matter who you are or who you love, you are beautiful and belong. This month, and every month, let’s celebrate our differences and embrace what makes us all unique. I won’t stop fighting to make this world more inclusive for LGBTQ+ individuals. https://t.co/l6oLFI4QX8"
