handle,text
LeaderHoyer,I was honored to bring a resolution to authorize this year's Greater Washington Soap Box Derby to be held on the Capitol grounds and glad to see this resolution pass on the Floor today. I encourage everyone to join me in cheering on the soapbox racers on June 18. https://t.co/Aw7IgADFGI
LeaderHoyer,"I was honored to join @KerryKennedyRFK at the 2022 @RFKHumanRights Awards and deliver remarks honoring Cameroonian human-rights defenders @MaxMBE and @AgborNkonghoF for their courage and resolve in defending basic rights, freedoms, and dignity for all. https://t.co/mnD4dPJe5p https://t.co/cYcQJAHFgz"
LeaderHoyer,"Many Americans saw expanded access to quality, affordable health care through the #ACA thanks to the #AmericanRescuePlan. Congress must act soon to ensure that these cost-saving measures do not disappear.
 
Read my op-ed w/ @WhipClyburn in @TheHill today: https://t.co/SLfmuSrAxG"
LeaderHoyer,I thank Charles County Sheriff Troy Berry and for having an important discussion with me yesterday about the priorities of their department this year and for his commitment to making Charles County an example of good policing. https://t.co/2wSf9DwaTy https://t.co/ZYstz2Cal6
LeaderHoyer,"Happy birthday to my friend @RepSusanWild from #PA07, a powerful advocate for mental health care resources. I’m grateful for your work to lower prescription drug costs for working families in the Lehigh Valley and across America."
LeaderHoyer,"Wishing a happy birthday to my friend from Pennsylvania, @RepDean, who has worked to promote equity, opportunity, and justice under the law for all as a Member of @HouseJudiciary and @FSCDems. I’m grateful for your leadership as Co-Chair of the Bipartisan Women’s Caucus."
LeaderHoyer,Glad to visit Lifestyles’ newly-opened Emergency Shelter &amp; hear about their work to help and protect the most vulnerable in Southern Maryland. I will continue supporting their efforts to ensure more families can get the help they need. https://t.co/avMKJB9pd9 https://t.co/d4jsEsDb8K
LeaderHoyer,All Marylanders deserve the opportunity to seek higher education regardless of their socioeconomic background. That’s why I’m proud to help deliver almost $3.8 million to #MD05 colleges to ensure students are set up for success.  https://t.co/7mzzd8OkhL
LeaderHoyer,"Happy birthday to my friend @RepHoulahan from #PA06. Thank you for your service to our country as a member of the @usairforce and your valuable insight on @HASCDemocrats, @HouseForeign, and @HouseSmallBiz."
LeaderHoyer,"Wishing a happy birthday to my friend from the Granite State, @RepChrisPappas. I am grateful for your leadership in the work to combat the opioid epidemic as a member of the Bipartisan Heroin and Opioid Task Force."
LeaderHoyer,"Happy birthday to my friend @RepBourdeaux, who has been a strong voice in encouraging fiscal responsibility and a champion for Georgia as a Member of @TransportDems and @HouseSmallBiz. I will miss you in Congress next year."
LeaderHoyer,Negotiators are working to reach agreement on bipartisan innovation legislation that will spur economic growth by making our businesses and workers more competitive &amp; by strengthening our supply chains. I look forward to bringing that bill to the House Floor when it is ready.
LeaderHoyer,"Today's #JobsReport from @BLS_gov shows our economy is growing, good jobs are being created, wages are rising, and entrepreneurs are starting new small businesses. However, our economy needs the tools to sustain growth and ensure folks can #MakeItInAmerica."
LeaderHoyer,"As we #WearOrange to honor the victims and survivors of gun violence today, I urge Republicans to join with Democrats in advancing common-sense gun legislation supported by a bipartisan majority of Americans that will #EndGunViolence and build safer lives for America’s children. https://t.co/vwdh8LIybi"
LeaderHoyer,Animo a todos los puertorriqueños a participar en el foro público del sábado organizado por @NRDems en San Juan. Me alegró trabajar con miembros del Congreso en el Borrador de Discusión de la Ley de Estatus de Puerto Rico que permitirá al Congreso #EscucharPuertoRico. Regístrese:
LeaderHoyer,I encourage all Puerto Ricans to participate in Saturday’s public input forum hosted by @NRDems in San Juan. I was glad to work with Members of Congress on the Puerto Rico Status Act Discussion Draft that will enable Congress to #ListenToPuertoRico. Register at the link below: https://t.co/Kg6dsKfvid
LeaderHoyer,I join in celebrating #ImmigrantHeritageMonth &amp; commemorating the contributions that immigrants have made to America throughout its history. America has always served as a land of opportunity for people around the world searching for a better life. https://t.co/cju9KQl1e2 https://t.co/na5Hs8Ysk7
LeaderHoyer,"Even though so much progress has been made, in 2022 LGBTQ Americans still face discrimination. Let us use this Pride Month to rededicate ourselves to the work of securing the principles of equality &amp; justice for all people – no matter who they love or how they identify."
LeaderHoyer,"I join in celebrating America’s #LGBTQ community this #PrideMonth. LGBTQ Americans have made significant contributions adding to the richness of our nation’s culture, and pushing our country to live up to its founding principle that all are created equal. https://t.co/qqhyLxvYFM https://t.co/3GRLnCRo8w"
LeaderHoyer,"Happy birthday to my friend @RepLucyMcBath, a powerful advocate for #GA06. I am grateful for your leadership and dedication to enacting legislation to #StopGunViolence and save lives as a Member of @HouseJudiciary and Vice Chair of the @HouseGVP."
