handle,text
RepAnnieKuster,"Little does @RepRoKhanna know he’s up against the luck of the Irish 🍀.

Excited to continue watching the @celtics rock the @NBA! https://t.co/3Pi74E7cPZ"
RepAnnieKuster,"In 1973, the #RoeVWade ruling shifted the rights &amp; standing of women in the U.S.—this progress is at stake if SCOTUS overturns the near 50-year precedent.

The tool below shows how much life changed for women since Roe &amp; illustrates why access to safe, legal abortion is crucial. https://t.co/YOLTT2bBlD"
RepAnnieKuster,"Access to reliable internet is essential. This federal funding heading to New Hampshire will help strengthen our broadband infrastructure, close the digital divide, &amp; connect NH families, students, &amp; small businesses with the high-speed internet they need. https://t.co/MM4PTty3HB https://t.co/o55EeWUTZ7"
RepAnnieKuster,"Today, I'm also thinking of my father, Malcolm McLane, who was among those brave, patriotic forces. He flew a patrol mission over the beaches of Normandy on D-Day.

Months later, he was shot down &amp; spent 6 months in a POW camp. His service to our nation inspires me every day. https://t.co/9wQLA9Kx2V"
RepAnnieKuster,"On the 78th anniversary of #DDay, we remember &amp; honor the thousands of brave American &amp; Allied forces who took to the beaches, water, &amp; skies of Normandy on June 6th, 1944 &amp; fought to liberate Europe from Nazi control. https://t.co/eibI9nheCO"
RepAnnieKuster,"Happy 6️⃣0️⃣3️⃣ Day, New Hampshire! https://t.co/j1SxRS3j2i"
RepAnnieKuster,And to @SenatorShaheen for championing this effort in the Senate! New Hampshire’s delegation is focused on delivering for our Granite State veterans. https://t.co/FH6mHCUXrp
RepAnnieKuster,"COVID-19 vaccines have helped our communities &amp; economy bounce back. Now, thanks to the dedication of our nation’s scientists &amp; doctors, vaccines could be available for kids under 5 as soon as this month.

Wonderful news for our families, schools &amp; future.
https://t.co/MUQ8Clfi0n"
RepAnnieKuster,"The brave Granite Staters who serve our country in uniform—as National Guardsmen, reservists, or active duty members—deserve to be buried in the Veterans Cemetary.

Thank you to @RepChrisPappas for leading this effort to honor all our NH service members.
https://t.co/BwEpVNucAc"
RepAnnieKuster,"The wave of threats &amp; criminal acts targeting NH journalists is unacceptable &amp; must be investigated to the fullest extent.

A free, independent press is at the core of our democracy—I stand with these journalists as they continue to serve our communities.
https://t.co/2bOBmUV3Y4"
RepAnnieKuster,"Last month I was proud to help advance my bill—the Increasing Transparency In Generic Drug Applications Act—through @EnergyCommerce to get lower-cost drugs to market faster.

Glad @SenatorHassan introduced this legislation in the Senate to help lower Rx costs for all Americans. https://t.co/oWrwlhhgih"
RepAnnieKuster,"Congratulations to all our NH teachers who were nominated for the 2023 Teacher of the Year Award!

Day in &amp; day out, our teachers dedicate themselves to educating &amp; inspiring our students—thank you to all of our state's teachers &amp; staff for your hard work!
https://t.co/tF7MwMtnqk"
RepAnnieKuster,"Happy #PrideMonth, New Hampshire!

This month, we reflect on the progress our country has made toward LGBTQ rights and recommit to the work ahead to counter hate and bigotry. https://t.co/lqunSXpzjx"
RepAnnieKuster,"Forensic nurses are on the front lines in our communities—caring for sexual assault victims &amp; ensuring perpetrators are held responsible for their crimes.

I met with @ForensicNurses to discuss ways to address sexual violence, strengthen the nursing workforce &amp; support survivors. https://t.co/cCaEqkv2f5"
