handle,text
RepBillFoster,An overwhelming majority of the American people support common-sense measures to stop the senseless gun violence shattering communities on a daily basis. We need to get this done. https://t.co/opoSo43MSz
RepBillFoster,The Force is strong in Joliet! https://t.co/1f6wGxPvnW
RepBillFoster,"78 years ago, Allied troops stormed the beaches of Normandy and changed the course of history.

Their bravery, sacrifices, and heroism will never be forgotten. #DDay78"
RepBillFoster,The return of Joliet Star Wars Day has brought balance to The Force. https://t.co/PQPtagnB9O
RepBillFoster,"It was great to visit Stepping Stones yesterday to hear how the $2,000,000 I secured in federal funding will be used to build recovery-based housing for women and their children. https://t.co/jDm1zGUYCZ"
RepBillFoster,"As we mark Gun Violence Awareness Day, I am taking a moment to remember those we have lost to the epidemic of gun violence in America. It’s time to take action to #EndGunViolence. https://t.co/0uFY7x9KFO"
RepBillFoster,This is an important aspect of the gun violence epidemic that often gets overlooked. https://t.co/tN2eoUOBMl
RepBillFoster,"🚨UPDATE: Saturday's panel discussion will be held at 1620 Plainfield Rd in Joliet, IL. Hope to see you there! https://t.co/564omJy4YU"
RepBillFoster,Physics is fun! #backtoscience https://t.co/Gih7Fhqovs
RepBillFoster,"I’m proud to stand with everyone in our community who is demanding that our government finally address the senseless gun violence that is destroying innocent lives on a daily basis.

#EnoughIsEnough https://t.co/MfR3sEj0cx"
RepBillFoster,"As part of my Community Project Funding requests, I'm proud to advocate for VNA Health Care to expand their life-saving patient treatment with a care center in Joliet. Keeping our communities healthy and equipped with advanced medical services has never been more important. https://t.co/VE0aDG6ltr"
RepBillFoster,"Happy #PrideMonth! As we celebrate the LGBTQ+ community this month and every month, let's honor the tremendous progress our nation has made towards equality, and remember the work we have left to do. https://t.co/It87vWA8Ku"
