handle,text
RepBobbyRush,"Congratulations to Shalanda Baker, who was just confirmed as @ENERGY's new Director of the Office of Economic Impact &amp; Diversity! The OEID is vital in implementing Justice40 &amp; promoting #EnergyJustice. Great to see a true EJ champion officially @ its helm! https://t.co/LIpgYTpaUi"
RepBobbyRush,The @HouseDemocrats are dedicated to #EndGunViolence &amp; urge the Senate to join us to get life-saving #GunViolencePrevention legislation over the finish line. Saving our children can &amp; must be a unifying mission for our nation. Let’s get the job done! https://t.co/pLoXLlHLhV
RepBobbyRush,"Guns have taken a tragic toll on America's kids. @Everytown states that #GunViolence is the leading cause of death for U.S. children &amp; 3 million American kids witness a shooting each year—which takes a horrific toll on their health. 
#GunViolenceAwarenessMonth https://t.co/EN9xgibifk"
RepBobbyRush,"I am grateful for @civilrightsorg's support of the Martha Wright Prison Phone Justice Act.
Families should never have to financially struggle because of the cost of staying connected w/ incarcerated relatives, especially as this communication has been proven to reduce recidivism. https://t.co/yCeeiNR2Kg"
RepBobbyRush,"Today marks #WorldEnvironmentDay, created to raise awareness &amp; rally action for environmental protection. #EnvironmentalJustice &amp; #EnergyJustice should be central goals in the fight against climate change as communities of color are facing disproportionate impacts. https://t.co/x3I8weWA04"
RepBobbyRush,"While other countries have banned assault weapons after a mass shooting, Congress has not renewed the #assaultweaponsban even after these firearms were used in countless shootings, including #SandyHook, #Parkland, &amp; #Uvalde. Our kids deserve better. 

#GunViolenceAwarenessMonth https://t.co/OfP6Gkek08"
RepBobbyRush,"Although @POTUS inherited a struggling economy due to Trump’s pandemic mishandling, Biden has been stabilizing our economy. 390k jobs were created in May, adding to the 8M+ jobs already created on Biden's watch. 

We still have work to do, but we are on the right track."
RepBobbyRush,"Wishing @FLOTUS a very Happy Birthday!

Your kindness &amp; generosity is an inspiration to all Americans. Thank you for the work you do! https://t.co/0pApdohxK6"
RepBobbyRush,"#GunViolence wreaks havoc on America. On Tuesday &amp; Wednesday, 21 people were shot in Chicago, 4 who died. These shootings did not receive national attention, but still underscore the need for Congress to pass comprehensive #GunSafety legislation. https://t.co/f8lXB98lq2"
RepBobbyRush,"It is irresponsible for Washington to stand by &amp; do nothing as America’s children are dying. We need to act NOW &amp; pass commonsense #gunviolenceprevention legislation. 

Let’s get this done, @SenateDems &amp; @SenateGOP!"
RepBobbyRush,"The fight to #StopGunViolence is personal to me — my son was shot and killed 22 years ago.

This #GunViolenceAwarenessMonth, I will be posting the grim facts associated with firearm violence &amp; deaths across the U.S. &amp; Illinois. It can affect anyone. https://t.co/KViRW5aGi2"
