handle,text
RepBowman,"We should be able to act quickly to protect working Americans from price spikes and inflation, like we've done in the past. We can't keep asking people to sacrifice as corporations increase profits and my office is working on a bill to ensure people don't. https://t.co/7jxUxvTGyE"
RepBowman,"We must be there for our kids throughout the current youth mental health crisis. They need love and support.

One way we can help is by providing more therapists in our schools, and my Green New Deal for Public Schools would help do that. Everyone deserves mental health care."
RepBowman,124 unionized Starbucks! @SBWorkersUnited are incredible. Go support your local unionized Starbucks and let’s keep fighting because everyone deserves a union. https://t.co/ucLvCD4HGA
RepBowman,Let’s keep fighting to remove white supremacy from every corner of our country and spread love instead of hate. We’ll be working very hard this week in DC to make this a reality.
RepBowman,"White supremacy conspiracy theories like the replacement myth must be condemned with the backing of the full federal government.

We cannot continue to let such hatred grow in our nation, we need to move forward with love."
RepBowman,Our kids deserve to go to school without armed teachers and bulletproof doors. We need to pass common sense gun control to make this a reality.
RepBowman,"Don’t forget to spend some time taking care of yourself today! Your mental health is extremely important, and it’s ok to prioritize it. 

I’ll be listening to some Wu-Tang Clan to help me take a break."
RepBowman,American is in the midst of a gun violence epidemic. We’re experiencing so many senseless deaths. We need common sense gun control to begin to solve this intense public health crisis.
RepBowman,"Today is the 78th anniversary of D-Day. These veterans are some of the bravest Americans in history, and completed an incredibly dangerous operation that begun the end of the Nazi Regime."
RepBowman,It’s a beautiful Monday! I’m excited to get to work and keep working to make sure @POTUS cancels student debt.
RepBowman,"There’s no room in our nation for white supremacy and conspiracy theories. They’re rooted in hate, racism, islamophobia, antisemitism, and xenophobia. We must condemn these evils."
RepBowman,"Families are still struggling to find baby formula on shelves. We’re the wealthiest country in the world, yet we’re struggling to 
feed our babies.

We need to end the monopoly on baby formula so our families can feed their babies."
RepBowman,"I’m an example of why @POTUS must cancel student debt.

Only 2.1% of all American PhDs are Black, and I’m one of them. I took out thousands in student loans to get here. Every student should have the opportunity to further their education without having crushing debt."
RepBowman,Chag Sameach! I hope everyone the Jewish community here in NY-16 and around the world has a wonderful Shavuot.
RepBowman,"On Friday I visited Andrus @AndrusChildren in Yonkers. They’re really making a difference in students’ lives when it comes to mental health support and educational support.

I’m proud to have them in our NY-16 community! https://t.co/oMZfFSyMB8"
RepBowman,"As an educator, I know how terrifying it is to be a teacher right now. I was always checking to make sure I was in the best place to protect my students.

There’s an easier way though, it’s called common sense gun reform."
RepBowman,"We all need mental health breaks, and one way I like to rest and relax is with a little karaoke! https://t.co/xVDC2030fO"
RepBowman,"Last Friday we had our celebration for the incredible high school artists that submitted work to our Congressional Art Competition. I loved seeing all of their work on display and meeting everyone.

I can’t wait to see more of the amazing artwork next year! https://t.co/qHt2ckGpKv"
RepBowman,"When I was a principal, one of my students had a horrible asthma attack and EMTs didn’t arrive fast enough, which delayed oxygen getting to her brain and impacted her life. 

Yesterday, at the Elizabeth Seton Children’s Center, I got to see Tonyka for the first time in 10 years. https://t.co/nAqESsgOA6"
RepBowman,"I’ve seen so many schools in NY-16 that are able to provide all of their students with therapists, and many that are unable. Every student needs to have access to mental health support.

My Green New Deal for Public Schools would ensure funding more school mental health staff."
RepBowman,"It was truly a blessing to visit Elizabeth Seton Children’s Center yesterday. I have never been so in awe of anyone in my life. These kids and their teachers, doctors, and staff are incredible. 

Instead of neglecting youth like Stephanie and Tonyka, they’re empowered here. https://t.co/V2djIod10f"
RepBowman,"Guns have murdered more kids than police officers. It’s unacceptable and disgusting. We have to do better. 

We have to protect our kids, our schools, our places of worship, and absolutely everyone.

Bulletproof doors in schools aren’t  the answer, common sense gun control is."
RepBowman,Yesterday I visited the @Lionsgate sound stages in Yonkers. Many neighbors in our community work there and they provide internships many Yonkers high school students! https://t.co/p3DzPNhWAX
RepBowman,"Meet our Policy Advisor Ruthy! Ruthy is an incredible force of nature who is always fighting the good fight to ensure all of our neighbors have access to affordable housing.

We’re so lucky to have her! https://t.co/kJ252VAjen"
RepBowman,"It’s National Gun Violence Awareness Day.

Today I’m remembering all of those who have been taken from us by guns. America has a gun problem, and we must take action to truly protect our kids and communities.

#EndGunViolence"
RepBowman,Now more than ever we need to #TellTheTruth about our nation’s history to help root out white supremacy and other conspiracy theories.
RepBowman,Summer’s nearly here which means it’s a great time for @POTUS to cancel student debt!
RepBowman,"Abortion is a personal decision.

It’s basic healthcare and it must be protected."
RepBowman,"Yesterday I visited the Southern Westchester BOCES of NY @SWBOCES and got to take a look at some of the incredible programs they have for their students. 

Check it out! https://t.co/4VL4Su2cLo"
