handle,text
RepBrianMast,"This is absolutely the right decision. We cannot allow the sugared up politicians in Tallahassee to derail Everglades restoration!  This bill would have meant more discharges to the St. Lucie and Caloosahatchee.  Good riddance. 

https://t.co/ltCutt4WEa"
RepBrianMast,"The #ThinBlueLine is getting stretched even thinner with high retirements and skyrocketing crime. Once again, Florida is leading the way and making investments in law enforcement, as opposed to California’s and New York’s dangerous push to #DefundThePolice
https://t.co/Vxy1v96wVj"
RepBrianMast,"Happy National Fishing and Boating Week!

Remember that there’s a major debate that could impact your ability to enjoy time boating! Consider submitting your opinions on the upcoming St. Lucie River railroad bridge decision.
https://t.co/wmsmIlmz5C"
RepBrianMast,"The House is about to vote on the Water Resources Development Act with 7 MAJOR initiatives I wrote that will make a huge difference for Florida’s water quality, including the Northern Estuaries Restoration Plan to permanently end toxic discharges. https://t.co/XRAbmR2pYw"
RepBrianMast,"Congratulations to the newest Eagle Scout, Owen Johnson! The leadership skills you’ve gained through your time scouting will undoubtedly serve you well in the years to come. https://t.co/ribJIgwi2E"
RepBrianMast,"“The price of gasoline is not set by a dial in the Oval Office.” - Transportation Secretary Pete Buttigeg

No, it’s set by an all-out assault on American energy production that begins in the Oval Office. The American people see right through this Administration’s blame game."
RepBrianMast,"Who is in charge of the CDC? Scientists or the teachers unions?
https://t.co/UyDPxDqgZt"
RepBrianMast,"#OnThisDay Allied Forces stormed the beaches of Normandy and began the liberation of Europe from Nazi rule. Almost 8 decades later, that commitment to freedom should still inspire every American. https://t.co/8ldN1SRH0g"
RepBrianMast,Boaters - have you submitted a comment to the Coast Guard about the changes to the St. Lucie River railroad bridge schedule? Boat access could be jeopardized. Click here to learn more: https://t.co/wmsmIlEauc https://t.co/5cWzNZpFrb
RepBrianMast,"The same Taliban that the White House called “businesslike” and “professional” is now giving safe haven to the people responsible for 9/11.
https://t.co/NekNXQhDw2"
RepBrianMast,I appreciated the opportunity to speak with Keiser University's graduates this weekend. Good luck to all of you as you begin an exciting new chapter in your lives! https://t.co/YT7yMg8YHB
RepBrianMast,🚨30 DAYS LEFT to share your opinion with the Coast Guard about a MAJOR change to the St. Lucie River railroad bridge that will impact boaters. Submit a public comment: https://t.co/wmsmIlmz5C https://t.co/WJtzE24lmH
RepBrianMast,"This is why it’s crucial that we break the sugar industry’s iron grip on Lake Okeechobee’s management. The lake needs to be allowed to reach a lower level at the end of dry season so that when wet season rolls around, our communities aren’t dumped on.
https://t.co/mekV5o1sTK"
RepBrianMast,"My message to my brothers and sisters in arms: your mental health is not a battle you have to fight alone. 
https://t.co/42WIZUaBRZ"
RepBrianMast,"ATTENTION BOATERS: The Coast Guard is considering major changes to the St. Lucie River railroad bridge, and we could see major delays. You can share your opinion with the Coast Guard here: https://t.co/wmsmIlEauc https://t.co/iXZDTwSZ2h"
RepBrianMast,"Hurricane season is here. For tips on how to make sure your family is prepared and stays safe, visit https://t.co/5nJugg2uiL.
https://t.co/LgorXvwjED"
RepBrianMast,"⛽️ Average gas price on January 19, 2021: $2.38

In 17 months, Joe Biden has managed to literally double the prices Americans are paying at the pump. #AmericaLast #Bidenflation"
RepBrianMast,"The World Health Organization actively worked with the Chinese Communist Party to cover up COVID-19 origins. Why should the U.S. give this organization one single dollar?
https://t.co/GC2eNLU06T"
RepBrianMast,"Joe Biden is trying to tout this month’s jobs report, but look beyond the headline: small businesses lost nearly 100,000 jobs in May. 

Main Street job creators are the backbone of our economy, and they’re being crushed by every policy put in place by the White House."
RepBrianMast,"The American people deserved action months ago. How are parents supposed to feed their babies for the next FOUR WEEKS before this hits the shelves? Too little, too late. https://t.co/5OUN92wpbP"
RepBrianMast,I fight every day to clean up our water so that we never have to get an advisory like this again. Our community does not deserve to be poisoned!
RepBrianMast,"🚨A water advisory has been issued for Port Mayaca🚨 

Cyanotoxins in algal blooms have been linked to serious illness including liver disease and ALS. Avoid contact! https://t.co/YaUSOzRtuD"
RepBrianMast,🚨 More than 2.6 million illegal immigrants have been encountered at our southern border since Joe Biden took office. This is a huge crisis and the Administration is trying to hide it from the American people.
RepBrianMast,"Understatement of the year.
https://t.co/hTGVh6mjvD"
RepBrianMast,REMINDER: the Coast Guard is accepting public comments about these changes until July 5 https://t.co/wmsmIlEauc
RepBrianMast,We had a very important conversation this morning at the Stuart Chamber of Commerce about how proposed changes to the St. Lucie River railroad bridge will impact boaters. https://t.co/sB1VAZL86M
RepBrianMast,"There needs to be a coordinated effort across all levels of government to #SaveTheManatees, including passing the Manatee Protection Act in Congress to re-list manatees as an endangered species and get more federal resources to protect them.

https://t.co/YFvn3k2bmq"
RepBrianMast,"URGENT: The Coast Guard is asking for our community’s opinion on the St. Lucie River Railroad Bridge and its impacts on boat traffic. This will determine if the operations prioritize Brightline rail traffic or boat traffic. Share your opinion here:
https://t.co/wmsmIlEauc"
RepBrianMast,"Fauci is wasting another $2 million to torture puppies in outdated tests. Congress needs to pass the PAAW Act to defund Fauci's dog abuse once and for all.
https://t.co/i7FZGpQeZ9"
RepBrianMast,"Biden is having a record-breaking presidency, but not in a good way.
https://t.co/CER9puCo0L"
