handle,text
RepCharlieCrist,"57 years ago today, the landmark Griswold v. Connecticut decision protected the right to contraception. Now, reproductive freedoms are again under attack – in the Supreme Court, Tallahassee, &amp; state capitols across the US.
 
Proud to continue the fight to protect women’s health!"
RepCharlieCrist,"78 years ago today, Allied forces landed on the beaches of Normandy. This D-Day, a grateful nation remembers and honors the brave service of the American heroes who sacrificed so much for our freedom and democracy! https://t.co/IT4AOhRF4n"
RepCharlieCrist,"$250,000 awarded to @CGWoodsonMuseum to hire new staff and expand internship programs! All in preparation for a new facility and exhibition space – South St. Pete is preserving Black history for future generations! https://t.co/IED21bWVYD"
RepCharlieCrist,"I support @POTUS decision to prohibit tyrannical Communist and Socialist regimes from the Summit of the Americas. Cubans, Nicaraguans, Venezuelans yearning for freedom deserve a voice, not the dictators who oppress them.
https://t.co/0MyVIuoCOV"
RepCharlieCrist,"Tallahassee is making it harder to vote &amp; intimidating political opponents w/ blatant attacks on seniors, people w/ disabilities, &amp; Floridians of color. Calling on @TheJusticeDept to monitor FL elections &amp; protect the Constitutional rights of Floridians! https://t.co/mvqOptOb4v"
RepCharlieCrist,"Every day in Pinellas and across the #SunshineState we are blessed with beautiful beaches, wildlife, and the Everglades. On #WorldEnvironmentDay let’s #CombatClimateChange by moving towards sustainable policies and energy to conserve our natural beauty for future generations! https://t.co/zu9yp1TWqM"
RepCharlieCrist,"I #WearOrange today in honor of the more than 40,000 Americans killed by guns each year. It’s out of control and we need action - NOW. https://t.co/uCy7nQSjzb"
RepCharlieCrist,"For years, Corinthian Colleges swindled students – including #Everest students across the Sunshine State. Now, these students’ debt is being fully forgiven thanks to @POTUS – granting relief to thousands of Florida borrowers who had their future held hostage by scam schools. Big! https://t.co/Ry2hgsy9or"
RepCharlieCrist,"It’s National Caribbean-American Heritage Month!  I’m proud to celebrate the contributions of Florida’s Caribbean-American community to our history, society, and culture across Pinellas and the #SunshineState! https://t.co/E4dIFEKZDm"
RepCharlieCrist,"America’s grief continues as we mourn the victims killed at St. Francis Hospital in Tulsa. No one should fear being shot while in a hospital bed, visiting a sick relative, or trying to save lives. 

Enough is enough. We need common sense gun reform NOW.  https://t.co/C6Q3Sg2cGg"
RepCharlieCrist,"This June, we celebrate our Pinellas LGBTQ community – including our LGBTQ families, students, and seniors! From the Sunshine City to Gulfport and Clearwater, the sun shines on ALL! #HappyPrideMonth https://t.co/fHjVAGKZOD"
