handle,text
RepCheri,"Congratulations to @RockridgeSftbll on winning their third @IHSA_IL championship on Saturday, and for being the first team in IHSA history to finish back-to-back seasons UNDEFEATED!

Well done ladies — what a fantastic way to end the high school season! https://t.co/NyoDNfwZx5"
RepCheri,"Thank you to @SecArmy for visiting @Arsenal_Island today!

As we provide military support to Ukraine, the Arsenal is playing a key role. It was great to highlight the important work these men and women are doing each day in our community. https://t.co/TO48DGtYlL"
RepCheri,"#OnThisDay in 1944, Allied forces landed on the beaches of Normandy to fight for freedom and democracy. 

Today, we remember and honor the heroes whose bravery, courage and sacrifice paved the way to victory in #WWII. https://t.co/mTRME5jKBQ"
RepCheri,"Today, @RepCindyAxne and I sent a letter urging @CommerceGov to prioritize rural communities when federal funds are available through our bipartisan innovation legislation. 

By investing in rural America, we can boost American competitiveness while creating more jobs at home. https://t.co/GcmYEmPOA2"
RepCheri,Congratulations to @KnoxCollege1837 graduates! May your graduation be the beginning of many more wonderful achievements in your life. https://t.co/jLubj0HnS9
RepCheri,"As a proud member of the Rural Broadband Task Force, I've been working hard to make sure Illinoisans have access to broadband internet — especially in our rural communities.

I'm thrilled that this expansion will create 25,000 NEW jobs in the state &amp; boost current workers' wages! https://t.co/Rtfs27f30i"
RepCheri,It was great to read about Pekin native Scott Altman reflecting on his experience flying stunts for the first “Top Gun” movie -- He can “be my wingman anytime!” https://t.co/bMSfnTunno
RepCheri,Below is my statement on the historic @EPA biofuel announcement ⬇️ https://t.co/j81PgJzq24
RepCheri,"This rhetoric is beyond absurd - it's dangerous. Claiming members of the media are ""terrorists"" for calling out lies is beyond shameful. 

And, as a former journalist, I would suggest they might want to consider grammar lessons, too. https://t.co/6ejwqnGBTx"
RepCheri,"This morning, @SenatorDurbin, @SenDuckworth, and I sent a letter to @TheJusticeDept urging an investigation into reports of violence and abuse at USP Thomson.

These allegations are deeply alarming and need to be addressed immediately. https://t.co/mN9jioWo86"
RepCheri,Pride Month also reminds us of the trailblazers who fought for decades to pave the way for equality. We must honor their work by getting the #EqualityAct to @POTUS's desk to protect the rights of LGBTQ+ Americans under law.
RepCheri,"Today kicks off #PrideMonth - a time to celebrate our LGBTQ+ community and the progress we've made toward equality.

This month, and every month, we must remain committed to standing up against hate and intolerance - to ensure LGBTQ+ Americans can live safely and authentically. https://t.co/JHfm5nGGpB"
RepCheri,"Everyone should have access to high-speed internet. Period.

Thanks to @POTUS's new Affordable Connectivity Program, 1 in 4 American households can receive a discount on their monthly internet bill. To check if you're eligible, visit https://t.co/9YxSNo62rm. https://t.co/yTgTwTnHdb"
