handle,text
RepColinAllred,"Any one of these measures would save lives from the tragedy of senseless gun violence. Inaction is not an option. The House will act today, it's past time the Senate joined us to get something done."
RepColinAllred,☑️Building on the regulatory ban of ghost guns.
RepColinAllred,☑️Codifying into law the bans of bump stocks for civilian use.
RepColinAllred,☑️Requiring dealers to provide a secure gun storage or safety device with the sale of a shotgun or rifle and establishing requirements to regulate the storage of firearms on residential premises.
RepColinAllred,☑️Making gun trafficking and straw purchases a federal crime.
RepColinAllred,☑️Banning large capacity magazines.
RepColinAllred,☑️Raising the age to purchase assault style weapons from 18 to 21.
RepColinAllred,Today the House is poised to take action to pass the Protecting Our Kids Act. It contains common-sense gun safety measures to save lives. Here's what it includes🧵
RepColinAllred,"Two weeks ago today, a community and a nation were shaken by the tragedy in Uvalde. Today the House observed a moment of silence to honor those who were taken from us by senseless gun violence. As we work this week to save lives, the people of Uvalde will be in our hearts. https://t.co/DAH32skZHN"
RepColinAllred,"I got to drive an all-electric @Toyota RAV-4 at their test track last week. Electric vehicles are clearly the future, and it’s why the #BipartisanInfrastructureLaw invested in building a nationwide network of charging stations. https://t.co/kb5ECPqSfM"
RepColinAllred,"Texas Jobs ⬆️⬆️⬆️
Texas Unemployment ⬇️⬇️⬇️

There is more to be done to help Texas families, and I’ll keep working in Congress to lower costs and continue this historic recovery. https://t.co/UsnGlDxEi1"
RepColinAllred,"We have to do whatever we can to save lives. Inaction is not an option.

Watch my interview with @WolfBlitzer on @CNNSitRoom. https://t.co/hQpg8W0LCJ"
RepColinAllred,"An important update from @POTUS’s Operation Fly Formula: another big shipment is on its way, this time to Ft. Worth for distribution across the country. The work continues to help parents get the formula they need to feed their babies.
https://t.co/A2uPFyOLVz"
RepColinAllred,"Anything that will save lives, we have to do. This week, the House will pass common-sense gun safety measures, but we still need 10 Republicans in the Senate to join us.

We must break the ice and get something done to save lives.

Watch my interview with @jdbalart. https://t.co/4FbN0BQ4ZC"
RepColinAllred,Texas is home to some of the brightest research minds and bringing @POTUS's proposed biomedical research program ARPA-H to the Lone Star State would position Texas as a leader in the field. That's why I joined @RepFletcher and my colleagues in calling for ARPA-H to come to Texas. https://t.co/wvRI6f3YuN
RepColinAllred,"#OTD 78 years ago, allied troops stormed the beaches of Normandy for what would become one of the most pivotal days in WWII. Today we honor those brave patriots and recommit to the fight against tyranny everywhere. https://t.co/we8R1IjjFE"
RepColinAllred,"Thanks to the No Surprises Act, more than 12 million potential surprise bills could be avoided this year. There is more work to do, but I’m proud to have helped pass this legislation, and that it is already making a big impact. 
https://t.co/xhcbWznqmN"
RepColinAllred,"I refuse to accept that nothing can be done to solve the crisis of gun violence. Common-sense reforms like red flag laws, universal background checks and raising the age to purchase an assault weapon have bipartisan support and will save lives. https://t.co/afRirdTSmt"
RepColinAllred,"My mother is a breast cancer survivor, so I know the struggles and challenges of families dealing with cancer. I’ll always make it a priority so those who are battling cancer or are in remission can get the care and support they need. #NationalCancerSurvivorsDay"
RepColinAllred,"I know firsthand the challenges and struggles families face when a loved one is diagnosed with Alzheimer’s. As we recognize #AlzheimersAwarenessMonth, I promise to keep fighting for resources to find a cure and support North Texans living with Alzheimer’s and their families. https://t.co/ozZlZD4Aw7"
RepColinAllred,"Uvalde, Buffalo, Tulsa, El Paso, Sutherland Springs, Sandy Hook. 

I #WearOrange today because as we honor the lives of those taken from us by gun violence, I refuse to believe there is nothing we can do to prevent these tragedies.

The time for action is now. #EndGunViolence https://t.co/41NtGwHL6N"
RepColinAllred,"Visited @Toyota’s test track today. And this Texas-made truck is not only a hybrid, it’s a beast. Let’s go! https://t.co/z8Ain0TaxY"
RepColinAllred,Nearly 30% of Dallas County doesn’t have access to reliable internet. I voted for the #BipartisanInfrastructureLaw to fix this and invest in broadband. Thanks to @Infosys &amp; @RichardsonCoC for inviting me to talk about our work to bridge the digital divide. https://t.co/bL9rpJSjDt
RepColinAllred,"There's more work to do to lower costs, but thanks to the American Rescue Plan, we are continuing our historic recovery. https://t.co/BD7RE6wvMc"
RepColinAllred,".@POTUS is right: we have an obligation to help prevent senseless gun violence in our communities. The American people don’t need excuses, they need action to save lives and next week I'll be working with my colleagues to pass common-sense measures to do just that. https://t.co/0TjKog6c7m"
RepColinAllred,"Our airports are economic engines for our region and as travel picks up, it's important they can keep pace.

This expansion is welcome news for @DFWAirport, and I look forward to the Bipartisan Infrastructure Law building on this progress.
https://t.co/ot0Ir38Ycl"
RepColinAllred,"About 1 out of 3 North Texas kids deal with mental health issues, and it's critical we get them the help they need.

I worked to secure federal funds for @Childrens to create a mental health center and I was glad to visit them this week to learn about all their work for our kids. https://t.co/u9EnXsloA7"
RepColinAllred,"Last week I heard from Melody of @NFP_nursefamily who shared the story of a mom desperately searching for formula. As a dad, I know how tough this is. It’s why I supported emergency legislation and support @POTUS's work to speed up production and import formula from abroad. https://t.co/njrzcvBITM"
RepColinAllred,"Having access to reliable high-speed internet is critical. That’s why I supported the Bipartisan Infrastructure Law which provides funding for broadband, and will help take us one step closer to closing the digital divide.
https://t.co/VUsYFMHwBw"
RepColinAllred,".@AirLiquideGroup, whose electronics division is located right in #TX32, makes materials critical to the production of semiconductors. Their local employees will be vital as Congress continues to address the semiconductor shortage and support the growth of electric vehicles. https://t.co/V1HHvuR3bL"
RepColinAllred,"Now more than ever we must stand up for the rights of everyone in our LGBTQ+ community. This #PrideMonth, let's commit to ensuring that everyone, no matter who they love or how they identify, can live free from discrimination and achieve their version of the American dream. https://t.co/hWfAwlyjYF"
