handle,text
RepDebDingell,"#OTD in 1944, the Allied Forces stormed the beaches of Normandy and laid the groundwork for an allied victory in WWII.
 
This day makes me think about John Dingell and all the brave and courageous WWII veterans who fought to keep us free. https://t.co/OO7rwTEcOa"
RepDebDingell,"There is #OnlyOneEarth 🌍 &amp; protecting it is a global challenge &amp; responsibility.

We have the solutions, knowledge, &amp; technology to limit the Climate Crisis &amp; avoid disasters but we need to act together &amp; we need to act NOW.
 
#WorldEnvironmentDay https://t.co/kpDezyMCIe"
RepDebDingell,"This #NationalTrailsDay, get out &amp; enjoy hiking through nature, like here at the Detroit River International Wildlife Refuge. You never know what you may see! https://t.co/hWeYIWsNm5"
RepDebDingell,"Joined students from Shumate Middle today for the release of their Lake Sturgeon “Swim Shady” on the new dock at the JDD Visitors Center.
 
This year, these students have had the unique opportunity to learn firsthand about the natural heritage of SE MI. https://t.co/yGJInXgnl2"
RepDebDingell,"Last night, @POTUS laid out a comprehensive plan to address growing gun violence across the country.

It is now Congress’ time to come together and deliver on real and meaningful reforms for the American people."
RepDebDingell,"Under @POTUS and Congressional Democrats, the US has created over 8 million jobs &amp; slashed unemployment to historic levels.

We'll expand on this strong growth by passing bills to lower costs for Americans, fix our supply chain, &amp; reduce the deficit.

https://t.co/NjIu83qwWT"
RepDebDingell,"Happy birthday, @FLOTUS!

You’re a role model to women everywhere, and I’m proud to call you a dear friend."
RepDebDingell,"People should be able to go to the movies, grocery shopping, &amp; or their place of worship, &amp; kids should be able to go to school without the fear of violence.
 
This #NationalGunViolenceAwarenessMonth, let’s commit to finally passing common-sense reforms that will save lives! https://t.co/TNnUOpAPO5"
RepDebDingell,"As one community laid to rest young children killed in a mass shooting, another was gripped with grief, fear, &amp; devastation. 
 
Gun violence has become all too common in American society. We can’t become immune to the pain of these tragedies. We must act to #EndGunViolence now!"
RepDebDingell,"GOOD NEWS: Ford has announced a $2 billion investment &amp; 3,000+ new manufacturing jobs for hardworking men &amp; women here in MI.

Happy to sit down this morning with @Local4News to discuss this important announcement &amp; the impact it’ll have on the future of MI &amp; the auto industry. https://t.co/ZXqmJAcvnh"
RepDebDingell,Auto plants have halted production lines because of the semiconductor chip shortage. We cannot wait any longer to invest in expanding the manufacturing of semiconductor chips right here in America. We must act now! https://t.co/QIk4D6BbrP
RepDebDingell,"A true honor to be awarded the Joseph M. Magliochetti Industry Champion Award by @MEMADC with @RepHaleyStevens. The auto supply industry plays an important role in our economy, and we will continue to work together to ensure it remains strong and prepared for the future. https://t.co/oeTVTWsE7J"
RepDebDingell,"This #PrideMonth, the Senate MUST join the House in passing the #EqualityAct to finally codify constitutional protections for LGTBQ+ Americans."
RepDebDingell,#PrideMonth is a time to reflect on how far we have come in the fight for LGBTQ+ equality and look to the road ahead as the LGBTQ+ community faces significant threats to their individual freedoms. https://t.co/SL77l1PBBP
RepDebDingell,"Today, I joined my bipartisan colleagues @RepPeterDeFazio, @RepJayapal, @RepNancyMace, &amp; @RepAdamSchiff in introducing legislation to end US military involvement in Saudi Arabia’s war in Yemen.

We must end the violence &amp; work on getting humanitarian assistance to those in need."
RepDebDingell,"Civility is key to progress!

“Bipartisan” and “compromise” aren’t forbidden words. If we are going to deliver real solutions for the American people, we need to come together &amp; listen to all perspectives, no matter how complicated the issue may be. https://t.co/8Co1yEfgke"
RepDebDingell,"Great to join @RepHaleyStevens, @SenGaryPeters, and more at #MPC22! This annual event brings together leaders from all over to tackle issues that matter most to our families, communities, &amp; small businesses in a civil and bipartisan way. https://t.co/EPjXLtSB9S"
