handle,text
RepDelBene,"Honored to be recognized alongside @RepWalorski as @WIIT_DC Outstanding Woman of the Year for my work prioritizing American workers &amp; industries w/ strong, forward-looking trade policies &amp; for being a voice for women in trade.
 
Thank you to @WIIT_DC for this award. https://t.co/7CK3Hz9o3w"
RepDelBene,"As we continue to tackle long-term inflation &amp; lower costs for families, we need to renew monthly #ChildTaxCredit payments &amp; help families make ends meet. https://t.co/Dmy0ncNxcR"
RepDelBene,"No parent should worry about being able to afford enough food for their kids, but rising prices have put an extreme strain on many families."
RepDelBene,"Lowering the cost of prescription drugs will not limit research &amp; development of new treatments, contrary to what drug companies say.  
 
Life-saving medications only work if they are accessible and affordable. We need Rx price reform."
RepDelBene,"Right now, WA blood banks are at critically low supply. If you’re able to give blood, appointments are available online at @BloodworksNW. 
https://t.co/2PP2K2H3Hm"
RepDelBene,"This #WorldEnvironmentDay, we must act with urgency &amp; remain committed to legislation that will help us reduce carbon emissions &amp; build climate resiliency."
RepDelBene,"We #OnlyHaveOneEarth &amp; we must work together to protect global biodiversity, tackle our climate crisis, &amp; ensure our beautiful lands are here for generations to come."
RepDelBene,"With summer around the corner, parents can still get nutritious food for their kids when school is out of session!

The Summer Food Service Program helps lower-income families access healthy meals. Call 866-348-6479 or visit below to find a site near you: https://t.co/r2ndnxJLZM"
RepDelBene,"The numbers are clear: Americans support background checks on gun sales. 
 
The Senate must pass the Bipartisan Background Checks Act &amp; Enhanced Background Checks Act &amp; we must do more to #EndGunViolence. https://t.co/3yXK3T2cKi"
RepDelBene,I am incredibly grateful for the work this organization &amp; others are doing to help immigrants &amp; refugees adjust to life in WA. https://t.co/73u7PCZ169
RepDelBene,Great to visit with Refugee &amp; Immigration Services NW today at Everett Community College to welcome new Ukrainian refugees to Snohomish County &amp; discuss what the U.S. is doing to #StandWithUkraine. https://t.co/h6phbI3Jts
RepDelBene,"Kids shouldn’t be scared to go to school. Americans shouldn’t be afraid to go to the grocery store or movie theater.  
 
Senate Republicans must act with us. #GunViolenceAwarenessDay"
RepDelBene,"I hosted a roundtable w/ teachers, parents, &amp; community members from WA-01 today, who believe, like me, that we need immediate action to end this horrific cycle of gun violence. https://t.co/bDEbTAWqR7"
RepDelBene,"When the House returns to session, we must be ready to pass additional legislation that will help end this tragic &amp; preventable cycle of gun violence &amp; mass shootings."
RepDelBene,"The House has passed commonsense bills to establish universal background checks, close gaping purchasing loopholes, &amp; invest in gun violence prevention. 
 
The Senate must act on the Bipartisan Background Checks Act &amp; Enhanced Background Checks Act, but we need to do more."
RepDelBene,"You can’t convince me that there is a better place to celebrate National #GreatOutdoorsMonth than in WA state.  
 
We’ve got unparalleled climbs, hikes, fishing, camping, &amp; other recreational opportunities. Tell me in the comments what WA adventures you’re planning this month 📍"
RepDelBene,"Investments in our children &amp; their well-being are investments in our future, which is why I won’t stop fighting to put our kids first &amp; make this benefit permanent."
RepDelBene,"I am incredibly honored to be named a #Defender4Children for my work championing the expanded #ChildTaxCredit, which helped lift 3.7M kids out of poverty in just 6 months. 
https://t.co/R9tNRUFXsC"
RepDelBene,"2 more baby formula missions are already in motion &amp; will deliver approximately 8.3M bottles of formula to our shelves—on top of the 1.5M bottles already transported!

President Biden is alleviating this strain on families to ensure that our children get the nutrition they need. https://t.co/TiNQW7yj2g"
RepDelBene,Republicans need to stand up for our communities &amp; join us in passing stronger gun reform legislation.
RepDelBene,"We cannot look away or get numb to the increasing frequency of these senseless tragedies. This time at a health care facility in Tulsa, which marks at least the 20th mass shooting since Uvalde. 
https://t.co/x0nI34Wb6z"
RepDelBene,"Health care subsidies have helped millions of Americans stay connected or get coverage during this dual public health &amp; economic crisis. 
 
We need to provide certainty to people beyond the pandemic &amp; make sure all have access to affordable care. 
https://t.co/03WedoV6ky"
RepDelBene,"Thanks to Biden’s bipartisan infrastructure law, Bellingham International Airport is receiving $2.9M to update &amp; improve its runway.  

This is a crucial investment &amp; the bipartisan infrastructure law will continue to help modernize our regional airport infrastructure. https://t.co/Y0cJyNzuCS"
RepDelBene,"Everyone deserves to live their lives openly as their true selves. 
 
This #Pride, we celebrate the LGBTQ+ community, the progress we’ve made towards LGBTQ+ equality, &amp; all those who have led the way.  
 
We can’t stop fighting until we achieve equality for all. https://t.co/MkxxGkgKNi"
