handle,text
RepDwightEvans,The cost of gun violence: How are small businesses owners mentally and financially hurt by shootings? https://t.co/qevEBMYysl via @TechnicallyPHL
RepDwightEvans,👇🏿 https://t.co/fD8J3S3apP
RepDwightEvans,"Rest in Power, Trudy Haynes – a true pioneer. I entered a tribute to her into the Congressional Record in 2017:
https://t.co/9UrOXHwbNB https://t.co/pNnv2gUj1s"
RepDwightEvans,"Congratulations to @ArtistYear, @CityYear, @NatHealthCorps, @Joyful_Readers, @PowerCorpsPHL, @Up2UsSports &amp; other #Philly organizations for receiving $14,365,298 in total funding from @AmeriCorps for their continued work in service &amp; volunteering."
RepDwightEvans,"I’m continuing to push for #AffordableHousing &amp; support @FSCDems’ Housing Title of the #BuildBackBetter Act that would provide resources for #PA, such as:
✅ Rental Assistance to 11,800 households
✅ Service to 55,200 public households
✅$548.9 MILLION to build affordable homes https://t.co/fkmtbl9BHn"
RepDwightEvans,The House is taking action again this week on life-saving gun safety legislation. The Senate can – and should – do the same! https://t.co/tGswHCtwST https://t.co/nW1vH7D7W8
RepDwightEvans,"Yesterday I talked with @AMGreenCBS of @CBSMornings about how the House is taking action this week on more life-saving gun safety legislation:
https://t.co/ZUhydh0whe https://t.co/COnVPBdwOB"
RepDwightEvans,"My new Mobile Office Hours &amp; locations start this week and run through October.

Check the list below to see which location is closest to you: https://t.co/0dMFQ6I5uj"
RepDwightEvans,"Get well soon, Governor! https://t.co/pbWlZpr9Xo"
RepDwightEvans,@gabegutierrez https://t.co/jsHMNUxffZ
RepDwightEvans,@TomNamako @dennisjromero https://t.co/jsHMNUxffZ
RepDwightEvans,@Jerickaduncan https://t.co/jsHMNUxffZ
RepDwightEvans,"I want to thank @PPDCommish @PhillyPolice &amp; everyone involved with the investigation for the progress made in the South Street shooting cases.
Reminder: if you have information about this or other #Philly crimes, you can call 215-686-TIPS.
Tips can be submitted anonymously."
RepDwightEvans,".@IRSnews Free File is available until Oct. 17 for taxpayers to get their full #ChildTaxCredit or claim a missing #EconomicImpactPayment (sometimes called a “stimulus check”).
 
You can file electronically here: https://t.co/4YPWzmLozM"
RepDwightEvans,"On this D-Day anniversary, a remembrance of the courage and heroism of an African American soldier from #Philadelphia – I support the effort to secure a long-overdue medal for him:
https://t.co/eXcDs2Khyv"
RepDwightEvans,"More victims should be able to hold gun-making companies accountable!
@RepAdamSchiff @SenBlumenthal @ChrisMurphyCT and I have introduced legislation to restore that power of accountability:
https://t.co/UUeaDj5DcP
Important story by @thattracysmith! https://t.co/MhhiYCu30u"
RepDwightEvans,"I strongly support &amp; will co-sponsor this creative bill to use the tax code to help fight with gun violence, from my @WaysMeansCmte colleague @RepDonBeyer! https://t.co/LwOYmv7tzh"
