handle,text
RepEdCase,"Lots of critical issues on Capitol Hill. I’m hosting another Live Tele-Talk Story next Monday, June 13th, 6:30PM Hawai’i time to update you on Congress’ and my actions, listen to your concerns and answer your questions. Please join. Details in my graphics https://t.co/qU8iuObGe8"
RepEdCase,"…great but often unknown and under-appreciated contributions to securing our borders, running our customs and keeping us safe. (2/2) https://t.co/CnVHcLH5ef"
RepEdCase,Big mahalo to the 400 agents/specialists of our U.S. Customs &amp; Border Patrol area Port of Honolulu covering HI/Pacific; they gave me a full brief on their many activities like inspecting incoming containers/packages and streamlining international arrivals;… (1/2) https://t.co/rJJrgWBAmU
RepEdCase,"Great news that the Secretary of the Navy has agreed to my and my colleagues’ request to name a new Navy surface combat ship after Telesforo Trinidad, a Filipino American who was awarded the Congressional Medal of Honolulu for saving his shipmates in 1915. https://t.co/0hl6fJLuZk"
RepEdCase,…to countries on the frontlines of the Ukraine war incl visiting our Hawai’i troops and war dead. (2/2) https://t.co/KnYqjhzGTI
RepEdCase,"Here’s my interview on Hawai’i News Now Sunrise yesterday discussing status of federal funding of Red Hill remediation and closure, women’s right of choice, gun violence, and my congressional delegation last week… (1/2) https://t.co/KnYqjhzGTI"
RepEdCase,…in a few months of the first Korean immigrants to Hawai’i (and our country). (2/2) https://t.co/r9uDPSBY1o
RepEdCase,"Kamsahamnida! Mahalo to leaders of the United Korean Association of Hawai’i, representing some 50,000 proud Korean Americans throughout Hawai’i, for talking story on current issues for the community and how we can best help, especially as we look to the 120th anniversary… (1/2) https://t.co/lGlwZf8Sdl"
RepEdCase,Tune in live now @ https://t.co/Xtr3KPt9g3 https://t.co/iNxGiVgl10
RepEdCase,... on Cybersecurity tonite at 6:30 pm on FB Live. (2/2) https://t.co/c5fuWpB0jq
RepEdCase,"Here’s my live interview this am on KHON2/Wake Up 2day covering my recent Congressional delegation to the countries on the frontlines of the Ukrainian conflict, our humanitarian efforts, visiting our troops, inflation, and my Talk Story... (1/2) https://t.co/c5fuWpB0jq"
RepEdCase,"Here’s my next Congressional e-newsletter highlighting current issues in Congress, inviting you to my upcoming talk stories including Focus: Cybersecurity on June 2nd, and asking you to take my June 2022 (anonymous online) Congressional Survey https://t.co/8xuWxLNI3z"
RepEdCase,… Gratified that this week the Secretary announced the Navy will do so. https://t.co/G0puq1XjM0 (2/2)
RepEdCase,"Last September I joined colleagues in urging the Secretary of the Navy to name a ship after Fireman Second Class Telesforo Trinidad, a Filipino American sailor who received the Congressional Medal of Honor in 1915 for heroism aboard the USS San Diego... (1/2) https://t.co/vcHzYL0Fg3"
