handle,text
RepGregStanton,"Great to be in Mesa this weekend meeting with small business owners at Mekong Plaza!

My team and I are here to help connect small business owners with federal assistance and cut through red tape. Have a question? Reach out anytime at https://t.co/QzlmW9i800. https://t.co/9LZnbFtJM7"
RepGregStanton,"Arizona is leading the way in semiconductor manufacturing—attracting big investments from companies like TSMC and supporting thousands of high-paying jobs.

We're keeping the momentum going with our bipartisan #CHIPSAct to boost domestic production.
https://t.co/SXFZZSqhyT"
RepGregStanton,"The Bipartisan Infrastructure Law is powering a new plan to build electric vehicle charging stations across Arizona.

@ArizonaDOT will receive $76 million in federal funding over 5 years to expand this network, supporting EV jobs and infrastructure in AZ. https://t.co/AI7m4C6FY1"
RepGregStanton,"Honored to join Pastor Mackey and the @PRBCphx congregation this morning to celebrate their 100th anniversary—a century of compassionate leadership, selfless service and an unwavering commitment to our community. https://t.co/Yjac8S0UEK"
RepGregStanton,"Are you having trouble with a federal agency? My team and I are here to help. 

We spent the morning meeting with constituents at Mekong Plaza and the @DowntownMesa Farmer's Market. If you see us out, stop by and learn more or reach out online at https://t.co/QzlmW9zIRy. https://t.co/mEf7psS17p"
RepGregStanton,"The COVID relief we delivered helped local businesses keep their doors open and their workers on payroll.

I'm proud that my office helped small businesses in our district receive more than $9 million in federal help. https://t.co/OIeR2uEugi"
RepGregStanton,"Inspiring to see @PhoenixPolice Officer Tyler Moldovan make tremendous strides in his recovery and return home. Thank you for your bravery and service to our community, we all wish you well in your continued recovery.
https://t.co/wpuZixIdTj"
RepGregStanton,"Small businesses like the @niletheater are the heart and soul of our community.

Thanks in part to federal funding I secured, the @CITYOFMESA is helping small businesses on Main Street improve their storefronts—attracting new customers and boosting sales. https://t.co/qZJHNzIFWu"
RepGregStanton,"Today on National Gun Violence Awareness Day, we #WearOrange to remember the victims of gun violence.

Next week, we will honor them with action and pass common-sense legislation to help end the epidemic of gun violence in America. https://t.co/kCEBYXNyrq"
RepGregStanton,"This pandemic has caused the number of Arizonans experiencing homelessness or facing housing insecurity to spike.

Glad to see @maricopacounty and @hominc using federal COVID-19 relief funds to help individuals and families transition to permanent housing. https://t.co/wGQf1BNvtI"
RepGregStanton,"We're living through the worst drought in 1,200 years.

As Arizona faces a new reality, we have to be more proactive in managing our water and investing in water infrastructure––our economy and livelihoods depend on it. Are you with me?

Take my poll ⬇️ https://t.co/rM9zrVa1ya"
RepGregStanton,"Summer is just around the corner, but the heat is already here––and we know how dangerous it can be.

Heat illnesses can affect anyone, regardless of age or health status.

Learn to recognize the warning signs⬇️
https://t.co/SozWNYPzXc"
RepGregStanton,"Using drones to inspect critical infrastructure improves public safety, reduces CO2 emissions and cuts costs. 

My bipartisan bill would help state, local and Tribal governments invest in this cutting-edge technology. https://t.co/YtDUGa9rwE"
RepGregStanton,"June is #GunViolenceAwarenessMonth. In just the first half of 2022, there have already been over 200 mass shootings in the United States.

I'm working in Congress to advance commonsense solutions to #EndGunViolence and keep our communities safe."
RepGregStanton,"Our state’s economic future depends on how well we manage our water.

That's why in my first term, I created a $150 million fund for water infrastructure projects in Arizona—and so far it's supported more than a dozen projects across the state. https://t.co/FQNHnLtJM2"
RepGregStanton,"During #PrideMonth, we celebrate our LGBTQ+ community—their strength, resiliency and authenticity make Arizona such a wonderful place to live.

This month is a celebration of how far we've come, but also a reminder of the work ahead. I'll continue to push for full equality. 🏳️‍🌈 https://t.co/IT8QVysx2M"
