handle,text
RepGregSteube,"My office is working with federal and local law enforcement on the numerous threats I’ve received for defending the 2nd Amendment in Congress.
It’s egregious that even my hometown paper, the @HeraldTribune &amp; @flainns would publish a letter that discusses the mutilation of my son. https://t.co/GQBdV0a0Du"
RepGregSteube,On this 78th anniversary of #DDay we remember and honor the brave heroes who stormed the beaches of Normandy and changed the course of history. https://t.co/Cf4Dfb2n4W
RepGregSteube,"“A father who doesn’t value his child’s life is teaching his child a person’s life isn’t valuable.”

I encourage everyone to read this piece in @ChristianPost. The numbers are astonishing. Big government gun control won’t fix problems in our homes.
https://t.co/ge0kz4ldxH"
RepGregSteube,"We know for a fact that the Clinton campaign purchased a dossier and fed it to the FBI. The FBI then used it to spy on Trump’s campaign. It’s completely illegal.

I joined @DagenMcdowell on @MorningsMaria to discuss. https://t.co/1E14AszcVi"
RepGregSteube,"Mr. James Sciple from North Fort Myers, Florida, is one of 10 veterans of the U.S. Merchant Marine awarded the Congressional Gold Medal last week for service during World War II.
 
Please join me in congratulating Mr. Sciple and all the U.S. Merchant Mariners of WWII. https://t.co/HpXpjsEsmF"
RepGregSteube,"The Democrats’ latest gun package will do nothing but restrict law-abiding citizens’ abilities to defend themselves. 
 
I joined @eveningedit to discuss. https://t.co/vuWIYCjDvE"
RepGregSteube,"Liberal states and cities with a 10 round magazine ban have 3x, 4x, 5x, 10x the crime rates of states like Florida who don’t have the magazine bans. 

It doesn’t save lives. It doesn’t prevent crime. Thanks to @DanNewsManBall for having me on. https://t.co/xwsCzm363Q"
RepGregSteube,"Joe Biden, 1985: “I have never believed that additional gun control or federal registration of guns would reduce crime. I am convinced that a criminal who wants a firearm can get one…with or without gun control.”
 
What changed? 
https://t.co/226oJ9BnUf"
RepGregSteube,"By banning certain magazines, you are effectively banning handguns that millions of Americans use every day to defend themselves and protect their families. And the Democrats know it. 

Thanks @tuckercarlson for having me on tonight. https://t.co/nig0ZEu7a9"
RepGregSteube,Coming up on @TuckerCarlson at 8pm EST. Be sure to tune in!
RepGregSteube,"If you hate the 2nd Amendment, move to China. I hear you know some people there… https://t.co/xzRIZE3S44"
RepGregSteube,"Everything you need to know about this gun control package: Democrats don’t even want to let me show what they’re trying to ban. 
 
I’m an American in my own home, and I’ll do whatever I want with my guns, Mr. Chairman. https://t.co/pH2OIsnlVp"
RepGregSteube,Read more about this year’s U.S. Service Academy appointees from FL-17: https://t.co/qZQ2YtswDg
RepGregSteube,One of my greatest honors as a U.S. Representative is to nominate outstanding students from our district to attend the U.S. Service Academies. I recently hosted a congratulatory lunch for these impressive students. Wishing them the best as they go on to serve our country! https://t.co/IBWRiX13Gy
RepGregSteube,"Today officially starts Hurricane Season 2022. Already, there are two storms with potential to have a big impact on the Suncoast. Please stay tuned to local news over the next few days and ensure your family is fully prepared.
https://t.co/rZK8SDsaTP"
RepGregSteube,"Democrats used every tool in the box to try to stop Donald Trump from becoming President in 2016. 

U.S. surveillance and intelligence should never be weaponized for political gain. https://t.co/0Ez2kY6vzM"
