handle,text
RepJerryNadler,"As part of our discussion we covered my bill, the “Protecting Our Kids Act,” which will be voted on today by the House. 

This life-saving bill is long-overdue and I look forward to getting it passed.

https://t.co/Hvu7gdmvC7"
RepJerryNadler,I was happy to invite @NYCMayor down to DC for our first in-person delegation meeting to discuss gun violence and how the delegation can work in tandem with the Mayor’s Office to keep New Yorkers safe. https://t.co/dSaEFmVDdd
RepJerryNadler,"Fact: guns are now the number one killer of children in America. 
 
This is unacceptable, and our children deserve better.
 
Today, the House will pass commonsense gun safety legislation that will save lives, keep our communities safe and help to #EndGunViolence. https://t.co/eVcWk9CgDW"
RepJerryNadler,Read the letter here: https://t.co/HVZRSsZyjA
RepJerryNadler,"After leading a letter with @RepAOC to the NY State Legislature in support of 'good cause' eviction protections, I am deeply disappointed that the Legislature failed to take meaningful action

'Good cause' eviction protections are needed now more than ever. https://t.co/HvEaYxiR8v"
RepJerryNadler,"It is disgraceful that Ron Desantis, a vocal opponent of LGBTQ+ rights and equality, will be speaking at Chelsea Piers during the month in which we celebrate the diversity and resilience of the LGBTQ+ community."
RepJerryNadler,"Yesterday, I went on CNN to discuss my bill, the ""Protecting Our Kids Act"", which the House will vote on on Wednesday.

This gun reform package will keep our communities &amp; schools safer by addressing many of the loopholes that allow guns to fall into the wrong hands. https://t.co/evYDuNkMTU"
RepJerryNadler,"Today on Gun Violence Awareness Day, we commemorate the lives lost to gun violence by wearing orange. 

Congress must take action to #EndGunViolence. The Protecting Our Kids Act that was just passed by @HouseJudiciary is a critical first step, but we still have a long road ahead. https://t.co/ha06b2lB2C"
RepJerryNadler,"The time for stalling, obstruction and obfuscation in the face of senseless killing is over. 

The bold package we passed today will keep our communities &amp; schools safer by addressing many of the loopholes that allow guns to fall into the wrong hands. 
https://t.co/TNzdvP4Wcb"
RepJerryNadler,"Today, @HouseJudiciary took the first, but hopefully not the last, step towards enacting commonsense gun violence prevention legislation.

The American people are hungry for real solutions to the unconscionable wave of gun violence that is sweeping our country. https://t.co/5a062czWMa"
RepJerryNadler,"Today at 10AM ET, @HouseJudiciary will be holding a mark up of the “Protecting Our Kids Act,” a common sense gun bill that links together overwhelmingly popular proposals that will help us to scale back the scope of gun violence in the US.

Follow along:
https://t.co/CqwfKaIedL"
RepJerryNadler,"This Pride Month, I’m proud to announce that the @LGBTQ_Museum will receive a $75K grant from @NEHgov. When completed, the museum will illuminate the diverse history of the #LGBTQ+ rights movement through its intersectional, engaging programming here on the UWS."
RepJerryNadler,"As I wrote to @columbia students in 2016, ""The global BDS movement, despite its well-crafted illusion as a progressive or pro-peace movement, is actually quite the opposite."" Read my full letter to Columbia students below: https://t.co/0p5pRT4ddn"
RepJerryNadler,“BDS movement is wrongheaded and undermines a lasting two-state solution. I strongly opposed the BDS resolutions at @Columbia and @nyuniversity and I oppose the recent endorsement of BDS by the @CUNYlaw faculty.
