handle,text
RepJimCosta,"🚨1 HOUR LEFT🚨 until polling places close. You still have time left to cast your ballot. Don’t forget to make your voice heard! 

Find a polling location near you: https://t.co/swT6EcpNkE"
RepJimCosta,🚨2 HOURS LEFT until polling places close. Don’t forget to make your voice heard! Find a polling location near you: https://t.co/swT6Ec8ct6
RepJimCosta,"We are a nation of immigrants past and present. This month we celebrate #ImmigrantHeritageMonth by honoring the traditions, cultures, and values that stitch together the fabric of our nation. Today, and every day, we #CelebrateImmigrants. https://t.co/3usAvOhUHn"
RepJimCosta,"It was a pleasure to meet with the California Women of Agriculture to discuss trade, water, and supply chain issues affecting California and our Valley. 

To eliminate supply chain disruptions I am pushing to get the Ocean Shipping Reform Act to the President’s desk! https://t.co/JCTXiY1zOn"
RepJimCosta,"Have you voted yet? If not, there’s still time to cast your ballot. All voters should’ve received a vote-by-mail ballot. Visit a secure drop box near you to drop off your ballot.

For more information: https://t.co/x8neKxztYZ"
RepJimCosta,"This week, the House will vote on two life-saving pieces of gun violence prevention legislation. In the coming days, we will pass the Protecting Our Children Act and the Federal Extreme Risk Protection Order Act. It's time to #EndGunViolence."
RepJimCosta,"Today is California’s primary election! Don’t forget to vote🇺🇸
Find a polling location near you: https://t.co/xYqHJQElbG"
RepJimCosta,"We #WearOrange to honor the victims and survivors of gun violence. Today on Gun Violence Awareness Day, I am taking a moment to remember those we have lost to the epidemic of gun violence.

 It’s time to take action and work to #EndGunViolence. https://t.co/j2s5rz2XbK"
RepJimCosta,"Gun violence is plaguing our schools, grocery stores, and now our hospitals. Enough is enough! 

I’m proud to co-sponsor the Protect our Kids Act to enact common-sense gun safety reforms that will help save lives and prevent brutal mass shootings from happening again."
RepJimCosta,"The Bipartisan Infrastructure Law is making historic water investments for the next generation by reauthorizing several drinking water programs to ensure safe, clean drinking water is a right in all communities.

Learn more about funding opportunities⬇️
https://t.co/qcFxesu1S1"
RepJimCosta,"In 2022, there have already been over 200 mass shootings in the United States.

During #GunViolenceAwarenessMonth, we recognize the heartbreaking toll that gun violence takes on our communities and recommit to #EndGunViolence."
RepJimCosta,"Growing up on a dairy farm in Fresno, I know how hard our dairy producers work every day and how important they are to our communities. 

On this #WorldMilkDay, we raise a glass and thank dairy farmers for their essential work. Thank you for all that you do!"
RepJimCosta,Happy Pride Month! This month we celebrate the achievements and contributions of the LGBTQ+ community. I’m proud to be an ally in the fight for equality for all. No American deserves to be treated as less than equal in the eyes of the law. https://t.co/LdelmK8GPa
RepJimCosta,"ICYMI: The Bipartisan Infrastructure Law is tackling the drought in the West by:
🚰Repairing aging water infrastructure
💧Improving drought resiliency 
🗒Developing drought contingency plans"
