handle,text
RepJoeNeguse,".@RepBenCline and I introduced the Threshold Adjustment and Technical Corrections Act to allow small businesses across the country the time to restructure debts after the pandemic. 

Yesterday it passed the House! https://t.co/ib07ykKvPM"
RepJoeNeguse,"We can't let the cost of textbooks stop students from furthering their education. Colleges and Universities can apply for the Open Textbooks Pilot program below! 

Applications close July 25th. 

https://t.co/hPtWe2pK79"
RepJoeNeguse,"Happy #PrideMonth! Proud to be an ally in the work to secure equality, and to celebrate and uplift members of the LGBTQ community in our district and across the country. https://t.co/In4HGn8rs5"
RepJoeNeguse,"The gun violence crisis in our country demands a response by Congress. 

Inaction simply isn’t an option. 

I joined @jaketapper on @TheLeadCNN to discuss common-sense reforms that will save lives. https://t.co/ViGTCHSmVk"
RepJoeNeguse,"Proud to lead a resolution in Congress calling on @POTUS to create a National Biodiversity Strategy, and grateful to the many state legislators also championing this issue!
 
A threat to biodiversity is a threat to our country. 

https://t.co/ez3pZsdFPU"
RepJoeNeguse,"June is Alzheimer’s &amp; Brain Awareness Month 🧠 Did you know that more than 5.8 million Americans are currently living with Alzheimer’s Disease, including over 76,000 people in Colorado? 
 
We must continue to prioritize and advocate for increased funding of Alzheimer’s research."
RepJoeNeguse,"Great news, @POTUS &amp; @EPA announced $500 million in available funds for school districts to replace buses with new clean, American-made, zero-emission buses! Applications are open now until August 19, 2022. 🚌 
 
Learn more at https://t.co/RmBhFlAxNL."
RepJoeNeguse,"Communities impacted by wildfires deserve an all-hands-on-deck approach by the Federal government, including resources to both fight the flames and recover from these historic wildfires.
 
Great to speak with @DenverChannel about how our bill, the Wildfire Recovery Act, can help! https://t.co/HO5xpjsy27"
RepJoeNeguse,"Today is #GunViolencePreventionAwarenessDay, and legislators nationwide are joining together in a day of action.

Today — and every day — we recommit ourselves to putting an end to gun violence in our country."
RepJoeNeguse,"As a Vice-Chair of @HouseGVP, I’m committed to enacting common sense prevention measures that protect our communities from gun violence – from expanding background checks, supporting state’s red flag laws and more. https://t.co/IMG5WMLgUS"
RepJoeNeguse,"Today, my thoughts are with Tim Hart’s family and loved ones. In the year since his passing, his courageous wife and his community have inspired many with their efforts to ensure our federal firefighters have the resources they need to do the lifesaving work they do every day."
RepJoeNeguse,https://t.co/NwrteMamHy
RepJoeNeguse,"The vast majority of Americans agree that we should pass common sense gun-violence prevention measures. 
 
Today @housejudiciary will do exactly that. https://t.co/uDuE70rIQa"
RepJoeNeguse,Stopped by the @DenverChannel to discuss recent actions we’ve taken to keep U.S. Space Command HQ in CO! https://t.co/gtPe3BC21a
RepJoeNeguse,Congratulations to this year’s Air Force Academy graduates. My team was thrilled to attend last week’s commencement and to hear from the inspirational graduates on their motivations for serving our nation. @AF_Academy #USAFA2022 🎉 https://t.co/rCy6SmuGFn
