handle,text
RepJoshHarder,"Have you voted yet? 🗳️

There’s still time to make your voice heard today – polls close at 8!

Here’s how to look up your polling location: 
https://t.co/FEtJnmbAnp https://t.co/rwdwfAu6pX"
RepJoshHarder,"Good news for families like mine that are on baby formula waitlists – now let’s get this formula on shelves! 

https://t.co/YLXiIxtq2g"
RepJoshHarder,I’m proud to announce we’re bringing home $17 million to make sure all our Valley kids succeed. https://t.co/INKs1TGYmK
RepJoshHarder,"Childcare workers in the Valley give our families a lifeline they wouldn’t otherwise have.

Thank you Nancy, for sharing why we need more support for childcare in our community.

https://t.co/ob4tcl2YR3"
RepJoshHarder,"The window is closing to send ballots back in the mail. ⏰
 
Fill them out and mail them back ASAP.
 
Or find your closest polling location to vote in-person for Tuesday’s election.
 
https://t.co/FEtJnmb2xR"
RepJoshHarder,"Giving our students a meaningful career path and expanding railway access across the Valley is a win-win!
 
So glad to see this launch.
 
https://t.co/UsSPrfN90d"
RepJoshHarder,The Valley is so beautiful. https://t.co/OVOs5tOhMY
RepJoshHarder,I hate porch pirates. I’m backing a bill so our packages stop getting stolen!
RepJoshHarder,"The San Joaquin County Fair is back, Oreo funnel cakes and all! https://t.co/EH3G3oc81b"
RepJoshHarder,80% of people in our community can’t afford to buy a home here. The housing market is completely broken. We have to get costs down!
RepJoshHarder,"Another day, another $6.19 gallon of gas in the Valley. This is out of control. https://t.co/2EUtA0hlWo"
RepJoshHarder,"There really is so much incredible young talent in the Valley. 
 
Congratulations to our Congressional Art Competition winners. I can’t wait to see your work hung in our offices and the US Capitol! https://t.co/yw7PvLtnNE"
