handle,text
RepJuanVargas,"This is an important first step, but we need to work on bringing our deported vets back home &amp; create a pathway to citizenship for those who bravely served our nation.
 
People who served our country deserve to stay in our country. https://t.co/GC0iT0m2Lj"
RepJuanVargas,"Raising the gun purchase age to 21,  banning assault rifles, and strengthening storage requirements are common sense gun control policies that will help America #EndGunViolence. https://t.co/Q1oufXcufa"
RepJuanVargas,"Good news: @POTUS is invoking the Defense Production Act to increase our domestic production of renewable energy – one of @USProgressives executive action asks☑️

This will increase our access to #cleanenergy &amp; create good-paying union jobs for many Americans. https://t.co/S7nlPHuuPW"
RepJuanVargas,"Operation Fly Formula flights have quickly delivered safe &amp; healthy baby formula to families across the nation.

We’re working hard to ensure every family has access to the nutritional foods &amp; formulas their children need. https://t.co/6sbutKwGQM"
RepJuanVargas,"There were 10 mass shootings this weekend alone.

Our communities deserve better. We MUST pass gun control legislation NOW. #EndGunViolence

https://t.co/K3ZGnYq7Ag"
RepJuanVargas,"Today marks National Gun Violence Awareness Day, where we #WearOrange to honor both the victims &amp; survivors of gun violence.
 
I’m proud to stand with gun violence survivors &amp; keep all those we lost close to my heart. We can &amp; must #EndGunViolence. https://t.co/TLd8sInTRJ"
RepJuanVargas,"Democrats’ economic agenda is working. 

With another month of steady job growth, we’re #BuildingABetterAmerica &amp; getting Americans back to work.

https://t.co/TraNxyY3s0"
RepJuanVargas,"There have been nearly 20 mass shootings since #Uvalde, including yesterday’s deadly shooting in Tulsa, Oklahoma.

We can prevent these senseless tragedies. We need common sense gun laws. #EndGunViolenceNOW"
RepJuanVargas,"Proud to join my colleagues &amp; ask ICE to publicly release immigration enforcement data.

We must implement more humane &amp; just immigration policies. https://t.co/nS3GME1Lar"
RepJuanVargas,"Earlier this week, #TeamVargas joined in to celebrate the recent naming of the USS Telesforo Trinidad. 

Petty Officer Trinidad is the Navy’s only Filipino Medal of Honor recipient, and I’m proud to have supported efforts to name a guided-missile destroyer in his honor. https://t.co/OD29ogrpOl"
RepJuanVargas,This month marks #GunViolenceAwarenessMonth. We can’t continue to offer thoughts &amp; prayers. We need action &amp; legislation. #EndGunViolence.
RepJuanVargas,"Happy #PrideMonth! This month, we’re coming together to celebrate the beauty of the LGBTQIA+ community.
 
As a member of the @LGBTEqCaucus, I’m proud to support the LGBTQIA+ community as we continue to preserve equal rights for everyone. https://t.co/JjSZTF8lZR"
RepJuanVargas,"Our nation has an incredible need to enact long overdue immigration reform.
 
For the farm workers feeding our nation, the construction workers building our cities, &amp; the care takers looking after our loved ones. The time is now. #ImmigrantHeritageMonth

https://t.co/zNR7JR37Rw"
