handle,text
RepKenBuck,Democrats’ gun-control legislation isn’t about public safety. It's about disarming the American people.
RepKenBuck,"They dropped $22 million in ads in ONE WEEK against our bill.  #BigTech knows passage of the American Innovation and Choice Online Act is going to stop their worst abuses.  

https://t.co/9drtThBmN5"
RepKenBuck,You read that right. Pro-abortion extremists are full of peace and love. https://t.co/wrhRSH10wl
RepKenBuck,"This week, Democrats are planning an assault on the Second Amendment. 

I will not allow our #2A rights to be taken away."
RepKenBuck,"Turns out, banning unfair conduct like aggressive self-preferencing on their platform is EXACTLY what small businesses want.  “Everything I read in the bill is pro-seller.”—an actual Amazon Seller
https://t.co/mxgcUNnR6P"
RepKenBuck,Amazon wrote a blog post asking third-party sellers to write their congressman against our nondiscrimination bill.  Sellers had other ideas: https://t.co/XrARhV0H2P
RepKenBuck,"They spent $55 million against these bills last year, and they’re on track for way more this year.  

We’re going to win anyways. https://t.co/dCyJjqZfxy"
RepKenBuck,They have paid their front groups to conduct polling that turns out to be favorable for antitrust. https://t.co/lbcOjpwMcp
RepKenBuck,They have been caught pushing race into the discussion. https://t.co/TXbTkgTuIR
RepKenBuck,They have been caught faking grassroots small business support. https://t.co/sUQBxYnwli
RepKenBuck,"I have to congratulate #BigTech for their innovation in producing the most expensive, fraudulent, and incompetent lobbying campaign in American history.  

THREAD 🧵🧵🧵"
RepKenBuck,"NEW: “Rep. Ken Buck predicted in a CNBC interview in April the self-preferencing bill will “have the votes in both chambers to move forward,” adding he believed it would pass before the August recess.”
https://t.co/vjNhLepPS7"
RepKenBuck,"Today, we remember and honor the valiant warriors who stormed the beaches of Normandy to defend freedom and changed the course of history forever. #DDay https://t.co/vhyPHVUy1I"
RepKenBuck,"Once again, is there any element of Big Tech’s lobbying push that isn’t fraudulent? https://t.co/VgQTkempWa"
RepKenBuck,"The American people do not trust or want to be controlled by the @WHO, period.

That’s why we are calling on Pres. Biden to withdraw from the #WHO. https://t.co/gTBybhZkiN"
RepKenBuck,"As the authorities still try to clarify the details, it’s irresponsible for us to be considering these bills today. 

If we don’t yet understand what happened than we don’t know that this legislation would make a difference in preventing such tragedies in the future. https://t.co/pZCtZjnUrU"
RepKenBuck,"Democrats are using the shootings in Buffalo, Texas, and Tulsa to push for more gun control—even though they know this legislation wouldn’t have prevented any of these recent tragedies and won’t make any of us safer."
RepKenBuck,"Disarming Americans is not the way to reduce gun violence.

We can protect our families, we can protect our children, and we can protect our communities without taking guns away from responsible, law-abiding Americans. https://t.co/HYErxLkOZ5"
RepKenBuck,"On a personal note, I’m always amazed how much more progressives on Twitter know about rural Colorado than I do."
RepKenBuck,Post all the comic book memes you want.  This is where your food comes from. https://t.co/fDOytq1iGU
RepKenBuck,Modern Democrats think farmers and ranchers defending their livelihoods is a joke. https://t.co/1jwHOmQOtx
RepKenBuck,"Not just WRONG. Secretary Yellen lied to the American people about inflation. 

She knew what would happen. https://t.co/ZSfkYVsz50"
RepKenBuck,"It’s all about control.
https://t.co/QTVeKXn35k"
RepKenBuck,Key phrase “future pandemics.” https://t.co/4Vx8DquFy5
