handle,text
RepKimSchrier,"I have been concerned about the rollout and transition to a new electronic health system at the Wenatchee Veterans clinic, and how it might affect patient care. This report confirms my concerns. It is unacceptable and the VA must do better. https://t.co/wXMfgF6qUW"
RepKimSchrier,"Today I joined @DepSecBronaugh in North Bend to announce new significant funding from the Great American Outdoors Act to improve outdoor recreation infrastructure. Some funding will benefit the @MTSGreenway to improve  trailheads, campgrounds, and trails along the I-90 corridor. https://t.co/WttYYpxNy9"
RepKimSchrier,"On this day 78 years ago, many brave servicemembers stormed the beaches of Normandy, the largest amphibious invasion the world had ever seen.

On the anniversary of #DDay, we celebrate the servicemembers who took part in the invasion and honor those who did not return home. https://t.co/GbkANxLfMp"
RepKimSchrier,"This week I visited Knutson Farms Inc. in Sumner to hear from farmers about how rising gas prices are affecting their businesses. As the only member on @HouseAgDems from the PNW, it is always helpful for me to hear directly from farmers about how I can best advocate for them. https://t.co/s7WUBm7ArA"
RepKimSchrier,"In honor of Memorial Day last week, my office launched the Fallen Servicemembers Legacy Project to honor the fallen heroes of the 8th District. We are forever grateful for their service to our nation. You can visit the memorial wall here: https://t.co/RJyWh9bWRA https://t.co/s71DtpHzXt"
RepKimSchrier,Are you signed up for my e-newsletter? Stay up to date on how I am serving you by signing up today: https://t.co/llG5Y3ZKBz
RepKimSchrier,"Last year I told the VA that I was very concerned about the rollout and transition to a new electronic health system in WA state, and how it might affect Veterans' care. The new OIG report confirms my concerns. It is unacceptable and the VA must do better. https://t.co/fsblcYlR3t"
RepKimSchrier,Thank you to SAC Hammer from @HSISeattle for joining us for a special conversation last night about the dangers of fentanyl and what parents can do to help their teenagers. I learned a lot and I hope others did too! https://t.co/u5TEf8HgRG
RepKimSchrier,"Today we #WearOrange to honor the countless lives that are taken by gun violence each year, and the lives that are forever changed by this preventable crisis. Now we need action. I'll be in DC next week voting on bills to keep our kids and communities safe from gun violence. https://t.co/HwuOLFnzae"
RepKimSchrier,"I'm hosting a special town hall  conversation with Department of Homeland Security, community partners, and families about fentanyl and how to keep our community safe. You can watch here: https://t.co/w3ZY8sTaDY"
RepKimSchrier,I look forward to speaking with parents this evening in Issaquah for this special town hall on the dangers of fentanyl and what to be aware of as parents of teenagers. RSVP here: https://t.co/1U1d9UHkjC https://t.co/uOutBmfXRi
RepKimSchrier,"I was glad to talk to speak with @ASP about my gas price gouging bill that recently passed the House. At a time when people in my district &amp; across the country are feeling the pain of high prices at the pump, Congress needs to be doing all we can to bring down costs. https://t.co/C6ZSfEGPjz"
RepKimSchrier,"Happy #Pride! As a proud member of @LGBTEqCaucus, I will always stand up for the rights of the #WA08 LGBTQ community. This month, let's celebrate the progress &amp; recommit to ensuring everyone, no matter who you love or how you identify, can live free from discrimination and hate. https://t.co/8RtT2GbvhF"
