handle,text
RepLBR,"We know that quality of life helps drive economic development in Delaware and across the country. 

Thrilled to see these investments in the Jack A. Markell trail in New Castle from @US_EDA that will create jobs and improve the local community. 
https://t.co/HsWmdkaOX4"
RepLBR,"The gun violence epidemic facing our country right now is as heartbreaking as it is infuriating.

That's why the House will vote on two life-saving pieces of gun violence prevention legislation – the Protecting Our Children Act &amp; the Federal Extreme Risk Protection Order Act."
RepLBR,"Today, on the 78th Anniversary of D-Day, we remember the courageous soldiers who stormed the beaches of Normandy to fight for freedom and for democracy —  no matter the cost. https://t.co/bTffdgyeXp"
RepLBR,"Delaware has the nation’s 5th highest rate of pregnant women with substance use disorder. 

Thanks to a federal grant, Gaudenzia's in-patient substance use treatment facility — that will open this summer — will help get pregnant women the treatment and care they need. https://t.co/oQclmpvke3"
RepLBR,"It's National Gun Violence Awareness Day.

We can pass common-sense gun legislation. 

We can keep guns out of the hands of people who shouldn't have them. 

We can end gun violence in America. 

We don't have another moment to wait. #EndGunViolence https://t.co/YUn1OUrblG"
RepLBR,"There are solutions to the gun violence epidemic in America - @POTUS laid them out for us tonight. 

No more ifs, ands, or buts. No more inaction. Lives are at stake.

The Senate needs to act NOW. https://t.co/gjhESAkoHZ"
RepLBR,"Constantly inspired by the advocacy, drive, and commitment from our young people to fight for what's right. 

I stand with them - students in every school in America deserve to feel safe in their classrooms. #EndGunViolence https://t.co/AbPbuqlbt7"
RepLBR,"Increasing diversity in clinical trials will help us increase diversity in Alzheimer’s research, treatment, and prevention.

Let's find a cure once and for all – together. (4/4)"
RepLBR,"We know that Alzheimer’s and other dementias disproportionately affect underrepresented populations.

That's why I introduced the ENACT Act last year that would increase diversity in clinical trial research on Alzheimer’s and dementia. (3/4)

https://t.co/RPoHPsPjKk"
RepLBR,"Currently, 11 million Americans provide unpaid care for people with Alzheimer’s or other dementias. 

And as the number of Americans living with Alzheimer’s continues to rise, the fight to find a cure is paramount. (2/4)"
RepLBR,"Traci's story is one of compassion and care, but it's also a reality that far too many Americans are experiencing right now. 🧵(1/4)

https://t.co/VSsIM2V96L"
RepLBR,"I won't rest until we do. And I know that incredible partners around the country like @MomsDemand &amp; @Everytown won't either. 

We do this for love. https://t.co/Nnu2jWNesq"
RepLBR,But our work can't stop there. We have to invest in our communities. We have to invest in violence intervention programs. We have to treat gun violence as what it is - a public health emergency.
RepLBR,"Whether it's banning assault weapons, implementing red flag laws, closing the Charleston loophole, implementing comprehensive background checks, or going after ghost gun manufacturers - we need those solutions and more."
RepLBR,The solutions we're talking about at the federal level to #EndGunViolence are incredibly important - critical - to stopping the violence we've seen unfold throughout our country.
RepLBR,"The residual trauma for our young people after experiencing gun violence is also immense. That's why we need to invest in mental health services for our young people - especially in the wake of COVID-19. 
https://t.co/7yOVzeyi8C"
RepLBR,"It's why I was proud to work with him on introducing the Break the Cycle of Violence Act, which invests in CVI's and other important community initiatives.
https://t.co/XwKkbM7C8v"
RepLBR,"That's why initiatives like Community Violence Intervention (CVI's) programs are so critically important. It puts trusted partners in the community to help prevent violence before it starts. 

Trusted partners like Darryl ""Wolfie"" Chambers.
https://t.co/YKw7sC9TGT"
RepLBR,What we have is a chronic and untreated public health emergency in our communities. Just look at this from @amnestyusa. https://t.co/VaB56ATR1s
RepLBR,"There have been 1,257 victims of gun violence in our state since 2017. 

Each of those over 1,200 victims has their own story. Their own trauma. Their own challenges. Their own families. And their own lives - often changed forever by the violence they've experienced."
RepLBR,"Just last year, there were 23 victims of gun violence in our state, including a 15-year-old girl who was left in critical condition. 

These are our children. https://t.co/pyN6WZGglA"
RepLBR,"For 5 years, the folks at @delawareonline have been tracking gun violence in our state. 

Reporters like @brittanyhorn have been relentlessly telling these stories.

The names, numbers, and ages are staggering and should give every Delawarean pause. 
https://t.co/xZxCcs3L3A"
RepLBR,"Another shooting in Tulsa. 

We cannot wait to act because we have no time to waste. 

And it's not just mass shootings - communities like Wilmington &amp; Dover are plagued by gun violence every single day. 🧵 https://t.co/uFnjJzXac0"
