handle,text
RepMGS,"@kristinsong3 Thank you for joining us last week, Kristin 🧡 

Looking forward to passing Ethan's Law in the House today."
RepMGS,"Constant exposure to burn pits. 
 
Contaminated water at military bases. 
 
Radiation from atomic testing and cleanups.  
 
We can’t wait any longer to pass comprehensive legislation that provides care and benefits to all toxic-exposed veterans. https://t.co/6a5BtVjLLP"
RepMGS,"16 million Yemenis are living on the brink of starvation, including 2 million children. The U.S. can no longer be complicit in this crisis.

Last week, I joined a bipartisan group of colleagues in introducing a resolution to end unauthorized U.S. military involvement in Yemen. https://t.co/0zLdMTEHsG"
RepMGS,Congrats @da_delco on receiving this $2 million grant to support #GunViolencePrevention efforts in Chester. Our office looks forward to continuing to work with you and all our regional partners on evidence-based solutions to #EndGunViolence in our area. https://t.co/IS6cVLN21G
RepMGS,"As mass shootings grab headlines across the country, we cannot forget about the everyday acts of gun violence that are also taking a toll on our communities.

Over the weekend, I was proud to join local leaders and community members for a Peace Walk in Chester.

#EndGunViolence https://t.co/pMkyDJcvG0"
RepMGS,"The ecosystems education center will allow Bartram's Garden to offer year-round opportunities to local students, and the mussels will help improve water quality and ecological conditions in the Schuylkill River."
RepMGS,"Spent my morning along the banks of the Schuylkill celebrating $925,000 in federal funding we secured to support the construction of a new ecosystems education center and freshwater mussel hatchery.

The project is a joint venture led by @BartramsGarden  and @DelawareEstuary. https://t.co/9GMleS5pvp"
RepMGS,"Tomorrow: The @PhillyPolice Department is hosting a gun buyback event in partnership with @Eagles and @ChildrensPhila. 

Details below 👇 https://t.co/LCsSUMfOZ6"
RepMGS,"I am horrified by the violence that took place on South Street last night.

My heart breaks for all those impacted by the shooting — and for every Philadelphian impacted by gun violence. 

We must do more to get guns off our streets and end this carnage. https://t.co/ska46riFtH"
RepMGS,"“May we choose our children over chaos. May another innocent never be lost.” @TheAmandaGorman 

#EndGunViolence
https://t.co/okF52Ikhwt"
RepMGS,Increasing imports of infant formula from abroad is one of the many steps I urged the Biden administration to take in order to address the ongoing shortage in our country ⬇️ https://t.co/DxOGcd66qF
RepMGS,"While in Ireland with a recent congressional delegation, I visited a formula factory that began ramping up production and sending extra shipments to the U.S. a few weeks ago. 

I appreciated the opportunity to meet with one of the companies stepping up to help families in need. https://t.co/Ut6aPgjYgx"
RepMGS,"Today is #GunViolenceAwarenessDay 🧡

I #WearOrange to honor those lost to gun violence and in solidarity with the survivors who live with the effects of this crisis every day. 

We are not helpless. I’m ready to act — I hope my colleagues on both sides of the aisle will join me. https://t.co/bhgV257HFo"
RepMGS,"Thank you @JalenHurts for using your platform to raise awareness about the impact of gun violence on our community and call for change. 

We can and we must #EndGunViolence. https://t.co/O50FONw0yG"
RepMGS,"Grateful for the opportunity to join @CeaseFirePA on #GunViolenceAwarenessDay to stress the urgent need for action as we continue our fight to #EndGunViolence. 

Elected officials at every level of government have a responsibility to address this crisis. https://t.co/q0KL4nCnGv"
RepMGS,Short-staffing firefighters at U.S. military bases and shipyards is a disaster waiting to happen. I introduced the Federal Firefighters Workforce Support Act to ensure federal firefighters aren’t forced to operate with staffing below national standards. https://t.co/RqRjwDsWgr
RepMGS,"After Columbine, I decided enough was enough and started organizing my community to join the Million Mom March. In 2018, I came to Congress to pass common sense gun reform.

I won't sit idly by as preventable tragedies play out over and over. Congress must act to #EndGunViolence. https://t.co/Gsha8Mvc0P"
RepMGS,"I was proud to advance this bill out of committee and I look forward to voting for the Protecting Our Kids Act when it comes to the House floor.

Our constituents send us to Congress to address the issues facing our communities — including gun violence. Giving up isn’t an option. https://t.co/DEGioocNPe"
RepMGS,"History, and the memories of our children, will not be kind to those who stood by and watched this epidemic of gun violence get worse.

Inaction is inexcusable.

#EndGunViolence"
RepMGS,"The amendment just introduced by Rep. Massie would have exempted those registered for Selective Service from a provision barring people under 21 from buying assault weapons.

Spoiler: That would mean exempting only young men 18-21.

Truly astonishing. Thankfully, it was defeated."
RepMGS,I’m sick and tired of the GOP bashing our cities and placing the blame on Democratic leaders while ignoring the fact that Republican state legislatures repeatedly block city leadership from passing gun violence prevention legislation like the package we're considering today. https://t.co/cimovJ4yQu
RepMGS,🙋🏼‍♀️ https://t.co/OkqKPqGU45
RepMGS,"There is no one solution to stop gun violence. There are many.

Today, @HouseJudiciary will debate and vote on a package of common sense measures to reduce violence in our communities and save lives. 
https://t.co/WyDBGSAlwo"
RepMGS,"Doing nothing is NOT an option.

On Thursday, my @HouseJudiciary colleagues and I will markup the Protecting Our Kids Act, a package of common sense strategies to help reduce gun violence in America. https://t.co/46iekrGboV"
RepMGS,"#Pride is a time for celebration — and action.
 
As we reflect on the progress we’ve made and honor LGBTQ+ Americans who paved the way, we also recommit ourselves to the work that remains. Everyone, no matter who they are or who they love, deserves to live freely as themselves! https://t.co/1xQCjGE2TX"
RepMGS,"Background checks are effective and completely consistent with the Second Amendment. 

They’re also overwhelmingly popular — including among responsible gun owners. 

#GunViolencePrevention"
