handle,text
RepMarieNewman,"Today, I will proudly vote YES on the Protecting Our Children Act. 

It's past time to stand up to the gun lobby and defend the safety of our children."
RepMarieNewman,"GREAT news from @POTUS!

It's time to take real action to tackle the climate crisis, lower energy prices and create union jobs 💪 https://t.co/6yi6CSNxsr"
RepMarieNewman,"On the 78th anniversary of D-Day, we honor all of those who fought for freedom and democracy on the beaches of Normandy. Their heroism dealt a crucial blow to Nazism and totalitarianism and made the world safer for freedom and justice."
RepMarieNewman,"The deadline to submit nominations for our office's Dignity of Work Award has been EXTENDED to June 17th! 

Submit your nominations HERE: https://t.co/eKpjyAo3cV https://t.co/TY0WgxokY7"
RepMarieNewman,"We MUST ensure our medical workers have the mental health support they deserve. 
https://t.co/HFh0iUvokN"
RepMarieNewman,Unions make America stronger 💪
RepMarieNewman,"It is CRUCIAL that American workers have the mental health services they deserve. 

My new bill will expand trauma-informed services in workforce development programming so mental health services are more accessible in the workplace. Read more HERE ⬇️ https://t.co/E6tGbeSjep"
RepMarieNewman,"✅ Co-signed a letter with the Illinois Congressional Delegation urging the Census Bureau to address the Illinois Census undercount in federal funding allocations

Have a good weekend! 🎉"
RepMarieNewman,"✅ Visited the city of Hickory Hills to celebrate the $640,000 in federal funding my team helped secure to bolster their water infrastructure"
RepMarieNewman,✅ Sat down with ELLE to share the story of my abortion https://t.co/yKsbkk9Rek
RepMarieNewman,✅ Visited Thresholds in Bridgeport to celebrate the $1 million in federal funding my team helped secure to support their mental health services
RepMarieNewman,"✅ Joined local veterans in La Grange and Oak Lawn for Memorial Day ceremonies to commemorate our veterans who gave ther lives to this country

✅ Introduced legislation to expand mental health and trauma-informed services for America's workers"
RepMarieNewman,"Happy Friday! Here's this week's roundup ⬇️

✅ Led 39 colleagues in a letter to Senate leadership urging them to expedite a confirmation vote on @POTUS's nominee to lead the @ATFHQ. We must ensure the organization has a permanent leader to fight gun violence. https://t.co/b6J1ePPqcE"
RepMarieNewman,"Today is #GunViolenceAwarenessDay. To say our country is reeling from the near constant news of gun violence is an understatement. 

Refusing to act is accepting this deadly status quo. We must #EndGunViolence NOW."
RepMarieNewman,"In most states in America you have to be:
21 to rent a car 
21 to drink alcohol
21 to enter a casino

But the day you turn 18 years old, you can buy an AR-15."
RepMarieNewman,"This is less than 24 hours after ANOTHER mass shooting in America, this time in Tulsa.

The carelessness and complete disregard that these radical, pro-gun GOP members display is revolting. https://t.co/K6sof4GETn"
RepMarieNewman,"It took me 20 years to finally feel comfortable telling people about my abortion. 

It's time to break this stigma. I shared my story with 
@ELLEmagazine and discussed why taking away reproductive freedom is a direct attack on women's equality. https://t.co/yKsbkk9Rek"
RepMarieNewman,"Thresholds is one of the largest providers of mental health services in IL, and my team was so proud to bring $1 MILLION in federal funding to this great organization. 

It was lovely to visit with these rockstars and discuss how they can expand their reach in our communities. https://t.co/xMt5BewHYF"
RepMarieNewman,"We desperately need an ATF director to give this vital agency the leadership it needs to do its job.

It is time for Steven Dettelbach to be confirmed as the permanent leader of the @ATFHQ."
RepMarieNewman,"The ATF plays a critical role by partnering with local law enforcement to stop the illegal trafficking of guns and prevent acts of domestic terrorism.

However, the law enforcement agency has been without permanent, Senate-confirmed leadership since 2015."
RepMarieNewman,"In the wake of the mass shootings in Uvalde and Buffalo, it is crystal clear that we need a permanent leader at the @ATFHQ to fight gun violence.

I led 39 colleagues in a letter urging @SenSchumer to expedite a confirmation vote on @POTUS's nominee to lead the @ATFHQ.⬇️ https://t.co/BiuHY4r3M9"
RepMarieNewman,"Happy Pride Month!!

As a mother of a trans daughter, I know how important it is to celebrate the right of LGBTQ folks across the country to live as their authentic selves 🏳️‍🌈🏳️‍⚧️🎉"
