handle,text
RepMaryMiller,"Before Joe Biden pushes for more gun control laws, can he explain why current gun laws don't apply to Hunter Biden?"
RepMaryMiller,"The ""woke"" leftists pushing gun control are the same people who released criminals from prison, refuse to prosecute crimes, and defunded the police. They don't care about public safety, their woke policies created a crime wave and now they want to disarm you!"
RepMaryMiller,"Under Gov. Pritzker, Illinois is known for high taxes, violent crime, and abortions. https://t.co/KqdM4gFYhh"
RepMaryMiller,"Today marks the 78th anniversary of D-Day, where 156,000 Allied troops stormed the beaches of Normandy to defend our freedom from tyranny. We can’t thank the greatest generation enough for their sacrifice. This was a major step in the Allied victory that preserved our way of life https://t.co/8wiufJoBrJ"
RepMaryMiller,The Second Amendment is clear- shall not be infringed!
RepMaryMiller,"As Americans, we are born with unalienable rights endowed by our Creator. This belief unites us, it makes us equal and it limits the power of the government over our lives. We are born free, and our rights are not gifts from leftist politicians."
RepMaryMiller,"I’ve also signed onto the Give Milk Act, which would eliminate the Obama-era regulation requiring children to get a doctor’s note for 2% milk."
RepMaryMiller,"In Congress, I've signed onto meaningful dairy legislation such as the Whole Milk for Healthy Kids Act, which would undo the Obama Administration school lunch restrictions on whole milk."
RepMaryMiller,"June is #NationalDairyMonth.

Join us this month in thanking our hardworking dairy farmers and recognizing the health benefits that dairy products provide millions of Americans! https://t.co/3qQVOVq0Nj"
RepMaryMiller,"As a family farmer, I have never seen equipment shortages this bad. Every implement dealer is warning that the Biden Supply Chain Crisis is going to create a food crisis. We miss America First leadership!"
